spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,effect
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.015627733263167735,0.011268184458087511,0.1833930343040262,-0.0064579082746837844,0.03771337480101926,99644,0.00026206107031279124,-4,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",0.012117480338954947,0.017831704176670696,0.5059397620816781,-0.022832659847319615,0.04706762052522951,99644,0.00026206107031279124,-3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.0005362508856426914,0.011389065018773549,0.9629944281037437,-0.02285881832243885,0.021786316551153463,99644,0.00026206107031279124,-2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",-0.004204998830666047,0.013701057494602794,0.7626389944197798,-0.031059071520087522,0.022649073858755427,99644,0.00026206107031279124,1,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.015248199279803755,0.014875025263183019,0.3196882289136349,-0.044403248795642475,0.013906850236034963,99644,0.00026206107031279124,2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.018655136337737514,0.016377920536086037,0.2704824785587523,-0.050755860588466144,0.013445587912991115,99644,0.00026206107031279124,3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",-0.007837923243232747,0.01835004221599816,0.6746426525005638,-0.04380400598658914,0.028128159500123647,99644,0.00026206107031279124,4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.0005867619516912051,0.012828497545779822,0.964051324863979,-0.024557093238037245,0.025730617141419658,99644,0.0012135948258292784,-4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.0017260988186180877,0.02071340230314786,0.9345605900942533,-0.04232436733278789,0.03887216969555172,99644,0.0012135948258292784,-3,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.004318362079804384,0.014258143944808028,0.7656637853831789,-0.032264324211628115,0.02362760005201935,99644,0.0012135948258292784,-2,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.00606451797712281,0.01419821536577114,0.6746436430220353,-0.021763984139788625,0.03389302009403424,99644,0.0012135948258292784,1,att_or_baseline
