group,rel_t,mean,std
control,-4,0.09313859862633492,0.23465566723235864
control,-3,0.17774598843681794,0.31811271154363246
control,-2,0.15695665878965268,0.30205698139328196
control,-1,0.1288649851957007,0.28000877257850193
control,0,0.12653146099969054,0.27676163896338934
control,1,0.12780139360708823,0.27161018256272756
control,2,0.2670387985686493,0.37116023871141973
control,3,0.2519710002309507,0.3713539295488406
control,4,0.16221716035126854,0.31900109383956143
treatment,-4,0.13384490456660758,0.27732094833775395
treatment,-3,0.21273108777711133,0.3355455560320825
treatment,-2,0.19486201563181035,0.32579011342458697
treatment,-1,0.15816988375278532,0.3014030727479582
treatment,0,0.1360880844923398,0.2897742466663031
treatment,1,0.1516822564180101,0.2775333491042505
treatment,2,0.28615575866234916,0.3726647067835698
treatment,3,0.24379860173049545,0.3587368017579639
treatment,4,0.14854160674911324,0.3007768083681569
