spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high,group
binary_collapsed,low_predicted_incidence_effect_delta_b,post_X_treated,99644,0.0005383592916476942,0.03128997863629194,0.017848736866692274,0.09760341365264247,-0.006367564449700824,0.0689475217222847,binary
binary_collapsed,common_high_minus_low_post_shift,post_X_disp,99644,0.0005383592916476942,0.03808424456370081,0.00811794307810198,0.0002100190281222325,0.02095688179755821,0.05521160732984341,binary
binary_collapsed,high_minus_low_ddd,post_X_treated_X_disp,99644,0.0005383592916476942,-0.04148857892971744,0.018439346498595854,0.037982827906994476,-0.0803921994175187,-0.0025849584419161825,binary
binary_collapsed_group_effects,low_predicted_incidence_effect,post_X_treated_X_low,99644,0.0005383592916488045,0.03128997863640656,0.0178487369399382,0.09760341491920665,-0.006367564604121599,0.06894752187693473,binary
binary_collapsed_group_effects,high_predicted_incidence_effect,post_X_treated_X_high,99644,0.0005383592916488045,-0.010198600293423217,0.007197154217108497,0.17453959127117757,-0.025383268376746496,0.004986067789900062,binary
score_collapsed,,post_X_treated,99644,0.000410752292689609,0.018968310331470617,0.015115526653798237,0.22649708292059811,-0.012922663269865561,0.050859283932806795,score
score_collapsed,,post_X_score,99644,0.000410752292689609,0.05327971009598965,0.014919815428687705,0.0023520300400574623,0.02180165108614849,0.0847577691058308,score
score_collapsed,,post_X_treated_X_score,99644,0.000410752292689609,-0.04523242140766996,0.027622351914737938,0.11989537371599712,-0.10351048977377425,0.013045646958434333,score
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",99644,0.0003115099543076205,-0.012653912515512818,0.013439859064671319,0.3596257713712223,-0.041009536534038854,0.015701711503013215,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",99644,0.0003115099543076205,-0.004464698800662186,0.015459969637268058,0.7762332681266044,-0.03708238357419833,0.02815298597287396,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",99644,0.0003115099543076205,-0.024398952014853252,0.01184300766024582,0.05502645205801149,-0.04938551406483758,0.000587610035131074,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",99644,0.0003115099543076205,0.028155131562155072,0.017270732336181458,0.12144139760976547,-0.008282928561307815,0.06459319168561796,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",99644,0.0003115099543076205,-0.008749688956870349,0.01228388563761303,0.48594700469524077,-0.0346664222314276,0.0171670443176869,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",99644,0.0003115099543076205,-0.025434123196631755,0.014786057456585245,0.10355675131935826,-0.056629977553271774,0.005761731160008259,event_study
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",99644,0.0003115099543076205,-0.016652136952310673,0.009701312903677723,0.10423755879899765,-0.037120118041923986,0.003815844137302637,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",99644,0.001480181962582816,-0.026133723234079892,0.0200293151846766,0.20935715336333272,-0.06839188442404126,0.016124437955881477,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",99644,0.001480181962582816,-0.02122795742560944,0.028779332705600354,0.470810322305661,-0.08194704188752902,0.039491127036310136,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",99644,0.001480181962582816,-0.03603561097987249,0.019022363882759283,0.07531605765691829,-0.0761692906269293,0.004098068667184318,event_study
