spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,effect
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.0002176951093813186,0.0027270522650351585,0.9373062653784041,-0.005127327330087592,0.005562717548850229,321184,0.00018030176213335025,-4,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-6.39719798210313e-05,0.0037110816978469826,0.9864473710201438,-0.007337692107601117,0.007209748147959055,321184,0.00018030176213335025,-3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.0006375186887061764,0.0024229804286787127,0.7956255472591218,-0.005386560328916453,0.004111522951504101,321184,0.00018030176213335025,-2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.0026216011807851866,0.0019485083371969044,0.19615590275421413,-0.001197475160120746,0.00644067752169112,321184,0.00018030176213335025,1,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.0002056606432716861,0.0021738056932641657,0.9257319423656456,-0.004054998515526079,0.004466319802069451,321184,0.00018030176213335025,2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.006568054507259456,0.0024594344992088955,0.01613577192135307,0.0017475628888100206,0.01138854612570889,321184,0.00018030176213335025,3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.001799189559699107,0.001929727153452332,0.3642069683846927,-0.0019830756610674637,0.005581454780465678,321184,0.00018030176213335025,4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.0013049795772973488,0.0020557671607858512,0.5340165380709054,-0.0053342832124376165,0.0027243240578429194,321184,0.015869416289960858,-4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",0.00018335403801328086,0.0025800470373808842,0.944174450070479,-0.004873538155253252,0.005240246231279814,321184,0.015869416289960858,-3,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.001630300966216093,0.0014817222987003472,0.28654934677698374,-0.0012738747392365875,0.0045344766716687735,321184,0.015869416289960858,-2,att_or_baseline
