treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|all",591,1349,591,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|all",87,422,87,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|all",3978,1024,1024,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|all",119,1134,119,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|all",115,271,115,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|all",155,582,155,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|all",551,504,504,1,,,,,,
0,"0|(0.999, 10037.75]|(0.999, 10037.75]|(20074.5, 30111.25]|all",1,759,1,1,,,,,,
0,"0|(0.999, 10037.75]|(0.999, 10037.75]|(30111.25, 40148.0]|all",4,3095,4,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]|all",29,353,29,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|all",447,235,235,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|all",337,124,124,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]|all",7,92,7,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|all",43,140,43,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]|all",166,56,56,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]|all",167,214,167,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]|all",451,725,451,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]|all",34,191,34,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|all",369,227,227,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|all",115,469,115,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]|all",0,2,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]|all",0,27,0,0,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]|all",0,1655,0,0,,,,,,
