treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(30111.25, 40148.0]",287,166,166,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|(10037.75, 20074.5]",58,409,58,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(30111.25, 40148.0]",3657,673,673,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|(10037.75, 20074.5]",88,1042,88,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|(30111.25, 40148.0]",69,96,69,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|(10037.75, 20074.5]",11,253,11,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",338,342,338,1,,,,,,
0,"0|(0.999, 10037.75]|(0.999, 10037.75]|(20074.5, 30111.25]|(0.999, 10037.75]",1,759,1,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]",174,60,60,1,,,,,,
0,"0|(0.999, 10037.75]|(0.999, 10037.75]|(30111.25, 40148.0]|(0.999, 10037.75]",4,3095,4,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",243,923,243,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",44,168,44,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",17,236,17,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",290,336,290,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|(20074.5, 30111.25]",95,307,95,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",61,259,61,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",80,111,80,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|(30111.25, 40148.0]",322,105,105,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]",365,110,110,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",3,73,3,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|(20074.5, 30111.25]",11,107,11,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(10037.75, 20074.5]",39,102,39,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|(0.999, 10037.75]",0,6,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|(10037.75, 20074.5]",2,14,2,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",14,19,14,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|(0.999, 10037.75]",1,2,1,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|(10037.75, 20074.5]",1,23,1,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",2,7,2,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",27,14,14,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]",161,50,50,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|(20074.5, 30111.25]",31,86,31,1,,,,,,
