member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_high,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
38,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
287,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
327,46,2021-08-04,0.13333333333333333,1,0,baseline,median_full_sample,0.5,0.5
851,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
918,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
1273,46,2021-08-04,0.625,1,1,high,median_full_sample,0.5,0.5
1607,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
1996,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
2918,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
4517,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
6031,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
7045,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
7917,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
8511,46,2021-08-04,0.375,1,0,baseline,median_full_sample,0.5,0.5
9857,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
12323,46,2021-08-04,0.375,1,0,baseline,median_full_sample,0.5,0.5
13198,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
18545,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
18592,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
18793,46,2021-08-04,0.4166666666666667,1,0,baseline,median_full_sample,0.5,0.5
19365,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
21018,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
21716,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
22446,46,2021-08-04,0.8333333333333334,1,1,high,median_full_sample,0.5,0.5
22603,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
25583,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
25694,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
26597,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
29944,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
30304,46,2021-08-04,0.2875,1,0,baseline,median_full_sample,0.5,0.5
30902,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
31514,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
31576,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
32062,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
32281,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
32447,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
32844,46,2021-08-04,0.2833333333333333,1,0,baseline,median_full_sample,0.5,0.5
33015,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
33469,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
34104,46,2021-08-04,0.7625,1,1,high,median_full_sample,0.5,0.5
34312,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
35370,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
36629,46,2021-08-04,0.1,1,0,baseline,median_full_sample,0.5,0.5
36973,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
37156,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
39529,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
40006,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
40284,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
41037,46,2021-08-04,0.38888888888888884,1,0,baseline,median_full_sample,0.5,0.5
41183,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
41271,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
42303,46,2021-08-04,0.375,1,0,baseline,median_full_sample,0.5,0.5
42717,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
43876,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
43944,46,2021-08-04,0.625,1,1,high,median_full_sample,0.5,0.5
44740,46,2021-08-04,0.4777777777777777,1,0,baseline,median_full_sample,0.5,0.5
46101,46,2021-08-04,0.4375,1,0,baseline,median_full_sample,0.5,0.5
46684,46,2021-08-04,0.3833333333333333,1,0,baseline,median_full_sample,0.5,0.5
47248,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
49892,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
50621,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
50661,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
52332,46,2021-08-04,0.27777777777777773,1,0,baseline,median_full_sample,0.5,0.5
52556,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
52958,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
53346,46,2021-08-04,0.7999999999999999,1,1,high,median_full_sample,0.5,0.5
53962,46,2021-08-04,0.8333333333333334,1,1,high,median_full_sample,0.5,0.5
57943,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
58569,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
60063,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
60311,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
61147,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
61836,46,2021-08-04,0.375,1,0,baseline,median_full_sample,0.5,0.5
62487,46,2021-08-04,0.8333333333333333,1,1,high,median_full_sample,0.5,0.5
62858,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
63486,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
63725,46,2021-08-04,0.29166666666666663,1,0,baseline,median_full_sample,0.5,0.5
63738,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
65845,46,2021-08-04,0.625,1,1,high,median_full_sample,0.5,0.5
66890,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
66903,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
67090,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
67984,46,2021-08-04,0.4583333333333333,1,0,baseline,median_full_sample,0.5,0.5
70888,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
71323,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
72184,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
75435,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
75549,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
76243,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
77908,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
78047,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
78549,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
78966,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
79839,46,2021-08-04,0.4444444444444444,1,0,baseline,median_full_sample,0.5,0.5
80488,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
81151,46,2021-08-04,0.13333333333333333,1,0,baseline,median_full_sample,0.5,0.5
82485,46,2021-08-04,0.35555555555555557,1,0,baseline,median_full_sample,0.5,0.5
82528,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
82611,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
84584,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
84886,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
87147,46,2021-08-04,0.08333333333333333,1,0,baseline,median_full_sample,0.5,0.5
87422,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
87484,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
89858,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
91299,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
91849,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
