group,rel_t,mean,std
control,-4,0.42588694587642206,0.4591584242604261
control,-3,0.43882855207779015,0.46672188229229344
control,-2,0.44415727534016886,0.4669345944819625
control,-1,0.4313724242295671,0.4721313813620059
control,0,0.12264379744196413,0.3021676800854019
control,1,0.4102091655831101,0.42865001965888516
control,2,0.45945182281979774,0.42982079164610903
control,3,0.4307194942818172,0.4315046386970705
control,4,0.4177575184197701,0.4316771869235522
treatment,-4,0.4635748687307623,0.46531782750801315
treatment,-3,0.466761499133024,0.46611899630735915
treatment,-2,0.45955389253941215,0.47511334781532677
treatment,-1,0.4890523956496179,0.4784430835933443
treatment,0,0.03668241615712432,0.1767179388614575
treatment,1,0.46743395981952324,0.4299141891168845
treatment,2,0.5122219462897429,0.4269567830514277
treatment,3,0.46546861290579883,0.43282383886687376
treatment,4,0.43928069117942536,0.43420516868789305
