treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]",591,1349,591,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]",87,422,87,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]",3978,1024,1024,1,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]",119,1134,119,1,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]",115,271,115,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]",155,582,155,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]",551,504,504,1,,,,,,
0,"0|(0.999, 10037.75]|(0.999, 10037.75]|(20074.5, 30111.25]",1,759,1,1,,,,,,
0,"0|(0.999, 10037.75]|(0.999, 10037.75]|(30111.25, 40148.0]",4,3095,4,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]",29,353,29,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",447,235,235,1,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]",337,124,124,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]",7,92,7,1,,,,,,
0,"0|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",43,140,43,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]",166,56,56,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]",167,214,167,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]",451,725,451,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]",34,191,34,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]",369,227,227,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]",115,469,115,1,,,,,,
0,"0|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]",0,2,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]",0,27,0,0,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",0,1655,0,0,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]",0,2664,0,0,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]",249,1120,249,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",3,57,3,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]",25,323,25,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]",6,459,6,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",446,450,446,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",17,418,17,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]",37,11,11,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]",12,23,12,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]",0,74,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]",98,1743,98,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(30111.25, 40148.0]",13,2339,13,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]",114,507,114,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(20074.5, 30111.25]",38,95,38,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(30111.25, 40148.0]",0,1,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]",41,121,41,1,,,,,,
1,"1|(0.999, 10037.75]|(0.999, 10037.75]|(30111.25, 40148.0]",3,728,3,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",81,30,30,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]",41,56,41,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]",142,280,142,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]",45,251,45,1,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]",93,88,88,1,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]",806,203,203,1,,,,,,
1,"1|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]",0,12,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]",24,75,24,1,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]",111,25,25,1,,,,,,
1,"1|(0.999, 10037.75]|(0.999, 10037.75]|(20074.5, 30111.25]",0,114,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]",14,77,14,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",7,19,7,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]",36,101,36,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]",134,186,134,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]",112,47,47,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]",67,58,58,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]",37,16,16,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]",20,53,20,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]",0,9,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]",0,1,0,0,,,,,,
1,"1|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]",0,85,0,0,,,,,,
1,"1|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]",0,543,0,0,,,,,,
1,"1|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",1,470,1,1,,,,,,
