member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
5,225,2021-02-09,2021-02-18,10,control,0,0.14528728,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,5|225|2021-02-09,-0.4117555280071219,0.0
866,225,2021-02-09,2021-02-18,10,control,0,0.34398916,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,866|225|2021-02-09,-0.2130536480071219,0.0
1100,225,2021-02-09,2021-02-18,10,control,0,0.6347374,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,1100|225|2021-02-09,0.07769459199287809,0.0
2097,225,2021-02-09,2021-02-18,10,control,0,0.23596613,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,2097|225|2021-02-09,-0.3210766780071219,0.0
2185,225,2021-02-09,2021-02-18,10,control,0,0.2621139,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,2185|225|2021-02-09,-0.2949289080071219,0.0
2206,225,2021-02-09,2021-02-18,10,control,0,0.4399006,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,2206|225|2021-02-09,-0.11714220800712194,0.0
3239,225,2021-02-09,2021-02-18,10,control,0,0.085536055,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,3239|225|2021-02-09,-0.4715067530071219,0.0
3256,225,2021-02-09,2021-02-18,10,control,0,0.27744627,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.2,3256|225|2021-02-09,-0.2795965380071219,0.0
5717,225,2021-02-09,2021-02-18,10,control,0,0.86031544,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,5717|225|2021-02-09,0.30327263199287813,0.0
7281,225,2021-02-09,2021-02-18,10,control,0,0.99898213,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.1,7281|225|2021-02-09,0.4419393219928781,0.0
8427,225,2021-02-09,2021-02-18,10,control,0,0.019571843,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,8427|225|2021-02-09,-0.5374709650071219,0.0
8449,225,2021-02-09,2021-02-18,10,control,0,0.08294749,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,8449|225|2021-02-09,-0.4740953180071219,0.0
10251,225,2021-02-09,2021-02-18,10,control,0,0.52154756,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,10251|225|2021-02-09,-0.03549524800712189,0.0
12391,225,2021-02-09,2021-02-18,10,control,0,0.15027635,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,12391|225|2021-02-09,-0.4067664580071219,0.0
12400,225,2021-02-09,2021-02-18,10,control,0,0.018340718,0,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,12400|225|2021-02-09,-0.5387020900071219,0.0
