member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
1026,254,2021-01-30,2021-02-21,23,treatment,1,0.85368115,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.08695652173913043,1026|254|2021-01-30,0.5395627521182813,1.0065456743641263
1574,254,2021-01-30,2021-02-21,23,control,0,0.94511306,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.13043478260869565,1574|254|2021-01-30,0.6309946621182813,1.0065456743641263
1704,254,2021-01-30,2021-02-21,23,control,0,0.11681536,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,1704|254|2021-01-30,-0.1973030378817187,1.0065456743641263
1745,254,2021-01-30,2021-02-21,23,treatment,1,0.27754518,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,1745|254|2021-01-30,-0.03657321788171869,1.0065456743641263
3306,254,2021-01-30,2021-02-21,23,control,0,0.13107078,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,3306|254|2021-01-30,-0.1830476178817187,1.0065456743641263
6381,254,2021-01-30,2021-02-21,23,control,0,0.026346244,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.043478260869565216,6381|254|2021-01-30,-0.2877721538817187,1.0065456743641263
8361,254,2021-01-30,2021-02-21,23,control,0,0.99794453,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.21739130434782608,8361|254|2021-01-30,0.6838261321182814,1.0065456743641263
9035,254,2021-01-30,2021-02-21,23,control,0,0.91222334,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,9035|254|2021-01-30,0.5981049421182814,1.0065456743641263
10040,254,2021-01-30,2021-02-21,23,control,0,0.5348552,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.5217391304347826,10040|254|2021-01-30,0.22073680211828128,1.0065456743641263
10321,254,2021-01-30,2021-02-21,23,control,0,0.004243906,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,10321|254|2021-01-30,-0.30987449188171867,1.0065456743641263
11649,254,2021-01-30,2021-02-21,23,control,0,0.101498656,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,11649|254|2021-01-30,-0.21261974188171867,1.0065456743641263
11671,254,2021-01-30,2021-02-21,23,control,0,0.29955134,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.043478260869565216,11671|254|2021-01-30,-0.014567057881718692,1.0065456743641263
12831,254,2021-01-30,2021-02-21,23,treatment,1,0.90645486,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.17391304347826086,12831|254|2021-01-30,0.5923364621182813,1.0065456743641263
12911,254,2021-01-30,2021-02-21,23,control,0,0.0067518707,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.043478260869565216,12911|254|2021-01-30,-0.3073665271817187,1.0065456743641263
13451,254,2021-01-30,2021-02-21,23,control,0,0.85838777,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.043478260869565216,13451|254|2021-01-30,0.5442693721182813,1.0065456743641263
13572,254,2021-01-30,2021-02-21,23,control,0,0.78840095,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,13572|254|2021-01-30,0.4742825521182813,1.0065456743641263
17259,254,2021-01-30,2021-02-21,23,control,0,0.81219167,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.043478260869565216,17259|254|2021-01-30,0.49807327211828134,1.0065456743641263
18193,254,2021-01-30,2021-02-21,23,control,0,0.04648456,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,18193|254|2021-01-30,-0.2676338378817187,1.0065456743641263
18657,254,2021-01-30,2021-02-21,23,control,0,0.65749454,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,18657|254|2021-01-30,0.34337614211828127,1.0065456743641263
18717,254,2021-01-30,2021-02-21,23,control,0,0.30717188,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.08695652173913043,18717|254|2021-01-30,-0.0069465178817186835,1.0065456743641263
19037,254,2021-01-30,2021-02-21,23,control,0,0.9326117,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.043478260869565216,19037|254|2021-01-30,0.6184933021182814,1.0065456743641263
19314,254,2021-01-30,2021-02-21,23,control,0,0.14614746,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,19314|254|2021-01-30,-0.16797093788171868,1.0065456743641263
19671,254,2021-01-30,2021-02-21,23,treatment,1,0.0793188,0,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.08695652173913043,19671|254|2021-01-30,-0.2347995978817187,1.0065456743641263
20577,254,2021-01-30,2021-02-21,23,treatment,1,0.9706269,1,dept_254_closure_2021-01-30,2020-10-30,2020-10,-4,0,0.0,20577|254|2021-01-30,0.6565085021182813,1.0065456743641263
