group,rel_t,mean,std
control,-4,0.9120098854498683,0.20169850763006175
control,-3,0.8566699568761124,0.25181289334705154
control,-2,0.8050439600857405,0.2968753853342163
control,-1,0.7917969714000492,0.31516409450349697
control,0,0.7757336857049271,0.33855201686768505
control,1,0.740208191590547,0.3426082730341312
control,2,0.6165256810426912,0.3803785352670417
control,3,0.5762805204897359,0.39869516625934576
control,4,0.5695244360854049,0.40309238066366476
treatment,-4,0.8529708145068805,0.2575991174429434
treatment,-3,0.7926964375323703,0.29489480991099204
treatment,-2,0.7198692419034549,0.34519097186133285
treatment,-1,0.6909446334215644,0.3630300559090472
treatment,0,0.0,0.0
treatment,1,0.6464201423102441,0.36468323298541855
treatment,2,0.47560572321187095,0.3844024556586487
treatment,3,0.5317066613003528,0.3888062292875486
treatment,4,0.5521109045052507,0.38345526079093883
