dept_id,closure_start,closure_event_id,rows,members
254,2021-01-30,dept_254_closure_2021-01-30,7248,906
228,2021-02-04,dept_228_closure_2021-02-04,7088,886
225,2021-02-09,dept_225_closure_2021-02-09,19816,2477
181,2021-02-11,dept_181_closure_2021-02-11,3528,441
8,2021-05-27,dept_8_closure_2021-05-27,5392,674
19,2021-07-15,dept_19_closure_2021-07-15,26408,3301
124,2021-07-22,dept_124_closure_2021-07-22,24760,3095
238,2021-07-24,dept_238_closure_2021-07-24,13512,1689
44,2021-07-24,dept_44_closure_2021-07-24,12504,1563
39,2021-07-25,dept_39_closure_2021-07-25,23128,2891
246,2021-07-27,dept_246_closure_2021-07-27,4320,540
133,2021-07-28,dept_133_closure_2021-07-28,17552,2194
47,2021-07-30,dept_47_closure_2021-07-30,27072,3384
121,2021-08-03,dept_121_closure_2021-08-03,17744,2218
182,2021-08-03,dept_182_closure_2021-08-03,12616,1577
220,2021-08-03,dept_220_closure_2021-08-03,14672,1834
59,2021-08-03,dept_59_closure_2021-08-03,25488,3186
46,2021-08-04,dept_46_closure_2021-08-04,21760,2720
62,2021-08-04,dept_62_closure_2021-08-04,21152,2644
3,2021-08-09,dept_3_closure_2021-08-09,11888,1486
5,2021-08-18,dept_5_closure_2021-08-18,19512,2439
131,2021-08-29,dept_131_closure_2021-08-29,21704,2713
