member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
5,225,2021-02-09,2021-02-18,10,control,0,0.14528728,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,5|225|2021-02-09,-0.1688311178817187,-1.1194757759223313
227,225,2021-02-09,2021-02-18,10,control,0,0.099860884,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,227|225|2021-02-09,-0.2142575138817187,-1.1194757759223313
866,225,2021-02-09,2021-02-18,10,control,0,0.34398916,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,866|225|2021-02-09,0.029870762118281324,-1.1194757759223313
1100,225,2021-02-09,2021-02-18,10,control,0,0.6347374,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.3,1100|225|2021-02-09,0.3206190021182813,-1.1194757759223313
2081,225,2021-02-09,2021-02-18,10,control,0,0.78901553,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,2081|225|2021-02-09,0.47489713211828133,-1.1194757759223313
2097,225,2021-02-09,2021-02-18,10,control,0,0.23596613,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,2097|225|2021-02-09,-0.0781522678817187,-1.1194757759223313
2185,225,2021-02-09,2021-02-18,10,control,0,0.2621139,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,2185|225|2021-02-09,-0.05200449788171868,-1.1194757759223313
2206,225,2021-02-09,2021-02-18,10,control,0,0.4399006,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,2206|225|2021-02-09,0.12578220211828128,-1.1194757759223313
2298,225,2021-02-09,2021-02-18,10,control,0,0.2133394,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,2298|225|2021-02-09,-0.10077899788171868,-1.1194757759223313
3239,225,2021-02-09,2021-02-18,10,control,0,0.085536055,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,3239|225|2021-02-09,-0.2285823428817187,-1.1194757759223313
3256,225,2021-02-09,2021-02-18,10,control,0,0.27744627,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.1,3256|225|2021-02-09,-0.0366721278817187,-1.1194757759223313
3918,225,2021-02-09,2021-02-18,10,control,0,0.5877838,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,3918|225|2021-02-09,0.2736654021182813,-1.1194757759223313
4027,225,2021-02-09,2021-02-18,10,control,0,0.28371793,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,4027|225|2021-02-09,-0.030400467881718685,-1.1194757759223313
4078,225,2021-02-09,2021-02-18,10,treatment,1,0.14661099,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,4078|225|2021-02-09,-0.1675074078817187,-1.1194757759223313
4219,225,2021-02-09,2021-02-18,10,treatment,1,0.01687824,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,4219|225|2021-02-09,-0.2972401578817187,-1.1194757759223313
4723,225,2021-02-09,2021-02-18,10,control,0,0.015154829,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,4723|225|2021-02-09,-0.2989635688817187,-1.1194757759223313
5264,225,2021-02-09,2021-02-18,10,treatment,1,0.53021455,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,5264|225|2021-02-09,0.21609615211828126,-1.1194757759223313
5395,225,2021-02-09,2021-02-18,10,control,0,0.4644605,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,5395|225|2021-02-09,0.1503421021182813,-1.1194757759223313
5561,225,2021-02-09,2021-02-18,10,control,0,0.16176698,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,5561|225|2021-02-09,-0.1523514178817187,-1.1194757759223313
5717,225,2021-02-09,2021-02-18,10,control,0,0.86031544,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.2,5717|225|2021-02-09,0.5461970421182814,-1.1194757759223313
5778,225,2021-02-09,2021-02-18,10,control,0,0.21647558,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,5778|225|2021-02-09,-0.09764281788171869,-1.1194757759223313
6212,225,2021-02-09,2021-02-18,10,control,0,0.008530406,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,6212|225|2021-02-09,-0.3055879918817187,-1.1194757759223313
6242,225,2021-02-09,2021-02-18,10,treatment,1,0.33464774,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,6242|225|2021-02-09,0.020529342118281335,-1.1194757759223313
6336,225,2021-02-09,2021-02-18,10,control,0,0.1923948,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,6336|225|2021-02-09,-0.12172359788171869,-1.1194757759223313
7281,225,2021-02-09,2021-02-18,10,control,0,0.99898213,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.7,7281|225|2021-02-09,0.6848637321182813,-1.1194757759223313
7295,225,2021-02-09,2021-02-18,10,treatment,1,0.5722425,1,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,7295|225|2021-02-09,0.2581241021182813,-1.1194757759223313
8373,225,2021-02-09,2021-02-18,10,control,0,0.018863918,0,dept_225_closure_2021-02-09,2021-01-30,2021-01,-1,0,0.0,8373|225|2021-02-09,-0.2952544798817187,-1.1194757759223313
