member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
1058,238,2021-07-24,2021-08-21,29,control,0,0.31633243,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.034482758620689655,1058|238|2021-07-24,0.002214032118281306,1.9877863437271066
1090,238,2021-07-24,2021-08-21,29,treatment,1,0.99776006,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.3103448275862069,1090|238|2021-07-24,0.6836416621182813,1.9877863437271066
1153,238,2021-07-24,2021-08-21,29,treatment,1,0.031181602,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,1153|238|2021-07-24,-0.2829367958817187,1.9877863437271066
1155,238,2021-07-24,2021-08-21,29,treatment,1,0.9580274,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.20689655172413793,1155|238|2021-07-24,0.6439090021182813,1.9877863437271066
1499,238,2021-07-24,2021-08-21,29,control,0,0.009997686,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,1499|238|2021-07-24,-0.3041207118817187,1.9877863437271066
1976,238,2021-07-24,2021-08-21,29,control,0,0.17185947,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,1976|238|2021-07-24,-0.1422589278817187,1.9877863437271066
2696,238,2021-07-24,2021-08-21,29,control,0,0.2896027,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,2696|238|2021-07-24,-0.0245156978817187,1.9877863437271066
2895,238,2021-07-24,2021-08-21,29,control,0,0.96581596,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.06896551724137931,2895|238|2021-07-24,0.6516975621182813,1.9877863437271066
2982,238,2021-07-24,2021-08-21,29,control,0,0.8721607,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.06896551724137931,2982|238|2021-07-24,0.5580423021182813,1.9877863437271066
3262,238,2021-07-24,2021-08-21,29,control,0,0.8859034,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,3262|238|2021-07-24,0.5717850021182813,1.9877863437271066
3264,238,2021-07-24,2021-08-21,29,control,0,0.9952702,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.13793103448275862,3264|238|2021-07-24,0.6811518021182813,1.9877863437271066
3786,238,2021-07-24,2021-08-21,29,control,0,0.037222978,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.034482758620689655,3786|238|2021-07-24,-0.2768954198817187,1.9877863437271066
3900,238,2021-07-24,2021-08-21,29,treatment,1,0.5824986,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.034482758620689655,3900|238|2021-07-24,0.2683802021182813,1.9877863437271066
4070,238,2021-07-24,2021-08-21,29,control,0,0.99702257,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.3103448275862069,4070|238|2021-07-24,0.6829041721182814,1.9877863437271066
4509,238,2021-07-24,2021-08-21,29,control,0,0.20484897,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,4509|238|2021-07-24,-0.1092694278817187,1.9877863437271066
4770,238,2021-07-24,2021-08-21,29,control,0,0.24732047,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,4770|238|2021-07-24,-0.0667979278817187,1.9877863437271066
