member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
302,220,2021-08-03,2021-08-12,10,control,0,0.13615026,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,302|220|2021-08-03,-0.42089254800712195,0.0
1627,220,2021-08-03,2021-08-12,10,control,0,0.11956792,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,1627|220|2021-08-03,-0.4374748880071219,0.0
2006,220,2021-08-03,2021-08-12,10,control,0,0.48476416,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.3,2006|220|2021-08-03,-0.07227864800712192,0.0
2476,220,2021-08-03,2021-08-12,10,treatment,1,0.999537,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.4,2476|220|2021-08-03,0.4424941919928781,0.0
4975,220,2021-08-03,2021-08-12,10,treatment,1,0.3980019,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,4975|220|2021-08-03,-0.1590409080071219,0.0
7977,220,2021-08-03,2021-08-12,10,treatment,1,0.13604653,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,7977|220|2021-08-03,-0.4209962780071219,0.0
8295,220,2021-08-03,2021-08-12,10,control,0,0.11962309,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,8295|220|2021-08-03,-0.4374197180071219,0.0
9566,220,2021-08-03,2021-08-12,10,control,0,0.56819886,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.1,9566|220|2021-08-03,0.011156051992878058,0.0
13288,220,2021-08-03,2021-08-12,10,control,0,0.1258119,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,13288|220|2021-08-03,-0.43123090800712194,0.0
16369,220,2021-08-03,2021-08-12,10,control,0,0.8333925,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.3,16369|220|2021-08-03,0.27634969199287807,0.0
16590,220,2021-08-03,2021-08-12,10,control,0,0.111005284,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,16590|220|2021-08-03,-0.44603752400712193,0.0
17290,220,2021-08-03,2021-08-12,10,control,0,0.38025576,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,17290|220|2021-08-03,-0.17678704800712192,0.0
18108,220,2021-08-03,2021-08-12,10,control,0,0.07333696,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,18108|220|2021-08-03,-0.4837058480071219,0.0
21302,220,2021-08-03,2021-08-12,10,control,0,0.7898281,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.2,21302|220|2021-08-03,0.23278529199287812,0.0
28217,220,2021-08-03,2021-08-12,10,control,0,0.028149802,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,28217|220|2021-08-03,-0.528893006007122,0.0
29822,220,2021-08-03,2021-08-12,10,control,0,0.97071034,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.6,29822|220|2021-08-03,0.4136675319928781,0.0
30569,220,2021-08-03,2021-08-12,10,control,0,0.948497,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.1,30569|220|2021-08-03,0.3914541919928781,0.0
32177,220,2021-08-03,2021-08-12,10,control,0,0.06984517,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.1,32177|220|2021-08-03,-0.4871976380071219,0.0
36476,220,2021-08-03,2021-08-12,10,control,0,0.49539506,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,36476|220|2021-08-03,-0.061647748007121916,0.0
42133,220,2021-08-03,2021-08-12,10,control,0,0.968327,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.2,42133|220|2021-08-03,0.41128419199287813,0.0
46182,220,2021-08-03,2021-08-12,10,treatment,1,0.25135761,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.1,46182|220|2021-08-03,-0.3056851980071219,0.0
48450,220,2021-08-03,2021-08-12,10,treatment,1,0.0056737727,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,48450|220|2021-08-03,-0.5513690353071219,0.0
55478,220,2021-08-03,2021-08-12,10,treatment,1,0.06365064,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.0,55478|220|2021-08-03,-0.49339216800712193,0.0
56188,220,2021-08-03,2021-08-12,10,control,0,0.4263225,0,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.1,56188|220|2021-08-03,-0.13072030800712192,0.0
61126,220,2021-08-03,2021-08-12,10,control,0,0.69109726,1,dept_220_closure_2021-08-03,2021-07-14,2021-07,-2,0,0.2,61126|220|2021-08-03,0.13405445199287813,0.0
