group,rel_t,mean,std
control,-4,0.4594573406888678,0.44183647566462775
control,-3,0.4463738023015071,0.43366510505314154
control,-2,0.4227620983286008,0.43096891388620695
control,-1,0.382710935561254,0.425826713976842
control,0,0.07572492123693135,0.2463128820027134
control,1,0.3640044390791481,0.4226054617479428
control,2,0.3822865820587916,0.42286887340943485
control,3,0.43287524215086054,0.42020462695134525
control,4,0.5226234295371041,0.43282325418140877
treatment,-4,0.4707070707070707,0.44401105520675627
treatment,-3,0.4465079365079365,0.4548734648808679
treatment,-2,0.424264705882353,0.449603047912951
treatment,-1,0.44918699186991873,0.455246441494302
treatment,0,0.029545454545454545,0.16631864868865107
treatment,1,0.38,0.44383544134048036
treatment,2,0.4283625730994152,0.4368443489858602
treatment,3,0.4825,0.4414006234225496
treatment,4,0.42083333333333334,0.42485569793306743
