closure_event_id,dept_id,closure_start,closure_end,closure_duration_days,members,rows,treated_members,control_members,output_dir
dept_8_closure_2021-05-27,8,2021-05-27,2021-06-10,15,674,5392,123,551,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_8_closure_2021-05-27
dept_19_closure_2021-07-15,19,2021-07-15,2021-07-25,11,3301,26408,593,2708,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_19_closure_2021-07-15
dept_124_closure_2021-07-22,124,2021-07-22,2021-08-18,28,3095,24760,1204,1891,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_124_closure_2021-07-22
dept_44_closure_2021-07-24,44,2021-07-24,2021-08-05,13,1563,12504,366,1197,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_44_closure_2021-07-24
dept_238_closure_2021-07-24,238,2021-07-24,2021-08-21,29,1689,13512,715,974,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_238_closure_2021-07-24
dept_39_closure_2021-07-25,39,2021-07-25,2021-08-19,26,2891,23128,230,2661,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_39_closure_2021-07-25
dept_246_closure_2021-07-27,246,2021-07-27,2021-08-08,13,540,4320,75,465,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_246_closure_2021-07-27
dept_133_closure_2021-07-28,133,2021-07-28,2021-08-22,26,2194,17552,210,1984,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_133_closure_2021-07-28
dept_47_closure_2021-07-30,47,2021-07-30,2021-08-10,12,3384,27072,220,3164,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_47_closure_2021-07-30
dept_59_closure_2021-08-03,59,2021-08-03,2021-08-19,17,3186,25488,403,2783,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_59_closure_2021-08-03
dept_121_closure_2021-08-03,121,2021-08-03,2021-08-20,18,2218,17744,411,1807,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_121_closure_2021-08-03
dept_182_closure_2021-08-03,182,2021-08-03,2021-08-20,18,1577,12616,208,1369,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_182_closure_2021-08-03
dept_220_closure_2021-08-03,220,2021-08-03,2021-08-12,10,1834,14672,590,1244,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_220_closure_2021-08-03
dept_46_closure_2021-08-04,46,2021-08-04,2021-08-19,16,2720,21760,304,2416,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_46_closure_2021-08-04
dept_62_closure_2021-08-04,62,2021-08-04,2021-08-17,14,2644,21152,224,2420,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_62_closure_2021-08-04
dept_3_closure_2021-08-09,3,2021-08-09,2021-08-22,14,1486,11888,687,799,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_3_closure_2021-08-09
dept_5_closure_2021-08-18,5,2021-08-18,2021-08-31,14,2439,19512,426,2013,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_5_closure_2021-08-18
dept_131_closure_2021-08-29,131,2021-08-29,2021-09-08,11,2713,21704,401,2312,outputs/05_robustness/missing_new_products/separate_effects/variety_seeking_unbalanced/dept_131_closure_2021-08-29
