treated,disp_binary,phase,new_campaigns_per_day_count,new_campaigns_per_day_mean,new_campaigns_per_day_std,new_records_per_day_count,new_records_per_day_mean,new_records_per_day_std,any_new_push_count,any_new_push_mean,any_new_push_std,new_push_days_per_day_count,new_push_days_per_day_mean,new_push_days_per_day_std,campaigns_per_day_count,campaigns_per_day_mean,campaigns_per_day_std,new_campaign_share_count,new_campaign_share_mean,new_campaign_share_std,n_new_strictly_before_first_purchase_count,n_new_strictly_before_first_purchase_mean,n_new_strictly_before_first_purchase_std,any_new_strictly_before_first_purchase_count,any_new_strictly_before_first_purchase_mean,any_new_strictly_before_first_purchase_std
0,0,during,23934,0.030946528164466997,0.05711492113117172,23934,0.030946528164466997,0.05711492113117172,23934,0.25357232389069945,0.43506471807866326,23934,0.030946528164466997,0.05711492113117172,23934,0.1974626671336996,0.15862080903004688,17505,0.12369208879920104,0.19077232739833946,23934,0.021768195871981283,0.193451775908757,23934,0.015124926882259547,0.12205238989920617
0,0,post,23934,0.02443031053996802,0.04145412612989446,23934,0.02443031053996802,0.04145412612989446,23934,0.2349690816411799,0.3853965311694307,23934,0.02443031053996802,0.04145412612989446,23934,0.18607102914856152,0.12430165376288115,21538,0.11507388698232515,0.18776631847011854,23934,0.02057742124174814,0.09226569157733842,23934,0.01599189437620122,0.06534449924805634
0,0,pre,23934,0.024814364382354855,0.04331184248693297,23934,0.024814364382354855,0.04331184248693297,23934,0.22322846160274087,0.37235585083966927,23934,0.024808407945478093,0.043303057596450804,23934,0.15671221982940184,0.11221979759726734,21478,0.11441127669421121,0.1723198150769283,23934,0.024807804796523773,0.10376843498963939,23934,0.018185426589788584,0.06890979811054403
0,1,during,8824,0.007194229206690266,0.02683728299452803,8824,0.007194229206690266,0.02683728299452803,8824,0.08046237533998186,0.2720231007194347,8824,0.007194229206690266,0.02683728299452803,8824,0.06888222789170141,0.1263608377579951,2756,0.08590219241045247,0.17079425910948764,8824,0.02130553037171351,0.19802795190847242,8824,0.013825929283771533,0.11677464763467642
0,1,post,8824,0.008613214477381607,0.023835198753362978,8824,0.008613214477381607,0.023835198753362978,8824,0.0948266092475068,0.24499786265300164,8824,0.008613214477381607,0.023835198753362978,8824,0.10157721550845814,0.12072594436490516,5683,0.07073411469747543,0.14220454003509933,8824,0.02841681776971895,0.11543175849738975,8824,0.020568902991840436,0.07733427334747024
0,1,pre,8824,0.004964803309217756,0.01624414247871353,8824,0.004964803309217756,0.01624414247871353,8824,0.060063463281958294,0.1804484460190701,8824,0.004964803309217756,0.01624414247871353,8824,0.03576178646235327,0.058578299477023546,4034,0.10130901176854325,0.18586500763074457,8824,0.036604714415231186,0.13240496699705107,8824,0.025555303717135085,0.08440864357684216
1,0,during,5349,0.03069310187424244,0.056040568077938266,5349,0.03069310187424244,0.056040568077938266,5349,0.25780519723312767,0.43746709097630404,5349,0.03069310187424244,0.056040568077938266,5349,0.21083652484870774,0.1520071158805469,4155,0.11394729685343404,0.17868581773377448,5349,0.005795475789867265,0.10124536818728126,5349,0.003925967470555244,0.06254027077050087
1,0,post,5349,0.02502336914534987,0.04213655725631769,5349,0.02502336914534987,0.04213655725631769,5349,0.2410730977752851,0.39100685108464855,5349,0.02502336914534987,0.04213655725631769,5349,0.1934757883736838,0.12410287445855801,4922,0.11386344661126103,0.1857252741575268,5349,0.023789493363245467,0.09648389072053801,5349,0.01888203402505141,0.07117576840560443
1,0,pre,5349,0.024745972032030408,0.043338812751904134,5349,0.024745972032030408,0.043338812751904134,5349,0.2220975883342681,0.3726768139788534,5349,0.02473406504452051,0.04332480142004102,5349,0.160609341861738,0.11055628352493396,4852,0.11117108851805883,0.1699299650331191,5349,0.02593942793045429,0.11158443142111682,5349,0.018508132361189006,0.06961494545935754
1,1,during,2041,0.011489076745302315,0.031940925437134,2041,0.011489076745302315,0.031940925437134,2041,0.1386575208231259,0.34567348415884824,2041,0.011489076745302315,0.031940925437134,2041,0.10533181091852566,0.14031332312081252,974,0.09433494294890599,0.17446325742162944,2041,0.008329250367466928,0.12691359331650182,2041,0.005389514943655071,0.07323316019915298
1,1,post,2041,0.01134697406930212,0.027884570841614838,2041,0.01134697406930212,0.027884570841614838,2041,0.12604115629593338,0.28419426225292777,2041,0.01134697406930212,0.027884570841614838,2041,0.11781029861314864,0.12483932263498213,1547,0.07488028521361538,0.1468273752435808,2041,0.04348358647721705,0.15251700596299148,2041,0.030132288094071532,0.09528559826321986
1,1,pre,2041,0.00578571483840485,0.017289344047773988,2041,0.00578571483840485,0.017289344047773988,2041,0.07373836354728075,0.19991098053949383,2041,0.00578571483840485,0.017289344047773988,2041,0.04271819272193199,0.06269106467080733,1070,0.10064631630052191,0.1755200965269317,2041,0.04838314551690348,0.15777973039535295,2041,0.03294953454189123,0.09832330574176756
