comparison,outcome,term,coef,se_crv1,pvalue_crv1,pvalue_wild_restricted,ci_low,ci_high,n,clusters,singleton_drops,absorption_error
post_vs_pre,new_campaigns_per_day,after_X_treated_X_high,0.0016726281485628552,0.0007268432250358883,0.034303194873468806,0.0469,0.00013912298973963008,0.00320613330738608,321184,18,0,9.417622237606338e-11
during_vs_all_pre,new_campaigns_per_day,after_X_treated_X_high,0.004112196155647652,0.0010611048659181573,0.0012148595812640352,0.0032,0.0018734605798189355,0.006350931731476369,200740,18,0,9.718370552747047e-11
during_vs_last_pre,new_campaigns_per_day,after_X_treated_X_high,0.004328002218925347,0.0013151726851492332,0.0043147129118441575,0.0111,0.0015532304002568013,0.0071027740375938925,80296,18,0,9.054229588301155e-11
post_vs_pre,new_records_per_day,after_X_treated_X_high,0.0016726281485628552,0.0007268432250358883,0.034303194873468806,0.0469,0.00013912298973963008,0.00320613330738608,321184,18,0,9.417622237606338e-11
during_vs_all_pre,new_records_per_day,after_X_treated_X_high,0.004112196155647652,0.0010611048659181573,0.0012148595812640352,0.003,0.0018734605798189355,0.006350931731476369,200740,18,0,9.718370552747047e-11
during_vs_last_pre,new_records_per_day,after_X_treated_X_high,0.004328002218925347,0.0013151726851492332,0.0043147129118441575,0.0113,0.0015532304002568013,0.0071027740375938925,80296,18,0,9.054229588301155e-11
post_vs_pre,any_new_push,after_X_treated_X_high,0.01442730504227103,0.006065654871831997,0.029373499870966352,0.0399,0.001629891903920157,0.0272247181806219,321184,18,0,9.417622237606338e-11
during_vs_all_pre,any_new_push,after_X_treated_X_high,0.04220749653007112,0.010015273458033984,0.0005833270443943986,0.001,0.021077116572051836,0.06333787648809042,200740,18,0,9.718370552747047e-11
during_vs_last_pre,any_new_push,after_X_treated_X_high,0.0362424283933,0.010962089064321263,0.004174205813073681,0.0057,0.01311444211980024,0.05937041466679975,80296,18,0,9.054229588301155e-11
post_vs_pre,new_push_days_per_day,after_X_treated_X_high,0.0016672561721101462,0.0007261379292071335,0.03465849274516104,0.0471,0.00013523905741340855,0.0031992732868068837,321184,18,0,9.417622237606338e-11
during_vs_all_pre,new_push_days_per_day,after_X_treated_X_high,0.004106228413838722,0.001060109017757435,0.0012201139646247766,0.0031,0.0018695938939726538,0.00634286293370479,200740,18,0,9.718370552747047e-11
during_vs_last_pre,new_push_days_per_day,after_X_treated_X_high,0.004331465938512521,0.0013143710646817655,0.004271696433999944,0.0111,0.0015583853911937486,0.007104546485831293,80296,18,0,9.054229588301155e-11
post_vs_pre,campaigns_per_day,after_X_treated_X_high,0.011281931992503054,0.005820853137891967,0.06938974730740412,0.1104,-0.0009989946341005685,0.023562858619106675,321184,18,0,9.417622237606338e-11
during_vs_all_pre,campaigns_per_day,after_X_treated_X_high,0.02300183340113713,0.008722310804334426,0.01729698881519987,0.0823,0.004599366191449697,0.04140430061082456,200740,18,0,9.718370552747047e-11
during_vs_last_pre,campaigns_per_day,after_X_treated_X_high,0.014310671629238804,0.007756875554425042,0.08254676988820023,0.1648,-0.0020549052508005393,0.030676248509278147,80296,18,0,9.054229588301155e-11
post_vs_pre,push_records_per_day,after_X_treated_X_high,0.012520631786973737,0.006216683076864156,0.06011048902099972,0.1102,-0.0005954230110461686,0.025636686584993643,321184,18,0,9.417622237606338e-11
during_vs_all_pre,push_records_per_day,after_X_treated_X_high,0.02431079670062396,0.009122138894909754,0.01632231796305434,0.0851,0.0050647659569854064,0.043556827444262515,200740,18,0,9.718370552747047e-11
during_vs_last_pre,push_records_per_day,after_X_treated_X_high,0.01444512933826397,0.0077523301489918605,0.07978528587671319,0.1606,-0.0019108575745848781,0.030801116251112818,80296,18,0,9.054229588301155e-11
post_vs_pre,new_campaign_share,after_X_treated_X_high,-0.00047263339007180843,0.005795040902205927,0.9359505436153481,0.9406,-0.012699100959726322,0.011753834179582706,183480,18,2846,9.707024073435377e-11
during_vs_all_pre,new_campaign_share,after_X_treated_X_high,0.0019677770137497027,0.009461066742199108,0.8377106216762517,0.8505,-0.017993328981861397,0.021928883009360804,107606,18,4839,9.870081835172684e-11
during_vs_last_pre,new_campaign_share,after_X_treated_X_high,-0.0014237408124813445,0.005650820201035963,0.8040981783694013,0.808,-0.013345929300161444,0.010498447675198756,39628,18,8835,9.528972055861118e-11
