treated,disp_binary,phase,records,mean,median,minimum,maximum,p25,p75,p90
0,0,during,12194,160.89519435788094,135.0,31.0,448.0,65.0,246.0,325.0
0,0,post,37932,183.7404038806285,153.0,31.0,542.0,77.0,280.0,367.0
0,0,pre,39471,148.52200349623774,131.0,24.0,430.0,63.0,220.0,289.0
0,1,during,1397,48.318539727988544,41.0,31.0,292.0,32.0,55.0,74.0
0,1,post,6158,71.9506333225073,58.0,31.0,409.0,40.0,92.0,131.0
0,1,pre,3900,96.2051282051282,57.0,23.0,383.0,39.0,130.0,233.0
1,0,during,2839,154.85135611130679,129.0,31.0,427.0,65.0,226.5,321.0
1,0,post,8993,182.96030245746692,154.0,31.0,537.0,83.0,268.0,369.0
1,0,pre,9197,142.59225834511253,121.0,31.0,413.0,63.0,211.0,281.0
1,1,during,570,48.02982456140351,40.0,31.0,137.0,32.0,57.0,75.0
1,1,post,2091,82.54232424677188,67.0,31.0,465.0,44.0,109.0,149.0
1,1,pre,1176,91.703231292517,56.0,31.0,400.0,39.0,115.75,221.5
