scope,outcome,component,rel_t,term,coef,se,pvalue,ci_low,ci_high,n
headline_all_products,variety_seeking,baseline_treatment_effect,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.026133723234079947,0.02002931518467654,0.2093571533633305,-0.06839188442404119,0.016124437955881296,99644
headline_all_products,variety_seeking,baseline_treatment_effect,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.021227957425609487,0.028779332705600322,0.47081032230565945,-0.08194704188752899,0.039491127036310025,99644
headline_all_products,variety_seeking,baseline_treatment_effect,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.03603561097987252,0.019022363882759234,0.07531605765691718,-0.07616929062692923,0.004098068667184186,99644
headline_all_products,variety_seeking,baseline_treatment_effect,1,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.0359681079405013,0.027213268141953264,0.20377550939050693,-0.021446869109143125,0.09338308499014572,99644
headline_all_products,variety_seeking,baseline_treatment_effect,2,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.014888661032168593,0.027733418083323556,0.5983284006128575,-0.04362373646658789,0.07340105853092507,99644
headline_all_products,variety_seeking,baseline_treatment_effect,3,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.012374059318370332,0.028902418384022337,0.6739296494116549,-0.07335283186203277,0.04860471322529211,99644
headline_all_products,variety_seeking,baseline_treatment_effect,4,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.005246404713033496,0.019144083695892825,0.7873495458122477,-0.035144081291903405,0.0456368907179704,99644
headline_all_products,variety_seeking,high_minus_low_ddd,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.022309205235982225,0.027250581591699973,0.4243033151453086,-0.0351844963112005,0.07980290678316496,99644
headline_all_products,variety_seeking,high_minus_low_ddd,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.026419281094271253,0.03438727561761874,0.4528581237158602,-0.0461315286830239,0.09897009087156641,99644
headline_all_products,variety_seeking,high_minus_low_ddd,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.0160170094064315,0.0197703814556274,0.42904851887692574,-0.025694849368355435,0.05772886818121843,99644
headline_all_products,variety_seeking,high_minus_low_ddd,1,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",-0.011959795353001804,0.027211330024489354,0.6658242107538181,-0.0693706833322292,0.04545109262622559,99644
headline_all_products,variety_seeking,high_minus_low_ddd,2,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.039405163287431835,0.031164501468836422,0.22313883138522228,-0.10515651396178798,0.026346187386924305,99644
headline_all_products,variety_seeking,high_minus_low_ddd,3,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",-0.02070701132100738,0.030475755816228484,0.5059944076622696,-0.08500523568832641,0.04359121304631164,99644
headline_all_products,variety_seeking,high_minus_low_ddd,4,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.03637326299265008,0.025285217336339167,0.16844324321416138,-0.08972040841775607,0.016973882432455914,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,-4,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",0.03994672909477521,0.013435691070357024,0.008528322414132594,0.011599898775581794,0.06829355941396863,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,-3,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",0.03305513994635555,0.013556953855562846,0.02602810054981597,0.004452467513923447,0.061657812378787646,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,-2,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",0.015871515056352765,0.014146869130564928,0.2774978055611226,-0.01397576981288047,0.045718799925586,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,1,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",0.02910248452793115,0.013320458256490865,0.04319602774054365,0.0009987741945101103,0.05720619486135219,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,2,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",0.06240858303940425,0.0139143182829588,0.00032590283511857443,0.03305193757108873,0.09176522850771976,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,3,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",0.07028576441312774,0.016546966959751885,0.0005428613060427523,0.03537471575555226,0.10519681307070322,99644
headline_all_products,variety_seeking,common_high_minus_low_shift,4,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",0.08371061172378501,0.017021590209646904,0.00013015870519450523,0.04779819553997921,0.1196230279075908,99644
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.012048153825745542,0.039412578461748664,0.763549923321384,-0.09520142582691539,0.0711051181754243,30444
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.07285143784363186,0.030077526276859487,0.02689402999483126,-0.13630947132523685,-0.009393404362026875,30444
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.04271472681847446,0.02868066984470037,0.15472079250683546,-0.10322565083951367,0.017796197202564742,30444
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,1,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.033528460043245584,0.05855956676674293,0.5744422856971225,-0.09002142615239091,0.15707834623888206,30444
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,2,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.08010867032082591,0.04166258292016306,0.07142309960336868,-0.007791696136900728,0.16800903677855256,30444
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,3,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.0025947562669218463,0.034726048770960825,0.9413091284727002,-0.0758603149204898,0.0706708023866461,30444
all_noncoffee,novelty_all_noncoffee,baseline_treatment_effect,4,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.023092217764451164,0.0513890841044168,0.6588479617400815,-0.08532927240962691,0.13151370793852923,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.028253871782917005,0.03070416827768361,0.37034400134923895,-0.03652626075375126,0.09303400431958528,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.10328087186731294,0.03176576294758874,0.00469840519601572,0.03626097035873416,0.17030077337589172,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.05861006767581481,0.0281830043434656,0.05300617167081145,-0.0008508739181691191,0.11807100926979874,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,1,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",0.028079607011996393,0.06251648353291615,0.6589929797643816,-0.10381864381710164,0.15997785784109442,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,2,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.059067821382912944,0.04301821581925905,0.18756620972491622,-0.14982832324897546,0.03169268048314958,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,3,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",0.051776888354206525,0.04219990107108838,0.2365655170336729,-0.037257120308594883,0.14081089701700794,30444
all_noncoffee,novelty_all_noncoffee,high_minus_low_ddd,4,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.009204121314670502,0.052998753844327444,0.8641785443648211,-0.12102171778117873,0.10261347515183772,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,-4,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",-0.018019470930900384,0.01912247247001949,0.35922890266202634,-0.058364361234833656,0.022325419373032885,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,-3,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",-0.018804441145060184,0.022434073905373338,0.4135440050176835,-0.06613619974487772,0.028527317454757353,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,-2,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",-0.02414660273692915,0.02271394731879949,0.30261708140578647,-0.07206884262421452,0.023775637150356226,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,1,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.05772001828389833,0.02674876296799404,0.045536108701948574,-0.11415497508153948,-0.0012850614862571913,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,2,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",-0.013290137259766242,0.02691922142152594,0.6278327623750601,-0.07008472995804234,0.04350445543850985,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,3,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",-0.03805999383444765,0.026168574972041038,0.1640457781754585,-0.09327086096015533,0.017150873291260034,30444
all_noncoffee,novelty_all_noncoffee,common_high_minus_low_shift,4,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",-0.01872611980967988,0.028955801991773646,0.5264531845006442,-0.07981752192057698,0.04236528230121721,30444
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.0120499874098308,0.03974318427789849,0.7654192537457369,-0.09590077671203581,0.0718008018923742,30418
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.07338514283239098,0.030296239317077516,0.026886909511230073,-0.1373046204933232,-0.009465665171458734,30418
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.042791317019268846,0.028787978605931894,0.1554761221832648,-0.1035286427363923,0.017946008697854607,30418
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,1,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.032949032099264614,0.0587741233707957,0.5823811103530327,-0.09105352896192938,0.1569515931604586,30418
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,2,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.07933065360616663,0.041830071848823536,0.07501966859140241,-0.008923083602362478,0.16758439081469573,30418
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,3,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.002529556566101213,0.03444672379362996,0.9423179840278297,-0.07520579103121859,0.07014667789901617,30418
noncoffee_consumables,novelty_noncoffee_consumables,baseline_treatment_effect,4,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.02256311059062067,0.05159387354612195,0.6673830571942667,-0.08629044753774269,0.13141666871898403,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.027515862576578932,0.03052095668279747,0.37989696600855716,-0.036877727283158905,0.09190945243631676,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.10403625486291126,0.03138597626969993,0.004097611992022854,0.037817633203595796,0.17025487652222673,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.05736095247361112,0.028321889634694442,0.05882983841839917,-0.0023930114713393152,0.11711491641856156,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,1,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",0.028251368125326467,0.06226652140648525,0.6557712219513196,-0.10311950871555936,0.1596222449662123,30418
