scope,treated,disp_binary,rel_t,member_period_rows,purchasing_rows,purchase_entry_rate,mean_novelty_conditional,mean_distinct_products_conditional
all_noncoffee,0,0,-4,23934,2595,0.10842316370017548,0.7816484553767791,1.558766859344894
all_noncoffee,0,0,-3,23934,2386,0.09969081641179911,0.7886961308692239,1.538558256496228
all_noncoffee,0,0,-2,23934,1834,0.07662739199465196,0.8126772082878954,1.5507088331515813
all_noncoffee,0,0,-1,23934,1761,0.0735773376786162,0.7880357480868553,1.4815445769449176
all_noncoffee,0,0,1,23934,1616,0.06751901061251776,0.7530137388738876,1.5909653465346534
all_noncoffee,0,0,2,23934,1593,0.06655803459513662,0.7321450990942517,1.536723163841808
all_noncoffee,0,0,3,23934,1395,0.058285284532464274,0.7135978835978836,1.517562724014337
all_noncoffee,0,0,4,23934,1324,0.055318793348374695,0.7102997770105021,1.4886706948640482
all_noncoffee,0,1,-4,8824,2471,0.28003173164097916,0.715655243984451,1.8134358559287738
all_noncoffee,0,1,-3,8824,2563,0.2904578422484134,0.6891765320559702,1.7924307452204449
all_noncoffee,0,1,-2,8824,2948,0.33408884859474164,0.7079083131364339,1.8083446404341927
all_noncoffee,0,1,-1,8824,2353,0.2666591115140526,0.7120818900661904,1.8984275393115173
all_noncoffee,0,1,1,8824,1792,0.20308250226654578,0.6392854603234068,1.7645089285714286
all_noncoffee,0,1,2,8824,1570,0.17792384406165004,0.6300948662095158,1.7356687898089171
all_noncoffee,0,1,3,8824,1400,0.1586582048957389,0.5881425736961451,1.6107142857142858
all_noncoffee,0,1,4,8824,1302,0.14755213055303718,0.6032389120522762,1.609831029185868
all_noncoffee,1,0,-4,5349,618,0.1155356141334829,0.7830906148867313,1.5339805825242718
all_noncoffee,1,0,-3,5349,521,0.09740138343615629,0.7653573713554519,1.618042226487524
all_noncoffee,1,0,-2,5349,451,0.08431482520097214,0.8112848472050245,1.6341463414634145
all_noncoffee,1,0,-1,5349,407,0.07608898859599925,0.8093951093951093,1.5405405405405406
all_noncoffee,1,0,1,5349,410,0.07664984109179286,0.8048178650617676,1.6512195121951219
all_noncoffee,1,0,2,5349,377,0.07048046363806319,0.7859500652604101,1.6312997347480107
all_noncoffee,1,0,3,5349,359,0.06711534866330156,0.7244528452049344,1.5821727019498608
all_noncoffee,1,0,4,5349,317,0.059263413722191065,0.7454258675078864,1.5047318611987381
all_noncoffee,1,1,-4,2041,713,0.3493385595296423,0.7386427632570691,2.134642356241234
all_noncoffee,1,1,-3,2041,714,0.349828515433611,0.7227753222501122,1.9607843137254901
all_noncoffee,1,1,-2,2041,765,0.37481626653601174,0.7056114456274806,1.9542483660130718
all_noncoffee,1,1,-1,2041,648,0.31749142577168055,0.7144215602548936,2.1358024691358026
all_noncoffee,1,1,1,2041,513,0.2513473787359138,0.6992490566898076,2.042884990253411
all_noncoffee,1,1,2,2041,425,0.2082312591866732,0.6299212573918456,1.943529411764706
all_noncoffee,1,1,3,2041,413,0.2023517883390495,0.6631676703710603,1.88135593220339
all_noncoffee,1,1,4,2041,362,0.1773640372366487,0.6025117991278213,1.776243093922652
noncoffee_consumables,0,0,-4,23934,2593,0.10833960056822929,0.7813514879943727,1.5564982645584264
noncoffee_consumables,0,0,-3,23934,2386,0.09969081641179911,0.7888009087401375,1.5377200335289187
noncoffee_consumables,0,0,-2,23934,1834,0.07662739199465196,0.8125863322428207,1.5501635768811342
noncoffee_consumables,0,0,-1,23934,1761,0.0735773376786162,0.7880357480868553,1.480976717773992
noncoffee_consumables,0,0,1,23934,1616,0.06751901061251776,0.7530137388738876,1.5897277227722773
noncoffee_consumables,0,0,2,23934,1593,0.06655803459513662,0.7322497234926613,1.5354676710608914
noncoffee_consumables,0,0,3,23934,1393,0.05820172140051809,0.7134259734044371,1.5154343144292892
noncoffee_consumables,0,0,4,23934,1323,0.0552770117824016,0.710836662707411,1.4890400604686318
noncoffee_consumables,0,1,-4,8824,2468,0.27969174977334543,0.7161199788839459,1.8144246353322528
noncoffee_consumables,0,1,-3,8824,2560,0.2901178603807797,0.6890355000901875,1.79140625
noncoffee_consumables,0,1,-2,8824,2946,0.3338621940163191,0.7080999717074056,1.8075356415478616
noncoffee_consumables,0,1,-1,8824,2351,0.2664324569356301,0.7120496330607171,1.8983411314334326
noncoffee_consumables,0,1,1,8824,1790,0.2028558476881233,0.6393014217315893,1.7636871508379888
noncoffee_consumables,0,1,2,8824,1568,0.17769718948322757,0.6302608035388647,1.7366071428571428
noncoffee_consumables,0,1,3,8824,1400,0.1586582048957389,0.5881425736961451,1.6092857142857142
noncoffee_consumables,0,1,4,8824,1300,0.14732547597461468,0.6025003052503053,1.61
noncoffee_consumables,1,0,-4,5349,616,0.1151617124696205,0.7848214285714284,1.5324675324675325
noncoffee_consumables,1,0,-3,5349,521,0.09740138343615629,0.7653573713554519,1.618042226487524
noncoffee_consumables,1,0,-2,5349,451,0.08431482520097214,0.8112848472050245,1.6341463414634145
noncoffee_consumables,1,0,-1,5349,407,0.07608898859599925,0.8093951093951093,1.5405405405405406
noncoffee_consumables,1,0,1,5349,410,0.07664984109179286,0.8048178650617676,1.6512195121951219
noncoffee_consumables,1,0,2,5349,377,0.07048046363806319,0.7859500652604101,1.6312997347480107
noncoffee_consumables,1,0,3,5349,359,0.06711534866330156,0.7244528452049344,1.5821727019498608
