term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,n_clusters,event_store_pairs,within_r2,outcome,sample,model
treated_store_X_post,-0.01289124259722575,0.034052015822209965,0.7096896885699432,-0.08473471603554628,0.05895223084109477,736,18,92,0.000969779844381069,core_coverage,available_unbalanced,pooled_post
rt_p1_X_treated_store,0.02054920673827705,0.03648206819883592,0.580606095683786,-0.056421229059199454,0.09751964253575356,736,18,92,0.01508273057155618,core_coverage,available_unbalanced,immediate_post
treated_store_X_post,-0.01289124259722575,0.034052015822209965,0.7096896885699432,-0.08473471603554628,0.05895223084109477,736,18,92,0.000969779844381069,core_coverage,complete_8_period_pairs,pooled_post
rt_p1_X_treated_store,0.02054920673827705,0.03648206819883592,0.580606095683786,-0.056421229059199454,0.09751964253575356,736,18,92,0.01508273057155618,core_coverage,complete_8_period_pairs,immediate_post
treated_store_X_post,0.3063215910042821,0.5177747059741419,0.5618961592450746,-0.7860875494679573,1.3987307314765214,723,18,92,0.0019242131481626013,rarefied_products_50,available_unbalanced,pooled_post
rt_p1_X_treated_store,0.1935253947240828,0.8753195718185514,0.8276551948596912,-1.6532374734809663,2.040288262929132,723,18,92,0.0141988600943731,rarefied_products_50,available_unbalanced,immediate_post
treated_store_X_post,0.5469823943661958,0.49322638676544156,0.28287783335330996,-0.49363431982990624,1.5875991085622978,696,18,87,0.006440196620605132,rarefied_products_50,complete_8_period_pairs,pooled_post
rt_p1_X_treated_store,0.36719718309859395,0.9768626412354597,0.7116449805398094,-1.6938028347832446,2.4281972009804327,696,18,87,0.012636050059411041,rarefied_products_50,complete_8_period_pairs,immediate_post
treated_store_X_post,0.01462005755706293,0.025006721453498314,0.5664654448559123,-0.03813951291606301,0.06737962803018888,736,18,92,0.0019432904538952966,menu_jaccard_pre,available_unbalanced,pooled_post
rt_p1_X_treated_store,0.04949538548477073,0.02932784674900305,0.10973660784079338,-0.01238096245058011,0.11137173342012158,736,18,92,0.011857717475502128,menu_jaccard_pre,available_unbalanced,immediate_post
treated_store_X_post,0.01462005755706293,0.025006721453498314,0.5664654448559123,-0.03813951291606301,0.06737962803018888,736,18,92,0.0019432904538952966,menu_jaccard_pre,complete_8_period_pairs,pooled_post
rt_p1_X_treated_store,0.04949538548477073,0.02932784674900305,0.10973660784079338,-0.01238096245058011,0.11137173342012158,736,18,92,0.011857717475502128,menu_jaccard_pre,complete_8_period_pairs,immediate_post
