term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,n_clusters,event_store_pairs,within_r2,outcome,rel_t
rt_m4_X_treated_store,-0.01327224631185836,0.06788823445413796,0.8473180965471517,-0.15650390091478988,0.12995940829107316,736,18,92,0.015082730571556069,core_coverage,-4
rt_m3_X_treated_store,0.04405054839552207,0.025740847428131843,0.10520666304722201,-0.01025789249497766,0.0983589892860218,736,18,92,0.015082730571556069,core_coverage,-3
rt_m2_X_treated_store,0.051938478168014265,0.024047646343572312,0.045362178891067265,0.001202379302122275,0.10267457703390626,736,18,92,0.015082730571556069,core_coverage,-2
rt_p1_X_treated_store,0.020549206738276846,0.03648206819883562,0.5806060956837867,-0.05642122905919904,0.09751964253575272,736,18,92,0.015082730571556069,core_coverage,1
rt_p2_X_treated_store,0.032599607556760585,0.03491833764839239,0.36358432293633725,-0.04107164516585651,0.10627086027937768,736,18,92,0.015082730571556069,core_coverage,2
rt_p3_X_treated_store,-0.02215300634422889,0.06028571621725025,0.7178055189823049,-0.14934474954021387,0.10503873685175608,736,18,92,0.015082730571556069,core_coverage,3
rt_p4_X_treated_store,0.00015600191196671331,0.0626060696123353,0.9980408393403825,-0.1319312590230468,0.13224326284698024,736,18,92,0.015082730571556069,core_coverage,4
rt_m4_X_treated_store,0.7514803821307088,0.7502098824332668,0.3305373929642583,-0.8313241144713965,2.334284878732814,723,18,92,0.014198860094372323,rarefied_products_50,-4
rt_m3_X_treated_store,-0.515198284830169,0.7113455457145245,0.47875663504980526,-2.016006198400918,0.9856096287405796,723,18,92,0.014198860094372323,rarefied_products_50,-3
rt_m2_X_treated_store,-0.24080322310177504,0.6322795361580449,0.7080324249652461,-1.574796438033156,1.0931899918296057,723,18,92,0.014198860094372323,rarefied_products_50,-2
rt_p1_X_treated_store,0.19352539472408054,0.8753195718185428,0.8276551948596915,-1.6532374734809507,2.0402882629291117,723,18,92,0.014198860094372323,rarefied_products_50,1
rt_p2_X_treated_store,0.7295915841584125,0.9006723206965764,0.42910419395629673,-1.1706609085703867,2.6298440768872116,723,18,92,0.014198860094372323,rarefied_products_50,2
rt_p3_X_treated_store,0.30653624995132916,1.0430221215912703,0.772398103740347,-1.8940480702065468,2.507120570109205,723,18,92,0.014198860094372323,rarefied_products_50,3
rt_p4_X_treated_store,-0.03354190523589967,0.899872278945923,0.9707006873055981,-1.9321064574162534,1.8650226469444542,723,18,92,0.014198860094372323,rarefied_products_50,4
rt_m4_X_treated_store,0.014050846501576363,0.06174055508318678,0.82268816829875,-0.11621033839699865,0.1443120314001514,736,18,92,0.011857717475501794,menu_jaccard_pre,-4
rt_m3_X_treated_store,0.04654410813172277,0.035002943402356254,0.2011781960814885,-0.027305647128581606,0.12039386339202715,736,18,92,0.011857717475501794,menu_jaccard_pre,-3
rt_m2_X_treated_store,0.027941063875219944,0.025956518012390725,0.2967629834517654,-0.026822402173629554,0.08270452992406944,736,18,92,0.011857717475501794,menu_jaccard_pre,-2
rt_p1_X_treated_store,0.04949538548477032,0.029327846749002746,0.1097366078407928,-0.012380962450579881,0.11137173342012052,736,18,92,0.011857717475501794,menu_jaccard_pre,1
rt_p2_X_treated_store,0.055161778725335134,0.0345336038890277,0.1286107252951604,-0.017697756718456026,0.1280213141691263,736,18,92,0.011857717475501794,menu_jaccard_pre,2
rt_p3_X_treated_store,0.018958207451777186,0.05015481298337964,0.7101134757272697,-0.08685919828386704,0.12477561318742142,736,18,92,0.011857717475501794,menu_jaccard_pre,3
rt_p4_X_treated_store,0.023400877074888166,0.04908828106374134,0.6396386564265639,-0.08016634300244685,0.12696809715222318,736,18,92,0.011857717475501794,menu_jaccard_pre,4
