closure_event_id,treated_dept_id,store_id,treated_store,closure_start,closure_end,rel_t,post,period_start,period_end,n_baskets,n_members,n_products,rarefied_products_50,core_coverage,menu_jaccard_pre,event_store_fe,event_rel_fe,treated_store_X_post
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,-4,0,2021-04-29,2021-05-05,316,257,48,24.8,0.8636363636363636,0.75,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|-4,0
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,-3,0,2021-05-06,2021-05-12,298,227,48,27.06,1.0,0.75,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|-3,0
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,-2,0,2021-05-13,2021-05-19,277,222,44,25.99,0.9090909090909091,0.6875,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|-2,0
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,-1,0,2021-05-20,2021-05-26,264,214,48,27.37,0.8863636363636364,0.75,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|-1,0
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,1,1,2021-06-11,2021-06-17,312,244,60,30.33,0.9090909090909091,0.7222222222222222,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|1,1
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,2,1,2021-06-18,2021-06-24,368,284,64,29.34,0.9090909090909091,0.7534246575342466,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|2,1
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,3,1,2021-06-25,2021-07-01,296,230,56,27.85,0.7954545454545454,0.6666666666666666,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|3,1
dept_8_closure_2021-05-27,8,8,1,2021-05-27,2021-06-10,4,1,2021-07-02,2021-07-08,292,232,58,28.06,0.8409090909090909,0.6052631578947368,dept_8_closure_2021-05-27|8,dept_8_closure_2021-05-27|4,1
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,-4,0,2021-04-29,2021-05-05,306,281,53,30.48,0.94,0.7162162162162162,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|-4,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,-3,0,2021-05-06,2021-05-12,306,242,47,25.45,0.9,0.6351351351351351,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|-3,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,-2,0,2021-05-13,2021-05-19,313,255,57,27.37,0.88,0.7702702702702703,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|-2,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,-1,0,2021-05-20,2021-05-26,373,319,64,27.64,1.0,0.8648648648648649,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|-1,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,1,1,2021-06-11,2021-06-17,406,345,61,26.07,0.76,0.5697674418604651,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|1,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,2,1,2021-06-18,2021-06-24,487,397,72,28.27,0.92,0.6781609195402298,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|2,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,3,1,2021-06-25,2021-07-01,473,396,68,26.4,0.8,0.5955056179775281,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|3,0
dept_8_closure_2021-05-27,8,184,0,2021-05-27,2021-06-10,4,1,2021-07-02,2021-07-08,468,402,62,26.35,0.76,0.5813953488372093,dept_8_closure_2021-05-27|184,dept_8_closure_2021-05-27|4,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,-4,0,2021-04-29,2021-05-05,641,523,61,26.4,0.9821428571428571,0.8970588235294118,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|-4,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,-3,0,2021-05-06,2021-05-12,432,352,54,26.49,0.9285714285714286,0.7941176470588235,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|-3,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,-2,0,2021-05-13,2021-05-19,489,400,56,27.09,0.9285714285714286,0.8235294117647058,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|-2,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,-1,0,2021-05-20,2021-05-26,513,416,58,29.0,0.9464285714285714,0.8529411764705882,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|-1,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,1,1,2021-06-11,2021-06-17,668,533,66,28.36,0.875,0.7402597402597403,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|1,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,2,1,2021-06-18,2021-06-24,581,464,64,27.65,0.8035714285714286,0.6708860759493671,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|2,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,3,1,2021-06-25,2021-07-01,675,554,68,28.29,0.8035714285714286,0.7,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|3,0
dept_8_closure_2021-05-27,8,10,0,2021-05-27,2021-06-10,4,1,2021-07-02,2021-07-08,654,529,68,26.45,0.8214285714285714,0.6790123456790124,dept_8_closure_2021-05-27|10,dept_8_closure_2021-05-27|4,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,-4,0,2021-04-29,2021-05-05,113,96,40,25.98,0.7551020408163265,0.5263157894736842,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|-4,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,-3,0,2021-05-06,2021-05-12,456,277,60,26.54,1.0,0.7894736842105263,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|-3,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,-2,0,2021-05-13,2021-05-19,347,230,56,27.83,1.0,0.7368421052631579,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|-2,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,-1,0,2021-05-20,2021-05-26,428,287,65,27.19,0.9387755102040817,0.8552631578947368,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|-1,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,1,1,2021-06-11,2021-06-17,479,322,64,25.73,0.7959183673469388,0.5909090909090909,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|1,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,2,1,2021-06-18,2021-06-24,529,358,72,25.32,0.8571428571428571,0.6086956521739131,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|2,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,3,1,2021-06-25,2021-07-01,534,356,71,26.44,0.9387755102040817,0.6153846153846154,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|3,0
dept_8_closure_2021-05-27,8,188,0,2021-05-27,2021-06-10,4,1,2021-07-02,2021-07-08,493,322,63,25.16,0.7755102040816326,0.4787234042553192,dept_8_closure_2021-05-27|188,dept_8_closure_2021-05-27|4,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,-4,0,2021-04-29,2021-05-05,252,209,54,31.21,0.8793103448275862,0.7297297297297297,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|-4,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,-3,0,2021-05-06,2021-05-12,332,231,61,30.5,0.9482758620689655,0.8243243243243243,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|-3,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,-2,0,2021-05-13,2021-05-19,300,226,64,33.36,0.9655172413793104,0.8648648648648649,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|-2,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,-1,0,2021-05-20,2021-05-26,320,240,60,31.57,0.8793103448275862,0.8108108108108109,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|-1,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,1,1,2021-06-11,2021-06-17,344,270,73,31.03,0.8620689655172413,0.6896551724137931,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|1,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,2,1,2021-06-18,2021-06-24,370,259,73,31.65,0.8275862068965517,0.6704545454545454,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|2,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,3,1,2021-06-25,2021-07-01,383,280,69,30.58,0.7931034482758621,0.5888888888888889,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|3,0
dept_8_closure_2021-05-27,8,190,0,2021-05-27,2021-06-10,4,1,2021-07-02,2021-07-08,320,246,67,29.21,0.7241379310344828,0.532608695652174,dept_8_closure_2021-05-27|190,dept_8_closure_2021-05-27|4,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,-4,0,2021-04-29,2021-05-05,285,251,54,30.22,0.9137931034482759,0.7012987012987013,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|-4,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,-3,0,2021-05-06,2021-05-12,251,217,59,32.9,0.9137931034482759,0.7662337662337663,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|-3,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,-2,0,2021-05-13,2021-05-19,224,211,58,31.04,0.9137931034482759,0.7532467532467533,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|-2,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,-1,0,2021-05-20,2021-05-26,262,229,67,31.89,0.9310344827586207,0.8701298701298701,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|-1,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,1,1,2021-06-11,2021-06-17,317,284,65,30.35,0.7758620689655172,0.632183908045977,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|1,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,2,1,2021-06-18,2021-06-24,243,223,57,31.08,0.6724137931034483,0.5227272727272727,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|2,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,3,1,2021-06-25,2021-07-01,263,232,52,25.86,0.6206896551724138,0.4659090909090909,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|3,0
dept_8_closure_2021-05-27,8,178,0,2021-05-27,2021-06-10,4,1,2021-07-02,2021-07-08,284,245,59,28.87,0.6724137931034483,0.4945054945054945,dept_8_closure_2021-05-27|178,dept_8_closure_2021-05-27|4,0
dept_19_closure_2021-07-15,19,19,1,2021-07-15,2021-07-25,-4,0,2021-06-17,2021-06-23,0,0,0,,0.0,0.0,dept_19_closure_2021-07-15|19,dept_19_closure_2021-07-15|-4,0
dept_19_closure_2021-07-15,19,19,1,2021-07-15,2021-07-25,-3,0,2021-06-24,2021-06-30,618,472,75,29.74,1.0,0.8426966292134831,dept_19_closure_2021-07-15|19,dept_19_closure_2021-07-15|-3,0
dept_19_closure_2021-07-15,19,19,1,2021-07-15,2021-07-25,-2,0,2021-07-01,2021-07-07,711,520,72,28.64,1.0,0.8089887640449438,dept_19_closure_2021-07-15|19,dept_19_closure_2021-07-15|-2,0
dept_19_closure_2021-07-15,19,19,1,2021-07-15,2021-07-25,-1,0,2021-07-08,2021-07-14,609,467,77,30.09,1.0,0.8651685393258427,dept_19_closure_2021-07-15|19,dept_19_closure_2021-07-15|-1,0
