outcome,sample,relative_week,mean,observations
core_coverage,complete_4_post_weeks,1,0.7687030102208128,18
core_coverage,complete_4_post_weeks,2,0.7745816352237258,18
core_coverage,complete_4_post_weeks,3,0.7039182850837109,18
core_coverage,complete_4_post_weeks,4,0.6847103419689105,18
core_coverage,available_post_weeks,1,0.7687030102208128,18
core_coverage,available_post_weeks,2,0.7745816352237258,18
core_coverage,available_post_weeks,3,0.7039182850837109,18
core_coverage,available_post_weeks,4,0.6847103419689105,18
rarefied_products_50,complete_4_post_weeks,1,29.258125,16
rarefied_products_50,complete_4_post_weeks,2,29.560000000000002,16
rarefied_products_50,complete_4_post_weeks,3,28.555,16
rarefied_products_50,complete_4_post_weeks,4,27.598125,16
rarefied_products_50,available_post_weeks,1,29.363529411764702,17
rarefied_products_50,available_post_weeks,2,29.61294117647059,17
rarefied_products_50,available_post_weeks,3,28.555,16
rarefied_products_50,available_post_weeks,4,27.598125,16
menu_jaccard_pre,complete_4_post_weeks,1,0.6119538374986868,18
menu_jaccard_pre,complete_4_post_weeks,2,0.6019639209300842,18
menu_jaccard_pre,complete_4_post_weeks,3,0.5356286727590018,18
menu_jaccard_pre,complete_4_post_weeks,4,0.5008103113297886,18
menu_jaccard_pre,available_post_weeks,1,0.6119538374986868,18
menu_jaccard_pre,available_post_weeks,2,0.6019639209300842,18
menu_jaccard_pre,available_post_weeks,3,0.5356286727590018,18
menu_jaccard_pre,available_post_weeks,4,0.5008103113297886,18
