rel_t,raw_count_500m,standardized_density,reference_period,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df
-4,2.0,-0.5674513060674384,False,-0.027415229070329325,0.027462048758383935,-0.998295113067982,0.3321348286750777,-0.08535508733998211,0.030524629199323458,17.0
-3,2.0,-0.5674513060674384,False,-0.004338734818441693,0.033531309978070856,-0.12939353760050482,0.8985648763589333,-0.07508361495532875,0.06640614531844535,17.0
-2,2.0,-0.5674513060674384,False,-0.009088613013090205,0.03142538222984933,-0.289212489019701,0.7759161121298834,-0.07539037398098833,0.05721314795480792,17.0
-1,2.0,-0.5674513060674384,True,0.0,0.0,,,0.0,0.0,17.0
1,2.0,-0.5674513060674384,False,-0.05719348616953598,0.03344042142544425,-1.7103099701374704,0.1053947248386247,-0.1277466082222447,0.013359635883172745,17.0
2,2.0,-0.5674513060674384,False,-0.08904054801884193,0.03689920158042744,-2.413075194181762,0.027391782752207952,-0.16689105832283446,-0.011190037714849388,17.0
3,2.0,-0.5674513060674384,False,-0.0430117568902523,0.04392209733162653,-0.9792737483708746,0.3411761850577334,-0.13567928205162313,0.04965576827111853,17.0
4,2.0,-0.5674513060674384,False,-0.06320389869018754,0.03852806382095758,-1.6404639221918902,0.11927932810603223,-0.1444910079233948,0.018083210543019743,17.0
-4,13.0,0.20753654281650388,False,0.07400551969086072,0.022437247206942828,3.298333303024845,0.004245344543076468,0.026667066009958718,0.12134397337176273,17.0
-3,13.0,0.20753654281650388,False,0.06590021435046575,0.03670150153838078,1.7955727037911586,0.09035889468887605,-0.011533185325078465,0.14333361402600997,17.0
-2,13.0,0.20753654281650388,False,0.044776392467545924,0.028320315320489634,1.581069700701757,0.13228750942333364,-0.014974249964770793,0.10452703489986265,17.0
-1,13.0,0.20753654281650388,True,0.0,0.0,,,0.0,0.0,17.0
1,13.0,0.20753654281650388,False,0.0337854466369542,0.04211664938773161,0.8021874277300831,0.43351601595963163,-0.055072916327420236,0.12264380960132865,17.0
2,13.0,0.20753654281650388,False,0.024598357837957878,0.02698166251006837,0.9116694654667351,0.37468991714358835,-0.03232797404162189,0.08152468971753765,17.0
3,13.0,0.20753654281650388,False,0.024025832918657158,0.040865360091675546,0.5879266171828332,0.5643107437451402,-0.06219254039652228,0.1102442062338366,17.0
4,13.0,0.20753654281650388,False,-9.808696297775912e-05,0.018750285711159442,-0.005231224979114935,0.9958870034349693,-0.039657731845204845,0.03946155791924933,17.0
