closure_event_id,closure_start,treated_store,dept_id,store_role,address,cafe_count_500m,cafe_count_1500m
dept_8_closure_2021-05-27,2021-05-27,8,8,treated,江宁区麒麟街道悦民路128号天赋广场22幢116室,3,3
dept_8_closure_2021-05-27,2021-05-27,8,184,control,秦淮区五老村街道洪武北路98号南京图书发行大厦底商,54,275
dept_8_closure_2021-05-27,2021-05-27,8,10,control,雨花台区古雄街道古雄大道211号吾悦广场负一层B1040号,4,5
dept_8_closure_2021-05-27,2021-05-27,8,188,control,雨花台区铁心桥街道软件大道109号雨花客厅3号楼一层大堂,13,43
dept_8_closure_2021-05-27,2021-05-27,8,190,control,秦淮区永丰大道36号天安数码城2栋一层103,2,4
dept_8_closure_2021-05-27,2021-05-27,8,178,control,鼓楼区中山北路281号虹桥新城市广场一层中庭,12,43
dept_19_closure_2021-07-15,2021-07-15,19,19,treated,浦口区浦口大道13号新城总部大厦一层大堂,3,18
dept_19_closure_2021-07-15,2021-07-15,19,230,control,玄武区珠江路88号新世界中心一层102室,36,257
dept_19_closure_2021-07-15,2021-07-15,19,36,control,建邺区嘉陵江东街99号金融城1号楼一层大堂,10,67
dept_19_closure_2021-07-15,2021-07-15,19,224,control,建邺区江东中路河西万达中心A座102-2号,18,67
dept_19_closure_2021-07-15,2021-07-15,19,30,control,玄武区中央路32号联通大厦一层大堂,14,111
dept_19_closure_2021-07-15,2021-07-15,19,37,control,秦淮区太平南路305号江苏钟山宾馆集团江苏饭店商务大楼一层大堂,10,201
dept_124_closure_2021-07-22,2021-07-22,124,124,treated,鼓楼区中山路321号南京鼓楼医院新大楼急诊部三层CD区,14,170
dept_124_closure_2021-07-22,2021-07-22,124,113,control,鼓楼区建宁路65号金川科技园20栋一层1号,0,11
dept_124_closure_2021-07-22,2021-07-22,124,117,control,江宁区宏运大道4597号景祥大厦B区底商,1,8
dept_124_closure_2021-07-22,2021-07-22,124,114,control,玄武区北京东路36号兰园集贸市场一层A区2号,0,60
dept_124_closure_2021-07-22,2021-07-22,124,115,control,秦淮区瑞金路街道蓝旗街188号紫荆大厦一层,0,13
dept_124_closure_2021-07-22,2021-07-22,124,122,control,建邺区所街171号悦府15号楼底商,14,50
dept_238_closure_2021-07-24,2021-07-24,238,238,treated,江宁区秣周东路12号悠谷1期3号楼协同大楼未来网络小镇一层大堂,10,10
dept_238_closure_2021-07-24,2021-07-24,238,34,control,建邺区河西45号地块金融城8号楼101室一层东大堂,6,65
dept_238_closure_2021-07-24,2021-07-24,238,50,control,玄武区玄武大道699-8号徐庄软件园8幢一层101室,1,14
dept_238_closure_2021-07-24,2021-07-24,238,232,control,秦淮区健康路3号水平方负一层15A号,23,127
dept_238_closure_2021-07-24,2021-07-24,238,40,control,秦淮区洪武路50号金贸大厦一层A2-2号,60,265
dept_238_closure_2021-07-24,2021-07-24,238,29,control,玄武区中央路 284号金谷创客一层 107 号,8,27
dept_44_closure_2021-07-24,2021-07-24,44,44,treated,玄武区湖景路9号苏宁青创园D栋一层大堂,5,15
dept_44_closure_2021-07-24,2021-07-24,44,33,control,鼓楼区草场门大街105号江苏教育频道一层大堂,13,40
dept_44_closure_2021-07-24,2021-07-24,44,32,control,建邺区西城路300号3幢君泰国际大厦3幢一层大堂,5,27
dept_44_closure_2021-07-24,2021-07-24,44,28,control,秦淮区中山南路189号中住大厦一层大堂,39,269
dept_44_closure_2021-07-24,2021-07-24,44,45,control,鼓楼区江东北路289号银城广场A座一层大堂,11,41
dept_44_closure_2021-07-24,2021-07-24,44,26,control,秦淮区中山南路501号通服大厦一层大堂,16,112
dept_39_closure_2021-07-25,2021-07-25,39,39,treated,秦淮区凤游寺52号悦动新门西体育文化产业园15号楼一层106号,4,54
dept_39_closure_2021-07-25,2021-07-25,39,71,control,六合区葛关路818-2号美利广场一层124室,3,6
dept_39_closure_2021-07-25,2021-07-25,39,69,control,秦淮区太平南路389号凤凰和睿大厦一层102室,9,180
dept_39_closure_2021-07-25,2021-07-25,39,76,control,建邺区水西门大街272号金基广场一层101室,2,33
dept_39_closure_2021-07-25,2021-07-25,39,70,control,江宁区将军大道9号托乐嘉花园108幢一层114室,3,6
dept_39_closure_2021-07-25,2021-07-25,39,78,control,仙林街道纬地路9号江苏生命科技创新园A1区一层,0,2
dept_246_closure_2021-07-27,2021-07-27,246,246,treated,溧水区经济开发区创业路89号,1,1
dept_246_closure_2021-07-27,2021-07-27,246,177,control,雨花台区软件大道118号B3栋一层,11,36
dept_246_closure_2021-07-27,2021-07-27,246,245,control,江宁区麒麟街道悦民路128号天赋广场22幢116室,3,3
dept_246_closure_2021-07-27,2021-07-27,246,260,control,秦淮区中山南路18号南京国际贸易中心一层,66,275
dept_246_closure_2021-07-27,2021-07-27,246,250,control,南京市浦口区公园北路3-8号,1,24
dept_246_closure_2021-07-27,2021-07-27,246,149,control,浦口区惠达路6号北斗大厦写字楼大堂一层,9,17
dept_133_closure_2021-07-28,2021-07-28,133,133,treated,江宁区东吉大道1号13号楼一层,0,0
