closure_event_id,closure_start,treated_store,dept_id,store_role,cafe_count_500m,cafe_count_1500m
dept_8_closure_2021-05-27,2021-05-27,8,10,control,4,5
dept_8_closure_2021-05-27,2021-05-27,8,178,control,12,43
dept_8_closure_2021-05-27,2021-05-27,8,184,control,54,275
dept_8_closure_2021-05-27,2021-05-27,8,188,control,13,43
dept_8_closure_2021-05-27,2021-05-27,8,190,control,2,4
dept_8_closure_2021-05-27,2021-05-27,8,8,treated,3,3
dept_19_closure_2021-07-15,2021-07-15,19,30,control,14,111
dept_19_closure_2021-07-15,2021-07-15,19,36,control,10,67
dept_19_closure_2021-07-15,2021-07-15,19,37,control,10,201
dept_19_closure_2021-07-15,2021-07-15,19,224,control,18,67
dept_19_closure_2021-07-15,2021-07-15,19,230,control,36,257
dept_19_closure_2021-07-15,2021-07-15,19,19,treated,3,18
dept_124_closure_2021-07-22,2021-07-22,124,113,control,0,11
dept_124_closure_2021-07-22,2021-07-22,124,114,control,0,60
dept_124_closure_2021-07-22,2021-07-22,124,115,control,0,13
dept_124_closure_2021-07-22,2021-07-22,124,117,control,1,8
dept_124_closure_2021-07-22,2021-07-22,124,122,control,14,50
dept_124_closure_2021-07-22,2021-07-22,124,124,treated,14,170
dept_238_closure_2021-07-24,2021-07-24,238,29,control,8,27
dept_238_closure_2021-07-24,2021-07-24,238,34,control,6,65
dept_238_closure_2021-07-24,2021-07-24,238,40,control,60,265
dept_238_closure_2021-07-24,2021-07-24,238,50,control,1,14
dept_238_closure_2021-07-24,2021-07-24,238,232,control,23,127
dept_238_closure_2021-07-24,2021-07-24,238,238,treated,10,10
dept_44_closure_2021-07-24,2021-07-24,44,26,control,16,112
dept_44_closure_2021-07-24,2021-07-24,44,28,control,39,269
dept_44_closure_2021-07-24,2021-07-24,44,32,control,5,27
dept_44_closure_2021-07-24,2021-07-24,44,33,control,13,40
dept_44_closure_2021-07-24,2021-07-24,44,45,control,11,41
dept_44_closure_2021-07-24,2021-07-24,44,44,treated,5,15
dept_39_closure_2021-07-25,2021-07-25,39,69,control,9,180
dept_39_closure_2021-07-25,2021-07-25,39,70,control,3,6
dept_39_closure_2021-07-25,2021-07-25,39,71,control,3,6
dept_39_closure_2021-07-25,2021-07-25,39,76,control,2,33
dept_39_closure_2021-07-25,2021-07-25,39,78,control,0,2
dept_39_closure_2021-07-25,2021-07-25,39,39,treated,4,54
dept_246_closure_2021-07-27,2021-07-27,246,149,control,9,17
dept_246_closure_2021-07-27,2021-07-27,246,177,control,11,36
dept_246_closure_2021-07-27,2021-07-27,246,245,control,3,3
dept_246_closure_2021-07-27,2021-07-27,246,250,control,1,24
dept_246_closure_2021-07-27,2021-07-27,246,260,control,66,275
dept_246_closure_2021-07-27,2021-07-27,246,246,treated,1,1
dept_133_closure_2021-07-28,2021-07-28,133,129,control,9,175
dept_133_closure_2021-07-28,2021-07-28,133,132,control,7,12
dept_133_closure_2021-07-28,2021-07-28,133,135,control,80,269
dept_133_closure_2021-07-28,2021-07-28,133,137,control,1,4
dept_133_closure_2021-07-28,2021-07-28,133,143,control,14,29
dept_133_closure_2021-07-28,2021-07-28,133,133,treated,0,0
dept_47_closure_2021-07-30,2021-07-30,47,42,control,3,10
dept_47_closure_2021-07-30,2021-07-30,47,48,control,5,36
dept_47_closure_2021-07-30,2021-07-30,47,49,control,0,35
dept_47_closure_2021-07-30,2021-07-30,47,67,control,3,38
dept_47_closure_2021-07-30,2021-07-30,47,231,control,81,259
dept_47_closure_2021-07-30,2021-07-30,47,47,treated,14,121
dept_121_closure_2021-08-03,2021-08-03,121,116,control,4,35
dept_121_closure_2021-08-03,2021-08-03,121,119,control,0,38
dept_121_closure_2021-08-03,2021-08-03,121,120,control,10,22
