spec,term,estimate,se,pvalue,ci_low,ci_high,observations,closure_clusters,reference_df
paper_facing_baseline,post_X_treated,0.03128997863631601,0.017847306196698248,0.09757865323781435,-0.006364545999836609,0.06894450327246862,99644,18,17
paper_facing_baseline,post_X_disp,0.038084244563724653,0.008117290991998725,0.00020985109426668262,0.02095825757900079,0.05521023154844852,99644,18,17
paper_facing_baseline,post_X_treated_X_disp,-0.04148857892968302,0.018437867737850593,0.03796924474067972,-0.08038907950502802,-0.002588078354338018,99644,18,17
raw_500m_interaction,post_X_treated,0.02258607295529787,0.013948132515744978,0.12378597603351826,-0.006841914308102395,0.05201406021869814,99644,18,17
raw_500m_interaction,post_X_disp,0.03778481679054947,0.008067588336383533,0.0002135407127131505,0.02076369324290222,0.054805940338196725,99644,18,17
raw_500m_interaction,post_X_treated_X_disp,-0.03325463701321614,0.014314675439194612,0.032833949463360275,-0.06345596224645496,-0.003053311779977322,99644,18,17
raw_500m_interaction,post_X_density,-0.0015364163871700374,0.005275132503055855,0.7743789819651179,-0.01266597311725142,0.009593140342911343,99644,18,17
raw_500m_interaction,post_X_treated_X_density,-0.034687937574016045,0.0321006053905283,0.29496701274154496,-0.10241429488482842,0.03303841973679633,99644,18,17
raw_500m_interaction,post_X_disp_X_density,0.0031101640638466913,0.006431675858329537,0.6348610030105428,-0.01045948585363056,0.01667981398132394,99644,18,17
raw_500m_interaction,post_X_treated_X_disp_X_density,0.029963708860515425,0.03861655007553582,0.4484517387756297,-0.05151009005102514,0.111437507772056,99644,18,17
log_500m_interaction,post_X_treated,0.02914322229529272,0.01673871890137309,0.09973758633713042,-0.006172387595794925,0.06445883218638036,99644,18,17
log_500m_interaction,post_X_disp,0.0381332383519743,0.007706021431358655,0.00012206274782133652,0.021874954292977464,0.05439152241097113,99644,18,17
log_500m_interaction,post_X_treated_X_disp,-0.03918951422637179,0.01763945060564772,0.04016999678142125,-0.07640550189858628,-0.0019735265541572997,99644,18,17
log_500m_interaction,post_X_density,-0.008318056676877602,0.008500124301720601,0.34150887639264693,-0.02625175134216611,0.00961563798841091,99644,18,17
log_500m_interaction,post_X_treated_X_density,-0.009955527269185912,0.020218772706608733,0.6287420127580128,-0.052613408890257354,0.03270235435188554,99644,18,17
log_500m_interaction,post_X_disp_X_density,0.008866680715711702,0.008378247473187298,0.3047264445187962,-0.008809876318160345,0.026543237749583747,99644,18,17
log_500m_interaction,post_X_treated_X_disp_X_density,0.007884867688608023,0.025649246099008698,0.7622644110624388,-0.04623031129075747,0.06200004666797351,99644,18,17
raw_1500m_interaction,post_X_treated,0.030804634313561566,0.015829281022630436,0.06837152262557743,-0.0025922293738832695,0.0642014980010064,99644,18,17
raw_1500m_interaction,post_X_disp,0.0379496626490054,0.007943713000546674,0.000175053336888531,0.02118989321461607,0.05470943208339473,99644,18,17
raw_1500m_interaction,post_X_treated_X_disp,-0.04039538183569939,0.016441716782507845,0.02505950755860939,-0.07508437202975568,-0.005706391641643098,99644,18,17
raw_1500m_interaction,post_X_density,-0.005161833991970506,0.005509828213631037,0.3619597039824898,-0.016786555388274033,0.0064628874043330216,99644,18,17
raw_1500m_interaction,post_X_treated_X_density,0.0031844666357061903,0.01695798516219364,0.8532678479959466,-0.032593754628153886,0.03896268789956627,99644,18,17
raw_1500m_interaction,post_X_disp_X_density,0.005929129198020433,0.006477913281025437,0.3728436583103646,-0.007738073154139484,0.01959633155018035,99644,18,17
raw_1500m_interaction,post_X_treated_X_disp_X_density,-0.01217425859249789,0.0160378442508587,0.4581922780783033,-0.04601115222782189,0.02166263504282611,99644,18,17
log_1500m_interaction,post_X_treated,0.03081537283713547,0.015446005535871516,0.06232353175706269,-0.0017728502577438014,0.06340359593201474,99644,18,17
log_1500m_interaction,post_X_disp,0.038563445009185064,0.00748666545557481,8.000028293011946e-05,0.022767961604987785,0.05435892841338234,99644,18,17
log_1500m_interaction,post_X_treated_X_disp,-0.04107870660445035,0.01588411866210407,0.01922252933961625,-0.07459126759790825,-0.007566145610992447,99644,18,17
log_1500m_interaction,post_X_density,-0.013530638624692648,0.009339571727065133,0.1656041274693629,-0.03323541254474501,0.006174135295359715,99644,18,17
log_1500m_interaction,post_X_treated_X_density,0.010770585839377268,0.019716911403425293,0.5919840062809928,-0.030828460986326092,0.05236963266508063,99644,18,17
log_1500m_interaction,post_X_disp_X_density,0.01099854344461678,0.009760762298059856,0.2754768592265489,-0.009594864903356697,0.03159195179259026,99644,18,17
log_1500m_interaction,post_X_treated_X_disp_X_density,-0.011104332079820627,0.02200366370955433,0.6202774897621857,-0.05752800454364099,0.035319340383999726,99644,18,17
market_new_baseline,post_X_treated,0.008045907285547365,0.01132548880116451,0.4870732992992778,-0.01584878541372475,0.031940599984819476,99644,18,17
market_new_baseline,post_X_disp,0.03004852754468924,0.004518525150401271,4.097846164133631e-06,0.020515272793541622,0.03958178229583686,99644,18,17
market_new_baseline,post_X_treated_X_disp,-0.0417173839818355,0.008949270302548183,0.00022375366214619222,-0.06059869387639152,-0.02283607408727948,99644,18,17
market_new_raw_500m_interaction,post_X_treated,0.0007225270275436025,0.008510849870956256,0.9333367920530222,-0.01723379661079942,0.018678850665886627,99644,18,17
market_new_raw_500m_interaction,post_X_disp,0.02945842474438972,0.0047429262428925435,9.489387825904698e-06,0.01945172507262123,0.03946512441615821,99644,18,17
market_new_raw_500m_interaction,post_X_treated_X_disp,-0.03848256570114547,0.00844415986807861,0.00027937213978079177,-0.056298185732531494,-0.020666945669759445,99644,18,17
market_new_raw_500m_interaction,post_X_density,0.0005950120506522601,0.004095882051657345,0.8862055743436639,-0.008046543706901735,0.009236567808206256,99644,18,17
market_new_raw_500m_interaction,post_X_treated_X_density,-0.030599501842931698,0.02188727437034511,0.18007371429515073,-0.07677761426579474,0.015578610579931339,99644,18,17
market_new_raw_500m_interaction,post_X_disp_X_density,0.002436605503916696,0.005349139523319739,0.6545041361798689,-0.008849092390386443,0.013722303398219836,99644,18,17
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,-0.01324760176233233,0.023255301945837206,0.5763597310263014,-0.06231200007487395,0.03581679655020928,99644,18,17
low_density_le3_descriptive,post_X_treated,0.03878850111500156,0.03776659449094423,0.32067121859209463,-0.041709089550044744,0.11928609178004787,41175,16,15
low_density_le3_descriptive,post_X_disp,0.034811398070190576,0.01296930925983402,0.016990453813441518,0.007167969742099035,0.06245482639828212,41175,16,15
low_density_le3_descriptive,post_X_treated_X_disp,-0.05387661134596216,0.036515700092099854,0.16077609009374172,-0.13170798371304893,0.0239547610211246,41175,16,15
preferred_store_event_post_fe,post_X_disp,0.043798394472144626,0.007491259638410105,1.9430701311977786e-05,0.027993218189434028,0.05960357075485523,99644,18,17
preferred_store_event_post_fe,post_X_treated_X_disp,-0.04453254281955757,0.01714869793073172,0.01880225855927016,-0.08071313285337098,-0.00835195278574416,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_treated,-0.044939759977790414,0.016656575243447005,0.01523791176030238,-0.08008206189976541,-0.009797458055815417,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_disp,0.039979783264299934,0.012319450891602142,0.004760274769112118,0.013988013862846867,0.065971552665753,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_treated_X_disp,0.04684572409139358,0.02105591585508581,0.039922712392290206,0.0024216248147888794,0.09126982336799827,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_density,-0.0227574102719041,0.007208723110724441,0.005756708019797161,-0.03796648658719659,-0.0075483339566116085,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_treated_X_density,-0.05519114436826601,0.03203520504604825,0.10305958719733624,-0.12277951901349873,0.012397230276966709,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_disp_X_density,0.016008366693512265,0.011312424349748626,0.17509259242920208,-0.007858762422646774,0.0398754958096713,99644,18,17
raw_500m_density_interacted_event_study,rel_m4_X_treated_X_disp_X_density,0.1308675341261747,0.032867892251989536,0.0009648761447267336,0.06152234304238467,0.2002127252099647,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_treated,-0.039831930442223336,0.026971709659490858,0.15801308363365163,-0.09673726364261082,0.01707340275816415,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_disp,0.0328002460509992,0.013056947576345583,0.02238651021836854,0.0052524946554740985,0.060347997446524304,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_treated_X_disp,0.047090695333397666,0.033035068019892505,0.1721227937046595,-0.022607205789750263,0.1167885964565456,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_density,-0.011138359059879482,0.008424529465956218,0.20363794371923394,-0.02891256256306856,0.006635844443309594,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_treated_X_density,-0.06620988725278174,0.048775786828747725,0.1923919703479179,-0.16911780212514416,0.036698027619580686,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_disp_X_density,0.00828995022172484,0.01038805605781983,0.4358613236422735,-0.013626932272467775,0.030206832715917457,99644,18,17
raw_500m_density_interacted_event_study,rel_m3_X_treated_X_disp_X_density,0.09063232316488361,0.04080212958093705,0.040204297571809405,0.004547354566254602,0.1767172917635126,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_treated,-0.04465017618822553,0.026435335755895954,0.10946862727204962,-0.1004238593712653,0.01112350699481423,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_disp,0.0151026493599586,0.012951925735268014,0.25969165590891774,-0.012223525319248328,0.04242882403916553,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_treated_X_disp,0.030351705638788494,0.02234774187008226,0.192167283423624,-0.016797908288105873,0.07750131956568286,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_density,-0.02131604829644135,0.00777224757582516,0.013882047407728403,-0.037714057306693444,-0.004918039286189255,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_treated_X_density,-0.01598154402298026,0.06430762740696926,0.8067116772349827,-0.151658778099696,0.11969569005373547,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_disp_X_density,0.024186418948414203,0.01082337470720149,0.03915531206281083,0.001351094386434857,0.04702174351039355,99644,18,17
raw_500m_density_interacted_event_study,rel_m2_X_treated_X_disp_X_density,0.06950432262674436,0.05469449587446635,0.22092443310808701,-0.04589097679093737,0.1848996220444261,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_treated,0.01956616800024166,0.03538411082191555,0.5874860562434128,-0.0550877802196114,0.09422011622009473,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_disp,0.028604181492085014,0.012923572053388637,0.04083813324886315,0.001337827852596122,0.055870535131573903,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_treated_X_disp,0.009421899245875618,0.03348708068086554,0.7818308806731924,-0.06122966523077105,0.08007346372252229,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_density,-0.004444732785206795,0.00825199160951513,0.5971284625579281,-0.021854913231110516,0.012965447660696926,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_treated_X_density,-0.06253824819870568,0.0757409794223917,0.4204192559595987,-0.22233774646441007,0.0972612500669987,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_disp_X_density,0.0057787245307000515,0.013829756559836046,0.6812890722277485,-0.023399511296882655,0.03495696035828276,99644,18,17
raw_500m_density_interacted_event_study,rel_p1_X_treated_X_disp_X_density,0.1173940119674246,0.06363425437957497,0.08255853719727346,-0.016862529206401966,0.2516505531412512,99644,18,17
raw_500m_density_interacted_event_study,rel_p2_X_treated,-0.0164129135301049,0.020125747950788905,0.4260548004515238,-0.05887453007222354,0.026048703012013744,99644,18,17
raw_500m_density_interacted_event_study,rel_p2_X_disp,0.062221082907531824,0.01360205091516157,0.0002693699533801697,0.03352326399624388,0.09091890181881977,99644,18,17
raw_500m_density_interacted_event_study,rel_p2_X_treated_X_disp,-0.005833378201431589,0.024935655760808507,0.8178277175757566,-0.058443013169071065,0.04677625676620789,99644,18,17
raw_500m_density_interacted_event_study,rel_p2_X_density,-0.022124996007789596,0.008678496625677353,0.020735245279680844,-0.040435023380816365,-0.003814968634762824,99644,18,17
raw_500m_density_interacted_event_study,rel_p2_X_treated_X_density,-0.10246062380281601,0.04630872498652536,0.04090084939903848,-0.20016349316897986,-0.004757754436652162,99644,18,17
raw_500m_density_interacted_event_study,rel_p2_X_disp_X_density,0.009915234457613265,0.011966539811378027,0.41882388915970914,-0.01533195764919303,0.03516242656441956,99644,18,17
