spec,row_term,column_term,covariance
paper_facing_baseline,post_X_treated,post_X_treated,0.00031852633847870374
paper_facing_baseline,post_X_treated,post_X_disp,9.108898353346145e-05
paper_facing_baseline,post_X_treated,post_X_treated_X_disp,-0.0003033452951820097
paper_facing_baseline,post_X_disp,post_X_treated,9.108898353346144e-05
paper_facing_baseline,post_X_disp,post_X_disp,6.589041304878365e-05
paper_facing_baseline,post_X_disp,post_X_treated_X_disp,-8.268806416926141e-05
paper_facing_baseline,post_X_treated_X_disp,post_X_treated,-0.00030334529518200964
paper_facing_baseline,post_X_treated_X_disp,post_X_disp,-8.268806416926138e-05
paper_facing_baseline,post_X_treated_X_disp,post_X_treated_X_disp,0.00033995496671847177
raw_500m_interaction,post_X_treated,post_X_treated,0.00019455040067678232
raw_500m_interaction,post_X_treated,post_X_disp,8.293796644168645e-05
raw_500m_interaction,post_X_treated,post_X_treated_X_disp,-0.0001742177740092529
raw_500m_interaction,post_X_treated,post_X_density,2.2996963595808453e-05
raw_500m_interaction,post_X_treated,post_X_treated_X_density,-0.00026369898775310417
raw_500m_interaction,post_X_treated,post_X_disp_X_density,-2.5578350650897693e-05
raw_500m_interaction,post_X_treated,post_X_treated_X_disp_X_density,0.0002650148339483535
raw_500m_interaction,post_X_disp,post_X_treated,8.293796644168641e-05
raw_500m_interaction,post_X_disp,post_X_disp,6.508598156535163e-05
raw_500m_interaction,post_X_disp,post_X_treated_X_disp,-7.318171785571838e-05
raw_500m_interaction,post_X_disp,post_X_density,1.4338230143414992e-05
raw_500m_interaction,post_X_disp,post_X_treated_X_density,-9.115596837590021e-05
raw_500m_interaction,post_X_disp,post_X_disp_X_density,-1.8330453182820818e-05
raw_500m_interaction,post_X_disp,post_X_treated_X_disp_X_density,0.0001174296598845969
raw_500m_interaction,post_X_treated_X_disp,post_X_treated,-0.0001742177740092528
raw_500m_interaction,post_X_treated_X_disp,post_X_disp,-7.31817178557184e-05
raw_500m_interaction,post_X_treated_X_disp,post_X_treated_X_disp,0.00020490993292948144
raw_500m_interaction,post_X_treated_X_disp,post_X_density,-1.9951513542109847e-05
raw_500m_interaction,post_X_treated_X_disp,post_X_treated_X_density,0.00026877797756050725
raw_500m_interaction,post_X_treated_X_disp,post_X_disp_X_density,2.4314330019142373e-05
