spec,measure,estimand,raw_count,standardized_density,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df,observations,member_events,preferred_stores,treated_stores,closure_clusters,fixed_effects,cluster,weighted,singleton_drops_within_call,absorption_iterations,absorption_error,input_member_events
paper_facing_baseline,,high_minus_low_ddd,,,-0.04148857892968302,0.018437867737850593,-2.2501831296095185,0.03796924474067972,-0.08038907950502802,-0.002588078354338018,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
raw_500m_interaction,cafe_count_500m,ddd_at_member_event_mean,,0.0,-0.03325463701321614,0.014314675439194612,-2.323114984651524,0.032833949463360275,-0.06345596224645496,-0.003053311779977322,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
raw_500m_interaction,cafe_count_500m,density_gradient_per_sd,,,0.029963708860515425,0.03861655007553582,0.7759292013891707,0.4484517387756297,-0.05151009005102514,0.111437507772056,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
raw_500m_interaction,cafe_count_500m,fitted_ddd,0.0,-0.7083581876827008,-0.05447967551790293,0.03652760164009535,-1.4914659893274262,0.15416237037563238,-0.13154617847906094,0.022586827443255082,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
raw_500m_interaction,cafe_count_500m,fitted_ddd,2.0,-0.5674513060674384,-0.050257582740740096,0.031470267048733166,-1.59698621759116,0.12868893307240983,-0.11665404239872756,0.01613887691724738,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
raw_500m_interaction,cafe_count_500m,fitted_ddd,5.0,-0.3560909836445451,-0.04392444357499585,0.0241986844839828,-1.8151583241671507,0.087182607117722,-0.09497920506237284,0.00713031791238114,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
raw_500m_interaction,cafe_count_500m,fitted_ddd,13.0,0.20753654281650388,-0.027036072466344523,0.01254931911941484,-2.1543856052331534,0.04584602672505317,-0.053512821435685726,-0.0005593234970033209,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
log_500m_interaction,cafe_count_500m,ddd_at_member_event_mean,,0.0,-0.03918951422637179,0.01763945060564772,-2.2216969849290127,0.04016999678142125,-0.07640550189858628,-0.0019735265541572997,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,480,9.806822021118933e-12,23363
log_500m_interaction,cafe_count_500m,density_gradient_per_sd,,,0.007884867688608023,0.025649246099008698,0.307411284455365,0.7622644110624388,-0.04623031129075747,0.06200004666797351,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,480,9.806822021118933e-12,23363
log_500m_interaction,cafe_count_500m,fitted_ddd,0.0,-1.702517579804234,-0.052613640080657324,0.05761393775777855,-0.9132102773786517,0.373902097741445,-0.17416842346232977,0.06894114330101514,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,480,9.806822021118933e-12,23363
log_500m_interaction,cafe_count_500m,fitted_ddd,2.0,-0.676760433526835,-0.04452568070161589,0.032407336544691696,-1.3739382945035379,0.18730709453486366,-0.11289918417968896,0.02384782277645718,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,480,9.806822021118933e-12,23363
log_500m_interaction,cafe_count_500m,fitted_ddd,5.0,-0.029579730001874346,-0.03942274648370132,0.018189554052626598,-2.1673289168960475,0.04470039138666074,-0.07779935097777158,-0.001046141989631058,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,480,9.806822021118933e-12,23363
