spec,outcome,regressors,fixed_effects,cluster,weights,sample
paper_facing_baseline,variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp,event_fe_id + rel_t + calendar_month,closure_event_id,none,paper-facing nonmissing outcome rows after FE singleton removal
raw_500m_interaction,variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp + post_X_density + post_X_treated_X_density + post_X_disp_X_density + post_X_treated_X_disp_X_density,event_fe_id + rel_t + calendar_month,closure_event_id,none,same exact population as paper-facing baseline
log_500m_interaction,variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp + post_X_density + post_X_treated_X_density + post_X_disp_X_density + post_X_treated_X_disp_X_density,event_fe_id + rel_t + calendar_month,closure_event_id,none,same exact population as paper-facing baseline
raw_1500m_interaction,variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp + post_X_density + post_X_treated_X_density + post_X_disp_X_density + post_X_treated_X_disp_X_density,event_fe_id + rel_t + calendar_month,closure_event_id,none,same exact population as paper-facing baseline
log_1500m_interaction,variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp + post_X_density + post_X_treated_X_density + post_X_disp_X_density + post_X_treated_X_disp_X_density,event_fe_id + rel_t + calendar_month,closure_event_id,none,same exact population as paper-facing baseline
market_new_baseline,market-new variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp,event_fe_id + rel_t + calendar_month,closure_event_id,none,market-new outcome-definition sensitivity
market_new_raw_500m_interaction,market-new variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp + post_X_density + post_X_treated_X_density + post_X_disp_X_density + post_X_treated_X_disp_X_density,event_fe_id + rel_t + calendar_month,closure_event_id,none,market-new outcome-definition sensitivity
low_density_le3_descriptive,variety_seeking,post_X_treated + post_X_disp + post_X_treated_X_disp,event_fe_id + rel_t + calendar_month,closure_event_id,none,preferred-store cafe_count_500m <= 3; descriptive
preferred_store_event_post_fe,variety_seeking,post_X_disp + post_X_treated_X_disp,event_fe_id + rel_t + calendar_month + preferred_store_event_post_fe,closure_event_id,none,full baseline population; post x treated absorbed by store-event-post FE
raw_500m_density_interacted_event_study,variety_seeking,rel_m4_X_treated + rel_m4_X_disp + rel_m4_X_treated_X_disp + rel_m4_X_density + rel_m4_X_treated_X_density + rel_m4_X_disp_X_density + rel_m4_X_treated_X_disp_X_density + rel_m3_X_treated + rel_m3_X_disp + rel_m3_X_treated_X_disp + rel_m3_X_density + rel_m3_X_treated_X_density + rel_m3_X_disp_X_density + rel_m3_X_treated_X_disp_X_density + rel_m2_X_treated + rel_m2_X_disp + rel_m2_X_treated_X_disp + rel_m2_X_density + rel_m2_X_treated_X_density + rel_m2_X_disp_X_density + rel_m2_X_treated_X_disp_X_density + rel_p1_X_treated + rel_p1_X_disp + rel_p1_X_treated_X_disp + rel_p1_X_density + rel_p1_X_treated_X_density + rel_p1_X_disp_X_density + rel_p1_X_treated_X_disp_X_density + rel_p2_X_treated + rel_p2_X_disp + rel_p2_X_treated_X_disp + rel_p2_X_density + rel_p2_X_treated_X_density + rel_p2_X_disp_X_density + rel_p2_X_treated_X_disp_X_density + rel_p3_X_treated + rel_p3_X_disp + rel_p3_X_treated_X_disp + rel_p3_X_density + rel_p3_X_treated_X_density + rel_p3_X_disp_X_density + rel_p3_X_treated_X_disp_X_density + rel_p4_X_treated + rel_p4_X_disp + rel_p4_X_treated_X_disp + rel_p4_X_density + rel_p4_X_treated_X_density + rel_p4_X_disp_X_density + rel_p4_X_treated_X_disp_X_density,event_fe_id + rel_t + calendar_month,closure_event_id,none,same exact population as paper-facing baseline; period -1 reference
preferred_store_event_period_fe_event_study,variety_seeking,rel_m4_X_disp_store_fe + rel_m4_X_treated_X_disp_store_fe + rel_m3_X_disp_store_fe + rel_m3_X_treated_X_disp_store_fe + rel_m2_X_disp_store_fe + rel_m2_X_treated_X_disp_store_fe + rel_p1_X_disp_store_fe + rel_p1_X_treated_X_disp_store_fe + rel_p2_X_disp_store_fe + rel_p2_X_treated_X_disp_store_fe + rel_p3_X_disp_store_fe + rel_p3_X_treated_X_disp_store_fe + rel_p4_X_disp_store_fe + rel_p4_X_treated_X_disp_store_fe,event_fe_id + rel_t + calendar_month + preferred_store_event_period_fe,closure_event_id,none,full baseline population; treatment-by-period terms absorbed; period -1 reference
