closure_event_id,preferred_store,treated,rel_t,observations,incidence_groups,low_incidence_observations,high_incidence_observations,contains_both_incidence_groups
dept_121_closure_2021-08-03,116,0,-4,147,2,53,94,True
dept_121_closure_2021-08-03,116,0,-3,146,2,44,102,True
dept_121_closure_2021-08-03,116,0,-2,152,2,41,111,True
dept_121_closure_2021-08-03,116,0,-1,126,2,38,88,True
dept_121_closure_2021-08-03,116,0,1,134,2,46,88,True
dept_121_closure_2021-08-03,116,0,2,125,2,51,74,True
dept_121_closure_2021-08-03,116,0,3,119,2,49,70,True
dept_121_closure_2021-08-03,116,0,4,111,2,37,74,True
dept_121_closure_2021-08-03,119,0,2,1,1,1,0,False
dept_121_closure_2021-08-03,119,0,3,1,1,1,0,False
dept_121_closure_2021-08-03,120,0,-4,107,2,41,66,True
dept_121_closure_2021-08-03,120,0,-3,108,2,42,66,True
dept_121_closure_2021-08-03,120,0,-2,108,2,27,81,True
dept_121_closure_2021-08-03,120,0,-1,91,2,32,59,True
dept_121_closure_2021-08-03,120,0,1,85,2,30,55,True
dept_121_closure_2021-08-03,120,0,2,98,2,41,57,True
dept_121_closure_2021-08-03,120,0,3,88,2,37,51,True
dept_121_closure_2021-08-03,120,0,4,84,2,30,54,True
dept_121_closure_2021-08-03,121,1,-4,147,2,71,76,True
dept_121_closure_2021-08-03,121,1,-3,128,2,53,75,True
dept_121_closure_2021-08-03,121,1,-2,147,2,58,89,True
dept_121_closure_2021-08-03,121,1,-1,102,2,44,58,True
dept_121_closure_2021-08-03,121,1,1,115,2,59,56,True
dept_121_closure_2021-08-03,121,1,2,131,2,71,60,True
dept_121_closure_2021-08-03,121,1,3,133,2,77,56,True
dept_121_closure_2021-08-03,121,1,4,122,2,58,64,True
dept_121_closure_2021-08-03,123,0,-4,411,2,239,172,True
dept_121_closure_2021-08-03,123,0,-3,386,2,220,166,True
dept_121_closure_2021-08-03,123,0,-2,321,2,135,186,True
dept_121_closure_2021-08-03,123,0,-1,200,2,103,97,True
dept_121_closure_2021-08-03,123,0,1,125,2,58,67,True
dept_121_closure_2021-08-03,123,0,2,159,2,80,79,True
dept_121_closure_2021-08-03,123,0,3,150,2,75,75,True
dept_121_closure_2021-08-03,123,0,4,212,2,119,93,True
dept_121_closure_2021-08-03,125,0,-4,62,2,29,33,True
dept_121_closure_2021-08-03,125,0,-3,66,2,32,34,True
dept_121_closure_2021-08-03,125,0,-2,65,2,26,39,True
dept_121_closure_2021-08-03,125,0,-1,40,2,15,25,True
dept_121_closure_2021-08-03,125,0,1,48,2,18,30,True
dept_121_closure_2021-08-03,125,0,2,55,2,27,28,True
dept_121_closure_2021-08-03,125,0,3,42,2,24,18,True
