treated,rel_t,store_event_period_cells,cells_with_both_incidence_groups,observations,share_cells_with_both_incidence_groups
0,-4,80,75,11538,0.9375
0,-3,79,76,11486,0.9620253164556962
0,-2,79,76,11147,0.9620253164556962
0,-1,76,76,9542,1.0
0,1,80,76,9032,0.95
0,2,82,76,9498,0.926829268292683
0,3,80,76,9232,0.95
0,4,78,75,9415,0.9615384615384616
1,-4,18,18,2600,1.0
1,-3,18,18,2523,1.0
1,-2,18,18,2568,1.0
1,-1,18,18,2198,1.0
1,1,18,18,2149,1.0
1,2,18,18,2173,1.0
1,3,18,18,2328,1.0
1,4,18,18,2215,1.0
