rel_t,raw_count_500m,standardized_density,reference_period,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df,cluster
-4,2.0,-0.5674513060674776,False,-0.027415229070330144,0.03630951788110115,-0.7550424976752329,0.4502310949421737,-0.09858426361523577,0.04375380547457548,23362.0,member_id
-3,2.0,-0.5674513060674776,False,-0.0043387348184408606,0.03677695796447199,-0.11797427135306439,0.9060890582093619,-0.07642398255984303,0.06774651292296133,23362.0,member_id
-2,2.0,-0.5674513060674776,False,-0.00908861301309035,0.03585869134363039,-0.2534563497032015,0.7999178182645739,-0.07937399800021111,0.061196771974030416,23362.0,member_id
-1,2.0,-0.5674513060674776,True,0.0,0.0,,,0.0,0.0,23362.0,member_id
1,2.0,-0.5674513060674776,False,-0.05719348616953725,0.03765962510419302,-1.51869504837873,0.1288528055476618,-0.13100881934925795,0.01662184701018346,23362.0,member_id
2,2.0,-0.5674513060674776,False,-0.08904054801884244,0.03708053920102116,-2.401274359472916,0.016345845781003416,-0.16172083487869016,-0.016360261158994707,23362.0,member_id
3,2.0,-0.5674513060674776,False,-0.04301175689025316,0.03734640486674937,-1.1516973867690226,0.24945723241804152,-0.11621315787809552,0.030189644097589202,23362.0,member_id
4,2.0,-0.5674513060674776,False,-0.06320389869018778,0.03701512213718709,-1.7075156055392353,0.0877395464300906,-0.1357559638178969,0.00934816643752133,23362.0,member_id
-4,13.0,0.2075365428165182,False,0.07400551969085649,0.03702473527572598,1.9988129324823483,0.045640163116092224,0.0014346121816263824,0.1465764272000866,23362.0,member_id
-3,13.0,0.2075365428165182,False,0.06590021435046187,0.03824426903975385,1.7231395972547006,0.08487651603946282,-0.009061059256852771,0.1408614879577765,23362.0,member_id
-2,13.0,0.2075365428165182,False,0.0447763924675436,0.037926791549223585,1.1806005896763032,0.23777344902544015,-0.029562604452849264,0.11911538938793646,23362.0,member_id
-1,13.0,0.2075365428165182,True,0.0,0.0,,,0.0,0.0,23362.0,member_id
1,13.0,0.2075365428165182,False,0.033785446636947755,0.03676841918310028,0.9188713408836576,0.3581723584548048,-0.03828306453338774,0.10585395780728325,23362.0,member_id
2,13.0,0.2075365428165182,False,0.024598357837953888,0.037723651228964566,0.6520672585125334,0.5143641996934196,-0.04934247074218949,0.09853918641809727,23362.0,member_id
3,13.0,0.2075365428165182,False,0.02402583291865155,0.0377057543520047,0.6371927397170393,0.5240055502299902,-0.04987991660980147,0.09793158244710458,23362.0,member_id
4,13.0,0.2075365428165182,False,-9.808696298263878e-05,0.03828122919705603,-0.0025622730784773764,0.9979556259844575,-0.07513180490074632,0.07493563097478105,23362.0,member_id
