spec,measure,estimand,raw_count,standardized_density,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df,observations,member_events,consumer_clusters,fixed_effects,cluster
paper_facing_baseline,,high_minus_low_ddd,,,-0.041488578929682496,0.014499652281090581,-2.86134992242462,0.004222156016733358,-0.0699088476168403,-0.013068310242524694,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_500m_interaction,cafe_count_500m,ddd_at_member_event_mean,,0.0,-0.033254637013216085,0.015466367017004412,-2.1501259459738966,0.03155548533714396,-0.06356972993518233,-0.0029395440912498468,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_500m_interaction,cafe_count_500m,density_gradient_per_sd,,,0.02996370886051373,0.0311284640139554,0.9625823120305745,0.33576714045908274,-0.03105012057102865,0.0909775382920561,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_500m_interaction,cafe_count_500m,fitted_ddd,0.0,-0.7083581876827496,-0.054479675517903135,0.02221268954890958,-2.452637506950505,0.014188575424571992,-0.09801800271404679,-0.01094134832175949,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_500m_interaction,cafe_count_500m,fitted_ddd,2.0,-0.5674513060674776,-0.050257582740740256,0.01911442889178434,-2.6293007771915016,0.008561668021917417,-0.0877231160083576,-0.012792049473122916,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_500m_interaction,cafe_count_500m,fitted_ddd,5.0,-0.35609098364456965,-0.043924443574995926,0.0156666497683598,-2.8036909118697007,0.0050562972936132895,-0.07463210381489341,-0.013216783335098445,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_500m_interaction,cafe_count_500m,fitted_ddd,13.0,0.2075365428165182,-0.02703607246634439,0.01867938278790924,-1.4473750430257395,0.14780532982093464,-0.06364888686017495,0.009576741927486167,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_500m_interaction,cafe_count_500m,ddd_at_member_event_mean,,0.0,-0.03918951422637211,0.014505776208709263,-2.7016488923111015,0.006904637130364491,-0.06762178621298631,-0.010757242239757908,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_500m_interaction,cafe_count_500m,density_gradient_per_sd,,,0.00788486768860682,0.016308250044546575,0.4834895017594787,0.6287527434651092,-0.024080371139072576,0.03985010651628622,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_500m_interaction,cafe_count_500m,fitted_ddd,0.0,-1.702517579804148,-0.052613640080654916,0.031003382973863812,-1.6970290024481776,0.08970449785151124,-0.11338230247659134,0.008155022315281507,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_500m_interaction,cafe_count_500m,fitted_ddd,2.0,-0.6767604335268009,-0.044525680701615125,0.01800653046636407,-2.4727518043961014,0.013414785262283051,-0.07981966045069838,-0.009231700952531875,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_500m_interaction,cafe_count_500m,fitted_ddd,5.0,-0.029579730001872848,-0.039422746483701594,0.014501754913115693,-2.718481088660989,0.0065630798472825925,-0.06784713646742192,-0.010998356499981269,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_500m_interaction,cafe_count_500m,fitted_ddd,13.0,0.76152905722219,-0.03318495836914565,0.019329983675377457,-1.716760806757259,0.08603613996397474,-0.07107299313871335,0.004703076400422036,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_1500m_interaction,cafe_count_1500m,ddd_at_member_event_mean,,0.0,-0.04039538183569904,0.014740681469479253,-2.740401243954571,0.006141082654514329,-0.0692880835276391,-0.011502680143758975,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_1500m_interaction,cafe_count_1500m,density_gradient_per_sd,,,-0.012174258592498318,0.017591401972427364,-0.6920573250261783,0.4889082078334719,-0.0466545592885492,0.022306042103552564,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,0.0,-0.7638529240371089,-0.0310960388118353,0.01864045582857708,-1.6682016307864624,0.09528910847887548,-0.06763255381434619,0.005440476190675586,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,10.0,-0.6377648847064055,-0.03263106720806838,0.017352039901611934,-1.8805320523172084,0.06004803159559198,-0.06664220255903298,0.0013800681428962208,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,22.0,-0.4864592375095614,-0.03447310128354808,0.016075871115759175,-2.1444002029696607,0.03201111936566918,-0.06598286218214744,-0.0029633403849487205,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,67.0,0.08093693947860403,-0.04138072906659695,0.014988433878052848,-2.7608440884000305,0.005769716536056606,-0.07075904171547939,-0.01200241641771451,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_1500m_interaction,cafe_count_1500m,ddd_at_member_event_mean,,0.0,-0.04107870660444981,0.014685070311969235,-2.7973108559765043,0.005157207324037388,-0.06986240678326396,-0.012295006425635666,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_1500m_interaction,cafe_count_1500m,density_gradient_per_sd,,,-0.011104332079820468,0.013717130057554856,-0.809522985728683,0.4182226315685956,-0.037990805927252305,0.015782141767611373,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_1500m_interaction,cafe_count_1500m,fitted_ddd,0.0,-2.314479882192338,-0.015377953400522337,0.03346166070347005,-0.45956934226302787,0.6458296452228748,-0.08096500124658286,0.050209094445538185,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_1500m_interaction,cafe_count_1500m,fitted_ddd,10.0,-0.6118855423044947,-0.03428412634785966,0.016081953661281116,-2.1318383991120475,0.033030536373854,-0.0658058094342939,-0.0027624432614254332,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_1500m_interaction,cafe_count_1500m,fitted_ddd,22.0,-0.08816300949506564,-0.04009971526986023,0.014599857646719385,-2.7465826201990886,0.006026582564790644,-0.06871639304048133,-0.011483037499239134,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
log_1500m_interaction,cafe_count_1500m,fitted_ddd,67.0,0.6815266646499039,-0.04864660500997478,0.018265914586201228,-2.663244962654336,0.007744411050340519,-0.08444899463234634,-0.012844215387603213,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
low_density_le3_descriptive,,high_minus_low_ddd,,,-0.05387661134596225,0.022382802673607746,-2.407053849850976,0.01610010927992265,-0.09775149855118678,-0.010001724140737717,9834.0,41175,9835,9835,event_fe_id + rel_t + calendar_month,member_id
preferred_store_event_post_fe,,high_minus_low_ddd,,,-0.04453254281955799,0.014904972619998161,-2.9877641479064647,0.002813182250198537,-0.07374726593312614,-0.015317819705989846,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month + preferred_store_event_post_fe,member_id
market_new_baseline,market-new outcome,high_minus_low_ddd,,,-0.04171738398183733,0.011466239149915725,-3.6382795994747714,0.00027505638318762825,-0.0641919641410315,-0.019242803822643168,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
market_new_raw_500m_interaction,cafe_count_500m,ddd_at_member_event_mean,,,-0.03848256570114417,0.012660248941246921,-3.039637362561528,0.0023712515265523347,-0.06329748329925639,-0.013667648103031952,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
market_new_raw_500m_interaction,cafe_count_500m,density_gradient_per_sd,,,-0.013247601762328809,0.025444918316397117,-0.5206384079367171,0.6026236223243552,-0.06312130916273812,0.0366261056380805,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,0.0,-0.7083581876827496,-0.029098518525638134,0.01769306995571766,-1.644628015288817,0.10006000013158142,-0.06377809513161962,0.005581058080343357,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,2.0,-0.5674513060674776,-0.030965196778848868,0.015195028864707525,-2.03785047429358,0.04157613025006974,-0.060748449140513444,-0.0011819444171842913,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,5.0,-0.35609098364456965,-0.033765214158664965,0.012484422397805497,-2.7045876118866494,0.006843877829243747,-0.058235500209063706,-0.009294928108266227,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,13.0,0.2075365428165182,-0.0412319271715079,0.015446431798110052,-2.6693496407728827,0.007605082330185707,-0.07150794575801205,-0.010955908585003754,23362.0,99644,23363,23363,event_fe_id + rel_t + calendar_month,member_id
