comparison,outcome,term,coef,se_crv1,pvalue_crv1,ci_low,ci_high,n,clusters,singleton_drops,cluster
post_vs_pre,new_campaigns_per_day,after_X_treated_X_high,0.0016726281485628155,0.0007457355901142388,0.024907157561168358,0.0002109691834058481,0.003134287113719783,321184,40148,0,member_id
during_vs_all_pre,new_campaigns_per_day,after_X_treated_X_high,0.004112196155647723,0.0008667032922556889,2.095939615498843e-06,0.002413437702852782,0.005810954608442664,200740,40148,0,member_id
during_vs_last_pre,new_campaigns_per_day,after_X_treated_X_high,0.004328002218925313,0.0008793095515565162,8.598299033976363e-07,0.0026045352069997488,0.006051469230850877,80296,40148,0,member_id
post_vs_pre,new_records_per_day,after_X_treated_X_high,0.0016726281485628155,0.0007457355901142388,0.024907157561168358,0.0002109691834058481,0.003134287113719783,321184,40148,0,member_id
during_vs_all_pre,new_records_per_day,after_X_treated_X_high,0.004112196155647723,0.0008667032922556889,2.095939615498843e-06,0.002413437702852782,0.005810954608442664,200740,40148,0,member_id
during_vs_last_pre,new_records_per_day,after_X_treated_X_high,0.004328002218925313,0.0008793095515565162,8.598299033976363e-07,0.0026045352069997488,0.006051469230850877,80296,40148,0,member_id
post_vs_pre,any_new_push,after_X_treated_X_high,0.014427305042270931,0.006957581917521675,0.03812199216608455,0.0007902839313411389,0.028064326153200723,321184,40148,0,member_id
during_vs_all_pre,any_new_push,after_X_treated_X_high,0.042207496530071116,0.007937460905099827,1.0576070762875e-07,0.02664988999188133,0.0577651030682609,200740,40148,0,member_id
during_vs_last_pre,any_new_push,after_X_treated_X_high,0.03624242839329951,0.00838753665931394,1.557065169829246e-05,0.01980266299093903,0.05268219379565999,80296,40148,0,member_id
post_vs_pre,new_push_days_per_day,after_X_treated_X_high,0.0016672561721101393,0.0007456747886313957,0.025363627172018316,0.0002057163792625943,0.0031287959649576843,321184,40148,0,member_id
during_vs_all_pre,new_push_days_per_day,after_X_treated_X_high,0.004106228413838699,0.0008666692367572089,2.1663762637951646e-06,0.0024075367106066404,0.005804920117070758,200740,40148,0,member_id
during_vs_last_pre,new_push_days_per_day,after_X_treated_X_high,0.004331465938512489,0.0008793018238751969,8.425091547719031e-07,0.0026080140730206335,0.006054917804004344,80296,40148,0,member_id
post_vs_pre,campaigns_per_day,after_X_treated_X_high,0.011281931992502998,0.0037149938711675185,0.0023920643873519775,0.004000458278122054,0.018563405706883942,321184,40148,0,member_id
during_vs_all_pre,campaigns_per_day,after_X_treated_X_high,0.0230018334011372,0.003977316501604292,7.381133977211435e-09,0.015206201277764765,0.030797465524509633,200740,40148,0,member_id
during_vs_last_pre,campaigns_per_day,after_X_treated_X_high,0.014310671629238915,0.00397442495240644,0.0003177563721847995,0.006520707009019421,0.02210063624945841,80296,40148,0,member_id
post_vs_pre,push_records_per_day,after_X_treated_X_high,0.012520631786973699,0.0037461673525568885,0.0008317772306056754,0.005178057329712901,0.019863206244234495,321184,40148,0,member_id
during_vs_all_pre,push_records_per_day,after_X_treated_X_high,0.024310796700623933,0.004008244694979676,1.3296619320933866e-09,0.016454544604539302,0.032167048796708564,200740,40148,0,member_id
during_vs_last_pre,push_records_per_day,after_X_treated_X_high,0.01444512933826422,0.003977425055056536,0.00028182421766986604,0.006649284447620415,0.022240974228908025,80296,40148,0,member_id
post_vs_pre,new_campaign_share,after_X_treated_X_high,-0.00047263339007180133,0.005293427938922346,0.9288544920941595,-0.010847933822405004,0.009902667042261401,183480,33730,2846,member_id
during_vs_all_pre,new_campaign_share,after_X_treated_X_high,0.001967777013749745,0.006079990505866979,0.7462068741900384,-0.009949288665855793,0.013884842693355283,107606,28662,4839,member_id
during_vs_last_pre,new_campaign_share,after_X_treated_X_high,-0.0014237408124812782,0.008140787833431381,0.8611680067644437,-0.01738036655180851,0.014532884926845952,39628,19814,8835,member_id
