scope,outcome,component,rel_t,term,coef,se,pvalue,ci_low,ci_high,n,clusters,cluster
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,-4,rel_t::-4:treated,0.00560642719446721,0.005900051200704088,0.3419992635782121,-0.005957809308008389,0.01717066369694281,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,-3,rel_t::-3:treated,-0.0019915730136673593,0.005665774634453677,0.7252080701819743,-0.013096622040145405,0.009113476012810687,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,-2,rel_t::-2:treated,0.005730604117613193,0.005323901779254692,0.281758544782041,-0.004704366223644992,0.016165574458871377,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,1,rel_t::1:treated,0.00795268735978476,0.005109602625428177,0.11961615152445182,-0.0020622516948238315,0.01796762641439335,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,2,rel_t::2:treated,0.003000119175909878,0.005173806608010462,0.5620076356261867,-0.007140661166125807,0.013140899517945562,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,3,rel_t::3:treated,0.008305242830634597,0.005112487489158117,0.10427670250240917,-0.0017153506234555554,0.01832583628472475,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,baseline_treatment_effect,4,rel_t::4:treated,0.004298656739646371,0.005059468165100534,0.39553800403933304,-0.005618017615821363,0.014215331095114105,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,-4,rel_t::-4:treated_X_disp,0.017895491811637347,0.015621108396660817,0.25196885006872316,-0.012722241117228684,0.048513224740503375,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,-3,rel_t::-3:treated_X_disp,0.016805988730465255,0.015337681003090037,0.27320262317038635,-0.013256219966654856,0.04686819742758537,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,-2,rel_t::-2:treated_X_disp,-0.013292183548851099,0.014977450284639472,0.3748259906044902,-0.04264833172515371,0.01606396462745151,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,1,rel_t::1:treated_X_disp,-0.005750238173941452,0.013588929633925596,0.6721836562805468,-0.032384853833456684,0.02088437748557378,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,2,rel_t::2:treated_X_disp,-0.017443108081477525,0.014145148018010936,0.21752653017789458,-0.04516792460904965,0.0102817084460946,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,3,rel_t::3:treated_X_disp,-0.006936379096945695,0.014049960685118336,0.6215251142951361,-0.034474626255513265,0.020601868061621877,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,high_minus_low_ddd,4,rel_t::4:treated_X_disp,-0.0159537647233854,0.014033495271744884,0.25561416964057804,-0.04345973929178648,0.011552209845015683,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,-4,rel_t::-4:disp_binary,-0.019073139677136267,0.006538653772305459,0.003536311637891476,-0.0318890519562909,-0.006257227397981631,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,-3,rel_t::-3:disp_binary,-0.0012258630947738175,0.006403522664414691,0.848185190073012,-0.013776915284188231,0.011325189094640595,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,-2,rel_t::-2:disp_binary,0.0638010395704423,0.006403477841791076,0.0,0.05125007523440449,0.0763520039064801,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,1,rel_t::1:disp_binary,-0.0556416419148041,0.005897961668079399,0.0,-0.06720178288511743,-0.04408150094449077,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,2,rel_t::2:disp_binary,-0.07772131983247596,0.005938218881672327,0.0,-0.08936036587040357,-0.06608227379454835,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,3,rel_t::3:disp_binary,-0.08729581454502162,0.005910756107483293,0.0,-0.09888103291181001,-0.07571059617823324,321184,40148,member_id
all_noncoffee,any_purchase_all_noncoffee,common_high_minus_low_shift,4,rel_t::4:disp_binary,-0.09396248748464106,0.005892628397486846,0.0,-0.10551217512152287,-0.08241279984775925,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,-4,rel_t::-4:treated,0.00532949992467421,0.005894238446416735,0.36590112495263694,-0.006223343445263537,0.016882343294611957,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,-3,rel_t::-3:treated,-0.0019780881656550034,0.005665690498270015,0.7269901486575547,-0.013082972283271552,0.009126795951961546,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,-2,rel_t::-2:treated,0.005720734390847848,0.005323872648580969,0.2825854791262128,-0.004714178853617623,0.016155647635313318,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,1,rel_t::1:treated,0.007945439301264684,0.005109582981669911,0.11995219157726056,-0.0020694612511244076,0.017960339853653775,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,2,rel_t::2:treated,0.0029920037393878105,0.0051737797548521754,0.5630639370484527,-0.00714872396983797,0.013132731448613592,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,3,rel_t::3:treated,0.008376326098330226,0.005112481699166483,0.10134464408371469,-0.0016442560072427136,0.018396908203903165,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,baseline_treatment_effect,4,rel_t::4:treated,0.004138067876215264,0.005063061286703548,0.41375871006096077,-0.005785649080508954,0.014061784832939482,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,-4,rel_t::-4:treated_X_disp,0.018323044294914288,0.015618720593692645,0.2407441018446803,-0.01229000848503338,0.048936097074861955,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,-3,rel_t::-3:treated_X_disp,0.01694963211141664,0.015337972740180795,0.26913309658937346,-0.013113148397133456,0.047012412619966734,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,-2,rel_t::-2:treated_X_disp,-0.013313087372560782,0.014976727621785898,0.3740523114578651,-0.042667819112994276,0.016041644367872716,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,1,rel_t::1:treated_X_disp,-0.005767931680940188,0.013587928329387685,0.6712112015118858,-0.0324005847604551,0.020864721398574718,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,2,rel_t::2:treated_X_disp,-0.017953529864143253,0.014133263527411942,0.20398401100997088,-0.04565505251589582,0.009747992787609315,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,3,rel_t::3:treated_X_disp,-0.007289904102087854,0.014050342127781432,0.6038739605460184,-0.034828898897077236,0.020249090692901525,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,high_minus_low_ddd,4,rel_t::4:treated_X_disp,-0.016326767241428744,0.014022307177491224,0.2442921861458427,-0.043810812886917114,0.011157278404059626,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,-4,rel_t::-4:disp_binary,-0.01907585626833892,0.006537281103953216,0.003524676008806571,-0.03188907808584757,-0.006262634450830263,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,-3,rel_t::-3:disp_binary,-0.0013356673639860783,0.006404697345811608,0.8348045377122535,-0.013889021956045298,0.011217687228073142,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,-2,rel_t::-2:disp_binary,0.0637994408137271,0.006401454782192956,0.0,0.051252441721185565,0.07634643990626863,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,1,rel_t::1:disp_binary,-0.05565463346615931,0.005896010250291759,0.0,-0.0672109496125781,-0.04409831731974051,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,2,rel_t::2:disp_binary,-0.07774028403066414,0.005934135715288142,0.0,-0.08937132696825595,-0.06610924109307234,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,3,rel_t::3:disp_binary,-0.08702187610260825,0.005911334607592532,0.0,-0.09860822834296017,-0.07543552386225634,321184,40148,member_id
noncoffee_consumables,any_purchase_noncoffee_consumables,common_high_minus_low_shift,4,rel_t::4:disp_binary,-0.0939523480173544,0.005888431737296031,0.0,-0.10549381010342043,-0.08241088593128837,321184,40148,member_id
noncoffee_drinks,any_purchase_noncoffee_drinks,baseline_treatment_effect,-4,rel_t::-4:treated,0.004975781477814793,0.005382347951457188,0.35525086874200573,-0.00557374470965934,0.015525307665288927,321184,40148,member_id
