scope,outcome,component,rel_t,term,coef,se,pvalue,ci_low,ci_high,n,clusters,cluster
headline_all_products,variety_seeking,baseline_treatment_effect,-4,rel_t::-4:treated,-0.026133723385479497,0.022789179607221342,0.2514925012042648,-0.07080200887545496,0.01853456210449596,99644,23363,member_id
headline_all_products,variety_seeking,baseline_treatment_effect,-3,rel_t::-3:treated,-0.02122795751451162,0.023269063635546258,0.3616294837968508,-0.0668368471485917,0.024380932119568453,99644,23363,member_id
headline_all_products,variety_seeking,baseline_treatment_effect,-2,rel_t::-2:treated,-0.03603560502021988,0.023621501753919798,0.1271373764354249,-0.0823352964628947,0.010264086422454945,99644,23363,member_id
headline_all_products,variety_seeking,baseline_treatment_effect,1,rel_t::1:treated,0.03596810652269692,0.023380494249528132,0.12396904499457473,-0.009859194417250805,0.08179540746264465,99644,23363,member_id
headline_all_products,variety_seeking,baseline_treatment_effect,2,rel_t::2:treated,0.014888659438089836,0.02267341938842071,0.5114079604911921,-0.02955272843683808,0.05933004731301775,99644,23363,member_id
headline_all_products,variety_seeking,baseline_treatment_effect,3,rel_t::3:treated,-0.012374065477364464,0.023142723379460394,0.5928728310676177,-0.057735319929968686,0.03298718897523976,99644,23363,member_id
headline_all_products,variety_seeking,baseline_treatment_effect,4,rel_t::4:treated,0.005246403202724118,0.02332850995888055,0.822064995078204,-0.04047900512083015,0.05097181152627839,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,-4,rel_t::-4:treated_X_disp,0.022309211819251194,0.027181441949619346,0.41179615026537064,-0.030968195703135335,0.07558661934163773,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,-3,rel_t::-3:treated_X_disp,0.026419287606159577,0.027598146087760143,0.33843339744839795,-0.02767488733515717,0.08051346254747632,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,-2,rel_t::-2:treated_X_disp,0.016017007112751953,0.027310519348696626,0.5575602945685998,-0.03751340057074878,0.06954741479625268,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,1,rel_t::1:treated_X_disp,-0.011959786625422172,0.027902869343835686,0.6682022071524094,-0.06665123911829694,0.0427316658674526,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,2,rel_t::2:treated_X_disp,-0.03940515424490425,0.027830067187115885,0.15681220208096325,-0.09395390973961171,0.01514360124980322,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,3,rel_t::3:treated_X_disp,-0.020706997775652422,0.028023968240581964,0.4599732464985973,-0.07563581204221165,0.03422181649090681,99644,23363,member_id
headline_all_products,variety_seeking,high_minus_low_ddd,4,rel_t::4:treated_X_disp,-0.036373257829573236,0.02814780274951317,0.19629246790316124,-0.09154479584897424,0.018798280189827772,99644,23363,member_id
headline_all_products,variety_seeking,common_high_minus_low_shift,-4,rel_t::-4:disp_binary,0.039946727785463064,0.011699034114724897,0.0006400020286052577,0.017015854239321795,0.06287760133160433,99644,23363,member_id
