disp_binary,treated,rel_t,purchase_probability,se_cluster,ci_low,ci_high,observations,n_clusters,cluster
0,0,-4,0.2654800701930308,0.0028544285958995892,0.259885209999749,0.27107493038631264,23934,23934,member_id
0,0,-3,0.2331411381298571,0.0027331823407262287,0.22778392824866522,0.23849834801104897,23934,23934,member_id
0,0,-2,0.18028745717389488,0.0024849346762271635,0.1754168283822339,0.18515808596555586,23934,23934,member_id
0,0,-1,0.17661067936826272,0.0024649750347799614,0.1717791727335075,0.18144218600301792,23934,23934,member_id
0,0,1,0.18007854934402942,0.002483810997018126,0.17521012303453448,0.18494697565352436,23934,23934,member_id
0,0,2,0.20084398763265648,0.0025896831611955952,0.19576804519969498,0.20591993006561798,23934,23934,member_id
0,0,3,0.19879669089997493,0.002579748521742386,0.19374022098732493,0.20385316081262492,23934,23934,member_id
0,0,4,0.21108047129606416,0.0026377996754797755,0.2059102174584332,0.21625072513369514,23934,23934,member_id
0,1,-4,0.26117031220788933,0.006006733634707398,0.24939466555330292,0.27294595886247575,5349,5349,member_id
0,1,-3,0.21966722751916246,0.005661439341178022,0.2085684984440327,0.23076595659429222,5349,5349,member_id
0,1,-2,0.18956814357823892,0.005359758617514554,0.1790608317059354,0.20007545545054245,5349,5349,member_id
0,1,-1,0.17180781454477473,0.005158118576449566,0.16169579935439463,0.18191982973515483,5349,5349,member_id
0,1,1,0.19050289773789494,0.00536985727765445,0.1799757883748545,0.20103000710093538,5349,5349,member_id
0,1,2,0.2065806692839783,0.005536056699268639,0.19572774130101156,0.21743359726694506,5349,5349,member_id
0,1,3,0.21929332585530006,0.0056579740839783205,0.2082013900969432,0.23038526161365694,5349,5349,member_id
0,1,4,0.21275004673770798,0.005596228701782102,0.2017791570998406,0.22372093637557536,5349,5349,member_id
1,0,-4,0.7320942883046238,0.004714833450298798,0.7228521166840132,0.7413364599252343,8824,8824,member_id
1,0,-3,0.7652991840435177,0.004511955267022882,0.7564547009113085,0.7741436671757269,8824,8824,member_id
1,0,-2,0.846441523118767,0.003838196793458406,0.8389177635092793,0.8539652827282547,8824,8824,member_id
1,0,-1,0.6596781504986401,0.005044322291443514,0.6497901040132996,0.6695661969839806,8824,8824,member_id
1,0,1,0.5768359020852222,0.005259838491608763,0.5665253936550546,0.5871464105153897,8824,8824,member_id
1,0,2,0.5789891205802358,0.005256222262526319,0.5686857008012691,0.5892925403592024,8824,8824,member_id
1,0,3,0.5598368087035358,0.00528481082634641,0.5494773486813671,0.5701962687257045,8824,8824,member_id
1,0,4,0.5573436083408885,0.005287942725954365,0.5469780090660864,0.5677092076156905,8824,8824,member_id
1,1,-4,0.7310142087212151,0.009817761899244168,0.7117603254684521,0.7502680919739781,2041,2041,member_id
1,1,-3,0.7550220480156786,0.009522001226928709,0.7363481891629736,0.7736959068683836,2041,2041,member_id
1,1,-2,0.8397844194022538,0.008121218526709236,0.8238576740820731,0.8557111647224345,2041,2041,member_id
1,1,-1,0.684468397844194,0.010289234098404158,0.6642898974767861,0.7046468982116019,2041,2041,member_id
1,1,1,0.5982361587457129,0.010854421190005605,0.5769492544070801,0.6195230630843457,2041,2041,member_id
1,1,2,0.5737383635472807,0.010949139408866286,0.5522657047009945,0.5952110223935669,2041,2041,member_id
1,1,3,0.6050955414012739,0.01082288169686339,0.5838704900312752,0.6263205927712725,2041,2041,member_id
1,1,4,0.5781479666829985,0.010934136492423958,0.5567047304693444,0.5995912028966526,2041,2041,member_id
