group,rel_t,mean,se_cluster,ci_low,ci_high,observations,n_clusters,cluster
control,-4,0.05533613422755006,0.00057994897499011,0.05419941312210372,0.0564728553329964,32758,32758,member_id
control,-3,0.0522982728630015,0.0005653293635623128,0.05119020672821648,0.053406338997786525,32758,32758,member_id
control,-2,0.05062232232260035,0.0005616637036502203,0.04952144101470037,0.05172320363050032,32758,32758,member_id
control,-1,0.04162588305851096,0.000510021304252964,0.040626222733597894,0.04262554338342403,32758,32758,member_id
control,0,0.03596221576923022,0.0004893959131801358,0.03500298196173788,0.03692144957672256,32758,32758,member_id
control,1,0.039225455778790316,0.0005019477580166608,0.03824161989843767,0.040209291659142964,32758,32758,member_id
control,2,0.04264569255432239,0.0005274108065909121,0.04161194817171944,0.043679436936925345,32758,32758,member_id
control,3,0.03989850506803784,0.0004968847767704078,0.038924592815258105,0.040872417320817575,32758,32758,member_id
control,4,0.04173102977437597,0.0005183852278091357,0.04071497585478365,0.04274708369396829,32758,32758,member_id
treatment,-4,0.051656826140017056,0.0011548509907792397,0.04939298896083617,0.05392066331919794,7390,7390,member_id
treatment,-3,0.047632132638737265,0.0011126952459851092,0.0454509327375628,0.04981333253991173,7390,7390,member_id
treatment,-2,0.04753473859004055,0.0011053745387664977,0.045367889362079965,0.04970158781800114,7390,7390,member_id
treatment,-1,0.03914075501741595,0.0010134155563020024,0.03715417161173456,0.04112733842309734,7390,7390,member_id
treatment,0,0.006562216627271509,0.00036573490574129283,0.005845271944405816,0.0072791613101372025,7390,7390,member_id
treatment,1,0.03874230937366869,0.0010036880018988808,0.03677479474785251,0.04070982399948487,7390,7390,member_id
treatment,2,0.0398587262243984,0.0010531405611038706,0.03779427048407674,0.04192318196472006,7390,7390,member_id
treatment,3,0.04352439166238308,0.0011016189230634167,0.041364904511891565,0.0456838788128746,7390,7390,member_id
treatment,4,0.04030824018037771,0.0010243853641201607,0.03830015282398276,0.042316327536772655,7390,7390,member_id
