dept_id,closure_start,closure_duration_days,window_days,#treatment,#control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,closure_end,latitude,longitude,address
254,2021-01-30,23,14,151,828,0.1390728476821192,0.33816425120772947,0.4112582781456953,,,,
228,2021-02-04,17,14,125,788,0.056,0.34390862944162437,0.1628339483394834,,,,
225,2021-02-09,10,14,396,2106,0.030303030303030304,0.15242165242165243,0.1988105352591334,,,,
181,2021-02-11,15,14,50,447,0.16,0.348993288590604,0.4584615384615385,,,,
8,2021-05-27,15,14,132,598,0.10606060606060606,0.3862876254180602,0.2745638200183655,,,,
19,2021-07-15,11,14,597,2764,0.11725293132328309,0.2536179450072359,0.4623211158025028,,,,
124,2021-07-22,28,14,1291,2029,0.10844306738962045,0.354361754558896,0.3060236213262029,,,,
238,2021-07-24,29,14,773,1059,0.07632600258732213,0.3663833805476865,0.2083227751030261,,,,
44,2021-07-24,13,14,367,1231,0.07356948228882834,0.2437043054427295,0.3018801089918256,,,,
39,2021-07-25,26,14,253,2890,0.13043478260869565,0.2844290657439446,0.45858457632497623,,,,
246,2021-07-27,13,14,76,481,0.039473684210526314,0.23492723492723494,0.16802515137401022,,,,
133,2021-07-28,26,14,228,2128,0.039473684210526314,0.33129699248120303,0.11914893617021274,,,,
47,2021-07-30,12,14,223,3241,0.08520179372197309,0.19870410367170627,0.4287872879703646,,,,
220,2021-08-03,10,14,599,1261,0.03171953255425709,0.21332275971451228,0.1486926786279487,,,,
182,2021-08-03,18,14,221,1422,0.06787330316742081,0.2320675105485232,0.2924722336487042,,,,
121,2021-08-03,18,14,418,1890,0.07894736842105263,0.22592592592592592,0.34943917169974115,,,,
59,2021-08-03,17,14,423,2908,0.05673758865248227,0.3149931224209078,0.18012326179194155,,,,
62,2021-08-04,14,14,231,2485,0.07792207792207792,0.21006036217303822,0.3709508881922675,,,,
46,2021-08-04,16,14,313,2495,0.04472843450479233,0.30420841683366734,0.14703220565145833,,,,
3,2021-08-09,14,14,734,819,0.013623978201634877,0.17338217338217338,0.07857773343055609,,,,
5,2021-08-18,14,14,432,2056,0.041666666666666664,0.28793774319066145,0.1447072072072072,,,,
131,2021-08-29,11,14,408,2350,0.06372549019607843,0.24893617021276596,0.2559912854030501,,,,
