dept_id,closure_start,closure_end,closure_duration_days,selection_mode,lowest_purchases,lowest_ratio,min_group_size,min_ctrl_treat_ratio,treated_store_set_up_time,treated_store_address,control_store_ids,control_store_set_up_times,control_store_addresses,n_control_stores,n_treatment,n_control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,status,skip_reason
239,2020-09-05,2020-09-23,19,set_up_time_matched,5,0.8,50,2.0,2019-10-15,玄武区石婆婆庵杨将军巷9号曼度文化广场一层南13-13A,255|157|151|155|160,2019-10-06|2019-09-30|2019-09-30|2019-10-30|2019-10-31,玄武区钟山风景区紫岚里游客中心旁|玄武区苏宁大道9号苏宁易购广场负二层C102商铺|栖霞区和燕路348号沃尔玛超市一层|玄武区中山东路145号全民健身中心一层104室|雨花台区英才路2号菁英体育中心一层大堂,5,7,424,0.2857142857142857,0.5589622641509434,0.5111512959614225,skipped,min_group_size
101,2020-09-12,2020-10-08,27,set_up_time_matched,5,0.8,50,2.0,2019-01-28,建邺区江东中路369号新华传媒广场1号楼一层,235|94|91|234|95,2019-01-25|2019-01-24|2019-01-09|2019-01-08|2019-01-02,建邺区江东中路98号建邺万达百货商场一层1378号|栖霞区学海路1号金鹰湖滨天地C馆G层|江宁区胜利路89号紫金研发创业中心3幢4号楼一层|鼓楼区建宁路300号大观·天地MALL一层|栖霞区仙林街道学津路8号高创中心一层大堂,5,111,648,0.35135135135135137,0.683641975308642,0.5139405771459947,skipped,low_control_rate
64,2020-10-11,2020-10-21,11,set_up_time_matched,5,0.8,50,2.0,2018-10-23,鼓楼区行健路16号移动龙江阳光广场一层,54|51|60|58|52,2018-10-23|2018-10-22|2018-10-22|2018-10-24|2018-10-25,鼓楼区湖北路51号南京鼓楼新城吾悦广场负一层中庭|江宁区胜太路99号1号楼一层103-2单元|秦淮区莫愁路329号越界梦幻城67号楼一层|鼓楼区凤凰东街150号华润苏果一层|雨花台区文竹路8号凯润大厦3号楼一层102室,5,196,756,0.28061224489795916,0.4021164021164021,0.6978383458646616,skipped,low_control_rate
64,2020-10-31,2020-11-10,11,set_up_time_matched,5,0.8,50,2.0,2018-10-23,鼓楼区行健路16号移动龙江阳光广场一层,56|53|66|72|61,2018-10-27|2018-10-17|2018-10-31|2018-11-01|2018-11-05,秦淮区永智路5号白下高新技术产业园科技创业研发孵化楼5号楼一层|鼓楼区龙江路28号深业漫埠一层6室|鼓楼区云南北路49号天星翠琅大厦一层|浦口区江北新区丽景路2号研发大厦A座一层101室|江宁区龙眠大道568号生命科技小镇7栋一层,5,181,773,0.30939226519337015,0.4139715394566624,0.7473756906077348,skipped,low_control_rate
254,2021-01-30,2021-02-21,23,set_up_time_matched,5,0.8,50,2.0,2020-05-20,江北新区浦滨路150号中科创新广场5栋一层大堂,2|175|176|253|252,2020-06-03|2020-05-06|2020-04-28|2020-06-11|2020-04-17,玄武区中山门大街301号森林摩尔商业街负一层37号|山西路8号金山大厦B座苏宁易购一层底商|玄武区玄武大道699-18号先声药业8号楼一层大堂|江宁区禄口街道航金大道金城商业街5-013号底商|玄武区中山门大街301号森林摩尔商业街负一楼37号,5,151,828,0.1390728476821192,0.33816425120772947,0.4112582781456953,kept,
228,2021-02-04,2021-02-20,17,set_up_time_matched,5,0.8,50,2.0,2018-07-30,玄武区友谊河路100号品硕广场一层S05号,16|20|18|35|27,2018-07-30|2018-07-30|2018-07-31|2018-08-07|2018-08-09,雨花台区西春路1号创智大厦一层106室|浦口区大桥北路1号华侨广场一层大堂|雨花台区绿都大道绿地广场C2座一层4-13号|雨花台区软件大道50号南京中兴和泰酒店一层大堂|秦淮区中山东路532号金蝶产业园E幢三层青梦家大堂,5,125,788,0.056,0.34390862944162437,0.1628339483394834,kept,
225,2021-02-09,2021-02-18,10,set_up_time_matched,5,0.8,50,2.0,2018-05-05,浦口区华创路南京软件园腾飞大厦4号楼一层103号,226|217|227|223|236,2018-05-05|2018-05-18|2018-05-23|2018-04-15|2018-05-28,秦淮区龙蟠中路216号金城大厦A区一层大堂|建邺区云龙山路80号天泽星网大厦一层|秦淮区菱角市66号南京国家领军人才创业园07栋二层|建邺区江东中路229号欧洲城B座一层大堂|秦淮区洪武路359号福鑫国际大厦一层104-1室,5,396,2106,0.030303030303030304,0.15242165242165243,0.1988105352591334,kept,
181,2021-02-11,2021-02-25,15,set_up_time_matched,5,0.8,50,2.0,2020-09-27,栖霞区仙林街道学衡路5号水平方美食广场二层S-29商铺,7|180|4|9|6,2020-09-28|2020-09-16|2020-09-15|2020-11-10|2020-08-11,溧水区通济街12号|秦淮区中山东路18号南京新百B座一层|南京市浦口区公园北路3-8号|南京市浦口区公园北路3-8号|雨花台区雨花街道雨花东路158号紫荆广场·花漫里负一层111、115号铺,5,50,447,0.16,0.348993288590604,0.4584615384615385,kept,
21,2021-04-09,2021-04-19,11,set_up_time_matched,5,0.8,50,2.0,2018-07-05,建邺区江东中路305号中泰国际大厦一层1-60、61号,22|24|23|219|17,2018-07-02|2018-07-14|2018-06-21|2018-06-03|2018-06-01,玄武区玄武大道699-22号江苏软件园22幢一层大堂|玄武区中山路100号艾尚天地A座一层大堂|鼓楼区集慧路18号联创科技大厦B座一层大堂|鼓楼区集庆门大街272号苏宁慧谷E07一层102室|建邺区双闸路海峡云谷科技园3号楼一层大堂,5,244,1505,0.20491803278688525,0.30697674418604654,0.6675360158966716,skipped,low_control_rate
8,2021-05-27,2021-06-10,15,set_up_time_matched,5,0.8,50,2.0,2020-09-30,江宁区麒麟街道悦民路128号天赋广场22幢116室,184|10|188|190|178,2020-11-30|2020-12-01|2021-01-04|2021-01-21|2020-04-12,秦淮区五老村街道洪武北路98号南京图书发行大厦底商|雨花台区古雄街道古雄大道211号吾悦广场负一层B1040号|雨花台区铁心桥街道软件大道109号雨花客厅3号楼一层大堂|秦淮区永丰大道36号天安数码城2栋一层103|鼓楼区中山北路281号虹桥新城市广场一层中庭,5,132,598,0.10606060606060606,0.3862876254180602,0.2745638200183655,kept,
