dept_id,closure_start,closure_end,closure_duration_days,selection_mode,lowest_purchases,lowest_ratio,min_group_size,min_ctrl_treat_ratio,treated_store_set_up_time,treated_store_address,control_store_ids,control_store_set_up_times,control_store_addresses,n_control_stores,n_treatment,n_control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,status,skip_reason,w14_n_treatment,w14_n_control,w14_treat_rate_during,w14_ctrl_rate_during,w14_selectivity_ratio,w28_n_treatment,w28_n_control,w28_treat_rate_during,w28_ctrl_rate_during,w28_selectivity_ratio
8,2021-05-27,2021-06-10,15,set_up_time_matched,5,0.8,50,2.0,2020-09-30,江宁区麒麟街道悦民路128号天赋广场22幢116室,184|10|188|190|178,2020-11-30|2020-12-01|2021-01-04|2021-01-21|2020-04-12,秦淮区五老村街道洪武北路98号南京图书发行大厦底商|雨花台区古雄街道古雄大道211号吾悦广场负一层B1040号|雨花台区铁心桥街道软件大道109号雨花客厅3号楼一层大堂|秦淮区永丰大道36号天安数码城2栋一层103|鼓楼区中山北路281号虹桥新城市广场一层中庭,5,132,598,0.10606060606060606,0.3862876254180602,0.2745638200183655,kept,,,,,,,,,,,
19,2021-07-15,2021-07-25,11,set_up_time_matched,5,0.8,50,2.0,2018-05-30,浦口区浦口大道13号新城总部大厦一层大堂,230|36|224|30|37,2018-08-22|2018-08-23|2018-08-27|2018-08-28|2018-08-29,玄武区珠江路88号新世界中心一层102室|建邺区嘉陵江东街99号金融城1号楼一层大堂|建邺区江东中路河西万达中心A座102-2号|玄武区中央路32号联通大厦一层大堂|秦淮区太平南路305号江苏钟山宾馆集团江苏饭店商务大楼一层大堂,5,597,2764,0.11725293132328309,0.2536179450072359,0.4623211158025028,kept,,,,,,,,,,,
238,2021-07-24,2021-08-21,29,set_up_time_matched,5,0.8,50,2.0,2018-09-30,江宁区秣周东路12号悠谷1期3号楼协同大楼未来网络小镇一层大堂,34|50|232|40|29,2018-09-30|2018-09-29|2018-10-01|2018-09-25|2018-09-25,建邺区河西45号地块金融城8号楼101室一层东大堂|玄武区玄武大道699-8号徐庄软件园8幢一层101室|秦淮区健康路3号水平方负一层15A号|秦淮区洪武路50号金贸大厦一层A2-2号|玄武区中央路 284号金谷创客一层 107 号,5,773,1059,0.07632600258732213,0.3663833805476865,0.2083227751030261,kept,,,,,,,,,,,
44,2021-07-24,2021-08-05,13,set_up_time_matched,5,0.8,50,2.0,2018-08-23,玄武区湖景路9号苏宁青创园D栋一层大堂,33|32|28|45|26,2018-08-29|2018-08-29|2018-08-30|2018-08-30|2018-08-31,鼓楼区草场门大街105号江苏教育频道一层大堂|建邺区西城路300号3幢君泰国际大厦3幢一层大堂|秦淮区中山南路189号中住大厦一层大堂|鼓楼区江东北路289号银城广场A座一层大堂|秦淮区中山南路501号通服大厦一层大堂,5,367,1231,0.07356948228882834,0.2437043054427295,0.3018801089918256,kept,,,,,,,,,,,
39,2021-07-25,2021-08-19,26,set_up_time_matched,5,0.8,50,2.0,2018-11-08,秦淮区凤游寺52号悦动新门西体育文化产业园15号楼一层106号,71|69|76|70|78,2018-11-13|2018-11-19|2018-11-20|2018-11-20|2018-11-23,六合区葛关路818-2号美利广场一层124室|秦淮区太平南路389号凤凰和睿大厦一层102室|建邺区水西门大街272号金基广场一层101室|江宁区将军大道9号托乐嘉花园108幢一层114室|仙林街道纬地路9号江苏生命科技创新园A1区一层,5,253,2890,0.13043478260869565,0.2844290657439446,0.45858457632497623,kept,,,,,,,,,,,
246,2021-07-27,2021-08-08,13,set_up_time_matched,5,0.8,50,2.0,2020-03-18,溧水区经济开发区创业路89号,177|245|260|250|149,2020-03-17|2020-03-05|2020-01-24|2020-01-12|2020-01-07,雨花台区软件大道118号B3栋一层|江宁区麒麟街道悦民路128号天赋广场22幢116室|秦淮区中山南路18号南京国际贸易中心一层|南京市浦口区公园北路3-8号|浦口区惠达路6号北斗大厦写字楼大堂一层,5,76,481,0.039473684210526314,0.23492723492723494,0.16802515137401022,kept,,,,,,,,,,,
133,2021-07-28,2021-08-22,26,set_up_time_matched,5,0.8,50,2.0,2019-06-30,江宁区东吉大道1号13号楼一层,143|137|132|129|135,2019-06-30|2019-06-28|2019-06-27|2019-06-27|2019-06-26,建邺区白龙江东街9号新城基金大厦一层大堂|建邺区太清路益家生活广场一层|栖霞区仙林大道181号万达茂二层|秦淮区太平南路450号斯亚财富中心一层大堂|秦淮区中山南路2号东方福来德四层,5,228,2128,0.039473684210526314,0.33129699248120303,0.11914893617021274,kept,,,,,,,,,,,
47,2021-07-30,2021-08-10,12,set_up_time_matched,5,0.8,50,2.0,2018-09-25,玄武区大钟亭路6号电信营业厅一层大堂,49|42|48|231|67,2018-09-10|2018-09-10|2018-09-04|2018-08-31|2018-12-07,江宁区菲尼克斯路70号总部基地34号楼一层大堂|栖霞区紫东路1号紫东创意园1幢F4栋一层|雨花台区花神大道17号华博智慧园一层大堂|秦淮区石鼓路42号建华大厦一层大堂|雨花台区软件大道天溯科技园170-1号2栋一层,5,223,3241,0.08520179372197309,0.19870410367170627,0.4287872879703646,kept,,,,,,,,,,,
121,2021-08-03,2021-08-20,18,set_up_time_matched,5,0.8,50,2.0,2019-05-13,江宁区竹山路68号江宁万达百货商场一层,119|120|123|125|116,2019-05-14|2019-05-16|2019-05-25|2019-06-04|2019-04-18,鼓楼区水佑岗路6号万谷京东云智慧产业园一层大堂|鼓楼区中央路302号垠坤创意中央24号楼底商|玄武区花园路8号春风泊寓一层|玄武区红山路88号常发广场1号楼一层|雨花台区花神大道21号德讯科技大厦一层大堂,5,418,1890,0.07894736842105263,0.22592592592592592,0.34943917169974115,kept,,,,,,,,,,,
59,2021-08-03,2021-08-19,17,set_up_time_matched,5,0.8,50,2.0,2018-10-21,江宁区双龙大道1698号南京景枫L1层10号,85|80|83|77|81,2018-12-13|2018-12-14|2018-12-14|2018-12-15|2018-12-18,江宁区科建路29号有志大厦A座一层101室|秦淮区卡子门大街99号复地活力广场一层29号|鼓楼区中山北路281号新城市虹桥中心01栋一层01室|建邺区云龙山路98号天盛大厦A幢一层04号|秦淮区太平南路1号新世纪广场A幢一层大堂,5,423,2908,0.05673758865248227,0.3149931224209078,0.18012326179194155,kept,,,,,,,,,,,
182,2021-08-03,2021-08-20,18,set_up_time_matched,5,0.8,50,2.0,2020-10-13,江宁区东山街道潭园西路199号二层A-2F-C04,247|174|166|169|168,2020-01-01|2019-12-31|2019-12-31|2019-12-31|2019-12-31,浦口区珠江镇凤凰大街107室|雨花台区长虹路222号德盈国际广场1幢一层|栖霞区马群街道马群街169号二层E1E2号|六合区雄州街道龙津路44号紫晶国际购物广场一层|栖霞区科创路1号金港一期配套用房一层,5,221,1422,0.06787330316742081,0.2320675105485232,0.2924722336487042,kept,,,,,,,,,,,
220,2021-08-03,2021-08-12,10,set_up_time_matched,5,0.8,50,2.0,2018-06-05,江宁区上元大街327号凤凰创客空间大厦一层105室,86|84|82|92|96,2018-12-18|2018-12-21|2018-12-23|2018-12-23|2018-12-25,浦口区江北新区星火路15号智芯科技大厦一层|鼓楼区山西路8号金山大厦A座六层|秦淮区应天大街388号晨光1865创意园e1栋一层|秦淮区石鼓路107号华威大厦一层|秦淮区石杨路116号1幢江苏省住建大厦一层大堂,5,599,1261,0.03171953255425709,0.21332275971451228,0.1486926786279487,kept,,,,,,,,,,,
