member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
1090,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.987519,1
1153,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.010037508,0
1155,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.04708498,0
3900,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.06787735,0
5078,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.2458659,0
5079,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.14505684,0
7077,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.99889815,1
9355,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9927148,1
13748,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.07572499,0
14058,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.84535867,1
16172,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.111637786,0
16536,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.951794,1
17628,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9950801,1
18764,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9834873,1
22233,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.17490965,0
23009,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.90739745,1
23453,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9785165,1
23660,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.08810758,0
24245,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.029421216,0
25352,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9785911,1
25447,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.06456699,0
25501,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.008734345,0
27835,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.94560057,1
27872,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.058293123,0
29006,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9861855,1
29720,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.018876595,0
29738,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.97780526,1
31630,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9976822,1
31760,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9938958,1
31778,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.94528407,1
32961,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.022891978,0
33778,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.923751,1
34810,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9571845,1
38571,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.8820401,1
39365,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.02104108,0
41936,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9854021,1
43511,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.99686843,1
45025,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.013221085,0
45202,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.043066062,0
46988,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.99295723,1
48719,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9444866,1
50575,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.15390372,0
51141,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.07241446,0
51223,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.016266316,0
51882,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.93783337,1
52806,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.1478894,0
53631,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9637689,1
53870,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.057075746,0
56860,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.9854414,1
56861,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.011490478,0
59514,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.011255557,0
63148,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.949982,1
67611,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.026877724,0
68740,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.020719565,0
70565,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.89405924,1
70621,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.05952403,0
72409,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,0,0.027528552,0
73211,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.95473826,1
73392,238,2021-07-24,2021-08-21,-4,2021-03-30,2021-04-27,1,treatment,1,0.95348096,1
