member_id,dept_id,closure_start,closure_end,closure_duration_days,group,is_treated,score_time,displacement_prob_t0_ex_ante,predicted_displaced_t0_ex_ante
4078,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.059233602,0
4219,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.018238846,0
5264,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.4832173,0
6242,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.1752572,0
7295,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.50005513,1
8407,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.014472247,0
9160,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.035964627,0
9816,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.05267378,0
14194,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.04636211,0
19097,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.027937474,0
22301,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.64737415,1
25399,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.016200813,0
26229,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.01091027,0
28610,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.034870382,0
29726,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0063955677,0
29733,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.029056069,0
31139,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.10854101,0
34085,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.06387165,0
34393,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.019016195,0
35399,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.06993268,0
37330,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.52111757,1
40454,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.27862495,0
41186,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0027153573,0
47222,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.62206477,1
48637,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.5843574,1
48741,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.74255663,1
51232,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9354226,1
51386,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9726528,1
51500,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.034148023,0
52042,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.049711972,0
56378,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.013209595,0
56866,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.17730731,0
62440,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.018921798,0
62483,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.57781714,1
64080,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.23143373,0
66222,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.04608126,0
70714,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.10711145,0
77967,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.014591914,0
78273,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.002556029,0
82498,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.3571941,0
85561,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.32875842,0
88081,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.014093292,0
88710,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.009051136,0
90245,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.07159117,0
91438,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.38471982,0
95515,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.053263307,0
96414,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.51847434,1
98990,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.013553011,0
101470,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.030607251,0
110355,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.0025284318,0
111416,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.033224832,0
113612,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.24597274,0
113898,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.20446636,0
115199,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9834087,1
116937,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.02896291,0
121722,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.86204296,1
124456,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.00930195,0
124806,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.013603396,0
127021,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.019569756,0
130629,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.061163668,0
131102,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9085793,1
132690,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.47888863,0
133975,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.010512899,0
134444,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.6624613,1
135292,225,2021-02-09,2021-02-18,10,treatment,1,t0_ex_ante,0.9617259,1
