closure_duration_days,slice,n_rows,n_positive,label_rate
10,train,12933,4249,0.3285
10,eval_pre_treatment,979,173,0.1767
10,eval_pre_control,3332,901,0.2704
10,eval_during,3332,576,0.1729
11,train,18042,5069,0.281
11,eval_pre_treatment,994,274,0.2757
11,eval_pre_control,5020,1376,0.2741
11,eval_during,5020,1237,0.2464
12,train,10152,3247,0.3198
12,eval_pre_treatment,220,42,0.1909
12,eval_pre_control,3164,793,0.2506
12,eval_during,3164,621,0.1963
13,train,6309,2130,0.3376
13,eval_pre_treatment,441,124,0.2812
13,eval_pre_control,1662,529,0.3183
13,eval_during,1662,396,0.2383
14,train,19707,6624,0.3361
14,eval_pre_treatment,1337,302,0.2259
14,eval_pre_control,5232,1179,0.2253
14,eval_during,5232,1201,0.2295
15,train,3345,1574,0.4706
15,eval_pre_treatment,166,64,0.3855
15,eval_pre_control,949,417,0.4394
15,eval_during,949,338,0.3562
16,train,8160,3149,0.3859
16,eval_pre_treatment,304,50,0.1645
16,eval_pre_control,2416,755,0.3125
16,eval_during,2416,726,0.3005
17,train,12216,5085,0.4163
17,eval_pre_treatment,525,139,0.2648
17,eval_pre_control,3547,1261,0.3555
17,eval_during,3547,1109,0.3127
18,train,11385,4577,0.402
18,eval_pre_treatment,619,167,0.2698
18,eval_pre_control,3176,791,0.2491
18,eval_during,3176,712,0.2242
23,train,2718,1431,0.5265
23,eval_pre_treatment,148,70,0.473
23,eval_pre_control,758,316,0.4169
23,eval_during,758,244,0.3219
26,train,15255,7146,0.4684
26,eval_pre_treatment,440,188,0.4273
26,eval_pre_control,4645,1985,0.4273
26,eval_during,4645,1387,0.2986
28,train,9285,4573,0.4925
28,eval_pre_treatment,1204,591,0.4909
28,eval_pre_control,1891,862,0.4558
28,eval_during,1891,657,0.3474
29,train,5067,2495,0.4924
29,eval_pre_treatment,715,366,0.5119
29,eval_pre_control,974,448,0.46
29,eval_during,974,350,0.3593
