feature,importance,rank
purchases_per_week_last_1w,4925.296875,1
days_since_last_purchase,2265.54931640625,2
purchases_per_week_last_2w,1460.0765380859375,3
total_purchase_days_pre,1417.547607421875,4
purchases_per_week_last_4w,562.1932983398438,5
total_spend_last_2w,536.8333740234375,6
preferred_store_ratio,337.19561767578125,7
share_weeks_with_purchase,271.84942626953125,8
avg_coffee_num,180.7855682373047,9
share_purchases_dow6,172.8151092529297,10
total_spend_pre,147.1881866455078,11
avg_delivery_pay,146.4990692138672,12
mean_inter_purchase_interval_days,142.25045776367188,13
cv_inter_purchase_interval,138.96226501464844,14
std_inter_purchase_interval_days,134.526123046875,15
take_address_rate,129.45846557617188,16
callphone,121.68143463134766,17
gender,121.06346130371094,18
coffee_share_orders,119.36954498291016,19
purchases_per_week_all_pre,118.5830078125,20
max_gap_between_purchases,117.15573120117188,21
unique_stores_pre,111.30718231201172,22
longest_consecutive_streak_days,107.68360137939453,23
share_purchases_dow5,107.1488037109375,24
total_orders_pre,98.65345001220703,25
level,96.79019927978516,26
manufacturer,88.38493347167969,27
second_store_ratio,86.13359832763672,28
total_spend_last_4w,81.18207550048828,29
share_purchases_dow4,76.7856674194336,30
avg_discount_per_order,76.43859100341797,31
entropy_dow,76.07166290283203,32
coupon_usage_rate,75.65995788574219,33
push,71.69222259521484,34
share_purchases_dow3,70.65933990478516,35
n_order_categories_avg,70.2988510131836,36
avg_basket_size,70.21507263183594,37
share_purchases_dow2,69.98487854003906,38
avg_food_num,69.5326156616211,39
avg_use_coffee_wallet,68.93460083007812,40
modal_purchase_dow,67.42704772949219,41
share_purchases_dow0,67.25586700439453,42
share_purchases_dow1,66.39649963378906,43
purchased_in_last_14_days,1.049499750137329,44
