feature,importance,rank
purchases_per_week_last_4w,21.865903854370117,1
total_purchase_days_pre,3.754490613937378,2
purchases_per_week_last_2w,3.533003091812134,3
days_since_last_purchase,3.2200751304626465,4
purchases_per_week_all_pre,2.371532917022705,5
preferred_store_ratio,2.2587974071502686,6
purchases_per_week_last_1w,2.106438398361206,7
longest_consecutive_streak_days,2.0837783813476562,8
second_store_ratio,2.0201635360717773,9
total_orders_pre,2.010655164718628,10
share_purchases_dow6,1.9324135780334473,11
avg_use_coffee_wallet,1.9156414270401,12
max_gap_between_purchases,1.899104356765747,13
mean_inter_purchase_interval_days,1.8814640045166016,14
coffee_share_orders,1.8242331743240356,15
share_purchases_dow1,1.80353581905365,16
coupon_usage_rate,1.7952386140823364,17
avg_coffee_num,1.7826859951019287,18
std_inter_purchase_interval_days,1.7575987577438354,19
cv_inter_purchase_interval,1.7379647493362427,20
total_spend_pre,1.716714859008789,21
share_purchases_dow3,1.715295433998108,22
entropy_dow,1.7129257917404175,23
avg_discount_per_order,1.7112784385681152,24
share_purchases_dow5,1.703909993171692,25
share_weeks_with_purchase,1.6919463872909546,26
push,1.6779828071594238,27
avg_basket_size,1.6652237176895142,28
share_purchases_dow0,1.6543437242507935,29
share_purchases_dow4,1.646756887435913,30
n_order_categories_avg,1.6134555339813232,31
avg_food_num,1.6083773374557495,32
total_spend_last_2w,1.6083393096923828,33
manufacturer,1.596121907234192,34
level,1.5667564868927002,35
share_purchases_dow2,1.5559488534927368,36
unique_stores_pre,1.5064623355865479,37
avg_delivery_pay,1.5004099607467651,38
total_spend_last_4w,1.462803602218628,39
callphone,1.4073460102081299,40
modal_purchase_dow,1.3641853332519531,41
gender,1.326048731803894,42
take_address_rate,1.143505573272705,43
purchased_in_last_7_days,1.0956177711486816,44
purchased_in_last_14_days,0.44959166646003723,45
has_inviter,0.34979790449142456,46
