spec,term,coef,se,pvalue,n,r2_within
event_att,rel_t::-4:treated,-0.013184123071596837,0.01979892309462525,0.5054896326070453,42486,0.0005619855761518355
event_att,rel_t::-3:treated,-0.0169882611603858,0.01988161100535982,0.39286438076841224,42486,0.0005619855761518355
event_att,rel_t::-2:treated,-0.028881588745557546,0.018872999816159173,0.12597081269613697,42486,0.0005619855761518355
event_att,rel_t::1:treated,0.02706794578964079,0.020490333649775285,0.1865279025018658,42486,0.0005619855761518355
event_att,rel_t::2:treated,-0.03162561229021458,0.0210651915635977,0.13330395794053973,42486,0.0005619855761518355
event_att,rel_t::3:treated,-0.05538679760464048,0.02069732772766978,0.007461925386858859,42486,0.0005619855761518355
event_att,rel_t::4:treated,-0.02721552447976635,0.020878296077146162,0.19242306170456192,42486,0.0005619855761518355
event_binary_B,rel_t::-4:treated,-0.020799261641809813,0.028310704320669237,0.46255252569880057,42486,0.0012511152534130376
event_binary_B,rel_t::-3:treated,-0.04158062335899473,0.029119089530416926,0.15333709089262904,42486,0.0012511152534130376
event_binary_B,rel_t::-2:treated,-0.02743240626915069,0.02887217003166752,0.34206741182340394,42486,0.0012511152534130376
event_binary_B,rel_t::1:treated,0.027750493430672273,0.03180347252037322,0.38292281937725603,42486,0.0012511152534130376
event_binary_B,rel_t::2:treated,-0.00921168327677215,0.03143170513753696,0.769474849245626,42486,0.0012511152534130376
event_binary_B,rel_t::3:treated,-0.04933572688830573,0.03173771121188651,0.12010073839252056,42486,0.0012511152534130376
event_binary_B,rel_t::4:treated,-0.019767084917562426,0.032074566980179166,0.5377201632261706,42486,0.0012511152534130376
event_binary_B,rel_t::-4:treated_X_disp,0.014627251055189824,0.03941214160977004,0.7105443073104967,42486,0.0012511152534130376
event_binary_B,rel_t::-3:treated_X_disp,0.04553440509669269,0.03966557450154684,0.2510132798269087,42486,0.0012511152534130376
event_binary_B,rel_t::-2:treated_X_disp,-0.0028748400183417904,0.03785276746635776,0.9394620196946335,42486,0.0012511152534130376
event_binary_B,rel_t::1:treated_X_disp,0.00046575144322501407,0.041486239127768644,0.9910428408379552,42486,0.0012511152534130376
event_binary_B,rel_t::2:treated_X_disp,-0.03785312783290039,0.042261915074286255,0.3704454259292822,42486,0.0012511152534130376
event_binary_B,rel_t::3:treated_X_disp,-0.00855774137328654,0.04179818253486191,0.8377797537919354,42486,0.0012511152534130376
event_binary_B,rel_t::4:treated_X_disp,-0.011782403636164744,0.042105371573820896,0.779612637703851,42486,0.0012511152534130376
