treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]",224,187,187,1,,,,,,
0,"0|(0.999, 6474.25]|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]",64,507,64,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]",201,26,26,1,,,,,,
0,"0|(0.999, 6474.25]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",101,1306,101,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]",108,205,108,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(0.999, 6474.25]|(19420.75, 25894.0]",1855,84,84,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",11,265,11,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]",151,208,151,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]",235,86,86,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]",95,94,94,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]",41,59,41,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]",45,278,45,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]",207,64,64,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]",553,78,78,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]|(0.999, 6474.25]",23,182,23,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]",9,76,9,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]",259,231,231,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]",93,137,93,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]",384,111,111,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]|(6474.25, 12947.5]",32,200,32,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]",90,75,75,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(19420.75, 25894.0]|(6474.25, 12947.5]",86,276,86,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]|(0.999, 6474.25]",6,6,6,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]",32,46,32,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]",361,79,79,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]",35,36,35,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]",225,61,61,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]",76,15,15,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]",2,7,2,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]|(0.999, 6474.25]",21,269,21,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]",29,159,29,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(0.999, 6474.25]|(0.999, 6474.25]",33,19,19,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]",69,15,15,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]",25,98,25,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]",42,24,24,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]",7,39,7,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(0.999, 6474.25]|(19420.75, 25894.0]",136,31,31,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]|(6474.25, 12947.5]",22,6,6,1,,,,,,
