group,rel_t,mean,std
control,-4,0.5207210994532306,0.4263143715458684
control,-3,0.502731867378547,0.4273184741016257
control,-2,0.4922270396684857,0.42690708714866515
control,-1,0.4480498485479722,0.42800213889267813
control,0,0.14120341202259548,0.3110783489366705
control,1,0.40566516092121996,0.41389177781139364
control,2,0.4737666602343134,0.4157353231973194
control,3,0.44246296619208103,0.422187460697005
control,4,0.42548088484959884,0.4230152419858839
treatment,-4,0.5436008005686095,0.416979832273288
treatment,-3,0.5189122000701529,0.4153285139787988
treatment,-2,0.5116430777189575,0.4242752061308856
treatment,-1,0.4915226427046375,0.4222425135297961
treatment,0,0.039772927312161456,0.17863128860076663
treatment,1,0.4743783280393652,0.4033868863617694
treatment,2,0.5074918841324697,0.4069730412372896
treatment,3,0.45225293120773347,0.41361228480100465
treatment,4,0.4272211253701875,0.41539161397070445
