treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(0.999, 3616.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(0.999, 3616.0]",10,103,10,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]",89,21,21,1,,,,,,
0,"0|(0.999, 3616.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",64,891,64,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",4,4,4,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",100,151,100,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]",63,44,44,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(0.999, 3616.0]",17,107,17,1,,,,,,
0,"0|(10846.0, 14461.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]",10,9,9,1,,,,,,
0,"0|(10846.0, 14461.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]",73,99,73,1,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",4,4,4,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",4,107,4,1,,,,,,
0,"0|(10846.0, 14461.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]",1193,140,140,1,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(0.999, 3616.0]",4,8,4,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",0,3,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]",11,38,11,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",22,17,17,1,,,,,,
0,"0|(0.999, 3616.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",53,398,53,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",5,12,5,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",28,17,17,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",0,2,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",218,55,55,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(0.999, 3616.0]",11,152,11,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",0,2,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",1,0,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",51,160,51,1,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(0.999, 3616.0]",32,30,30,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",12,58,12,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",21,40,21,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(0.999, 3616.0]",12,26,12,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",81,59,59,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]",16,78,16,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]",2,7,2,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",23,96,23,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",154,62,62,1,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",20,82,20,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",75,83,75,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",2,28,2,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",70,20,20,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",17,6,6,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",74,23,23,1,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]",61,256,61,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",47,18,18,1,,,,,,
0,"0|(10846.0, 14461.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",8,21,8,1,,,,,,
0,"0|(10846.0, 14461.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(0.999, 3616.0]",15,3,3,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",0,13,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",37,37,37,1,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]",54,29,29,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",16,18,16,1,,,,,,
0,"0|(3616.0, 7231.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",23,64,23,1,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",13,72,13,1,,,,,,
0,"0|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",13,4,4,1,,,,,,
0,"0|(0.999, 3616.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",7,17,7,1,,,,,,
0,"0|(0.999, 3616.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",6,2,2,1,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",10,8,8,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]",2,16,2,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",3,18,3,1,,,,,,
0,"0|(3616.0, 7231.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",10,29,10,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]",1,8,1,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",31,3,3,1,,,,,,
0,"0|(3616.0, 7231.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",4,66,4,1,,,,,,
