dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,h,pre_start,pre_end,post_start,post_end,window_days_inclusive,menu_size_pre,menu_size_post,n_removed,n_introduced,net_menu_change,menu_churn,menu_overlap
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,1,2021-01-07,2021-01-30,2021-02-21,2021-03-16,24,49,47,11,9,-2,20,38
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,2,2020-12-15,2021-01-30,2021-02-21,2021-04-08,47,53,56,11,14,3,25,42
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,3,2020-11-22,2021-01-30,2021-02-21,2021-05-01,70,56,69,12,25,13,37,44
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,4,2020-10-30,2021-01-30,2021-02-21,2021-05-24,93,61,73,17,29,12,46,44
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,1,2021-01-18,2021-02-04,2021-02-20,2021-03-09,18,31,37,3,9,6,12,28
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,2,2021-01-01,2021-02-04,2021-02-20,2021-03-26,35,44,49,5,10,5,15,39
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,3,2020-12-15,2021-02-04,2021-02-20,2021-04-12,52,51,58,8,15,7,23,43
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,4,2020-11-28,2021-02-04,2021-02-20,2021-04-29,69,58,70,14,26,12,40,44
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,1,2021-01-30,2021-02-09,2021-02-18,2021-02-28,11,43,39,6,2,-4,8,37
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,2,2021-01-20,2021-02-09,2021-02-18,2021-03-10,21,46,49,5,8,3,13,41
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,3,2021-01-10,2021-02-09,2021-02-18,2021-03-20,31,47,52,5,10,5,15,42
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,4,2020-12-31,2021-02-09,2021-02-18,2021-03-30,41,47,57,4,14,10,18,43
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,1,2021-01-27,2021-02-11,2021-02-25,2021-03-12,16,42,51,5,14,9,19,37
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,2,2021-01-12,2021-02-11,2021-02-25,2021-03-27,31,51,54,8,11,3,19,43
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,3,2020-12-28,2021-02-11,2021-02-25,2021-04-11,46,52,63,8,19,11,27,44
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,4,2020-12-13,2021-02-11,2021-02-25,2021-04-26,61,60,74,15,29,14,44,45
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,1,2021-05-12,2021-05-27,2021-06-10,2021-06-25,16,56,70,0,14,14,14,56
