dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,menu_size_pre_h1,menu_size_pre_h2,menu_size_pre_h3,menu_size_pre_h4,menu_size_post_h1,menu_size_post_h2,menu_size_post_h3,menu_size_post_h4,n_removed_h1,n_removed_h2,n_removed_h3,n_removed_h4,n_introduced_h1,n_introduced_h2,n_introduced_h3,n_introduced_h4,net_menu_change_h1,net_menu_change_h2,net_menu_change_h3,net_menu_change_h4,menu_churn_h1,menu_churn_h2,menu_churn_h3,menu_churn_h4,menu_overlap_h1,menu_overlap_h2,menu_overlap_h3,menu_overlap_h4,window_days_inclusive_h1,window_days_inclusive_h2,window_days_inclusive_h3,window_days_inclusive_h4
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,49,53,56,61,47,56,69,73,11,11,12,17,9,14,25,29,-2,3,13,12,20,25,37,46,38,42,44,44,24,47,70,93
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,31,44,51,58,37,49,58,70,3,5,8,14,9,10,15,26,6,5,7,12,12,15,23,40,28,39,43,44,18,35,52,69
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,43,46,47,47,39,49,52,57,6,5,5,4,2,8,10,14,-4,3,5,10,8,13,15,18,37,41,42,43,11,21,31,41
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,42,51,52,60,51,54,63,74,5,8,8,15,14,11,19,29,9,3,11,14,19,19,27,44,37,43,44,45,16,31,46,61
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,56,64,68,73,70,75,89,100,0,3,6,10,14,14,27,37,14,11,21,27,14,17,33,47,56,61,62,63,16,31,46,61
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,81,89,91,96,59,91,99,101,31,16,12,16,9,18,20,21,-22,2,8,5,40,34,32,37,50,73,79,80,12,23,34,45
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,95,105,108,114,101,111,117,123,12,22,25,31,18,28,34,40,6,6,9,9,30,50,59,71,83,83,83,83,29,57,85,113
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,76,90,94,97,73,84,94,103,24,24,21,20,21,18,21,26,-3,-6,0,6,45,42,42,46,52,66,73,77,14,27,40,53
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,94,103,106,112,98,110,117,124,16,23,25,31,20,30,36,43,4,7,11,12,36,53,61,74,78,80,81,81,30,59,88,117
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,84,97,102,107,91,103,112,118,14,22,25,29,21,28,35,40,7,6,10,11,35,50,60,69,70,75,77,78,27,53,79,105
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,60,72,74,74,57,64,72,74,18,19,18,18,15,11,16,18,-3,-8,-2,0,33,30,34,36,42,53,56,56,14,27,40,53
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,76,94,103,106,81,100,108,115,23,24,31,32,28,30,36,41,5,6,5,9,51,54,67,73,53,70,72,74,27,53,79,105
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,73,90,100,102,80,89,101,108,13,15,20,20,20,14,21,26,7,-1,1,6,33,29,41,46,60,75,80,82,13,25,37,49
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,88,95,106,109,89,102,108,114,9,9,19,21,10,16,21,26,1,7,2,5,19,25,40,47,79,86,87,88,18,35,52,69
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,83,102,103,108,88,88,88,88,8,24,25,29,13,10,10,9,5,-14,-15,-20,21,34,35,38,75,78,78,79,19,37,55,73
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,87,97,106,111,98,107,112,115,1,9,17,22,12,19,23,26,11,10,6,4,13,28,40,48,86,88,89,89,19,37,55,73
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,73,92,96,104,88,93,99,103,3,10,10,17,18,11,13,16,15,1,3,-1,21,21,23,33,70,82,86,87,11,21,31,41
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,66,88,99,104,75,93,96,106,10,16,25,28,19,21,22,30,9,5,-3,2,29,37,47,58,56,72,74,76,17,33,49,65
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,72,85,95,102,77,88,100,102,11,17,22,26,16,20,27,26,5,3,5,0,27,37,49,52,61,68,73,76,15,29,43,57
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,85,91,98,100,90,99,107,112,8,9,12,14,13,17,21,26,5,8,9,12,21,26,33,40,77,82,86,86,15,29,43,57
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,69,86,95,97,62,68,72,72,19,25,28,30,12,7,5,5,-7,-18,-23,-25,31,32,33,35,50,61,67,67,15,29,43,57
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,78,86,94,95,77,91,97,102,17,15,16,15,16,20,19,22,-1,5,3,7,33,35,35,37,61,71,78,80,12,23,34,45
