treatment_dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,control_store_ids,n_control_stores,avg_n_introduced_during_control,min_n_introduced_during_control,max_n_introduced_during_control,total_n_introduced_during_control
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,2|175|176|253|252,5,1.0,0,3,5
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,16|20|18|35|27,5,1.8,0,4,9
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,226|217|227|223|236,5,1.0,0,4,5
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,7|180|4|9|6,5,2.8,0,7,14
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,184|10|188|190|178,5,14.4,12,18,72
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,230|36|224|30|37,5,8.8,6,15,44
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,113|117|114|115|122,5,11.6,0,15,58
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,33|32|28|45|26,5,8.2,0,11,41
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,34|50|232|40|29,5,15.4,12,20,77
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,71|69|76|70|78,5,14.2,12,17,71
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,177|245|260|250|149,5,6.0,0,21,30
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,143|137|132|129|135,5,12.2,11,15,61
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,49|42|48|231|67,5,10.0,8,12,50
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,85|80|83|77|81,5,9.2,5,15,46
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,119|120|123|125|116,5,10.2,0,14,51
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,247|174|166|169|168,5,8.4,0,20,42
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,86|84|82|92|96,5,8.8,0,25,44
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,63|103|102|99|98,5,9.0,4,11,45
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,104|106|108|110|107,5,6.0,0,12,30
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,258|167|248|249|244,5,1.8,0,9,9
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,173|259|241|1|153,5,7.4,0,13,37
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,128|126|127|112|130,5,6.6,0,11,33
