treatment_dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,control_dept_id,pre_start,pre_end,during_start,during_end,n_products_pre,n_products_during,n_introduced_during,introduced_product_ids,introduced_product_names
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,2,2021-01-07,2021-01-29,2021-01-30,2021-02-21,51,49,1,50,厚乳拿铁_7
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,175,2021-01-07,2021-01-29,2021-01-30,2021-02-21,54,53,1,50,厚乳拿铁_7
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,176,2021-01-07,2021-01-29,2021-01-30,2021-02-21,51,49,3,50|122|158,厚乳拿铁_7|气泡美式_2|瑞纳冰_1
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,252,2021-01-07,2021-01-29,2021-01-30,2021-02-21,0,0,0,,
254,2021-01-30,2021-02-21,23,dept_254_closure_2021-01-30,253,2021-01-07,2021-01-29,2021-01-30,2021-02-21,26,0,0,,
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,16,2021-01-18,2021-02-03,2021-02-04,2021-02-20,0,0,0,,
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,18,2021-01-18,2021-02-03,2021-02-04,2021-02-20,49,45,4,3|4|121|158,NFC_2|NFC_3|气泡美式_1|瑞纳冰_1
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,20,2021-01-18,2021-02-03,2021-02-04,2021-02-20,46,43,3,33|179|208,厚乳奶茶_0|瑞纳冰_7|美式_0
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,27,2021-01-18,2021-02-03,2021-02-04,2021-02-20,0,0,0,,
228,2021-02-04,2021-02-20,17,dept_228_closure_2021-02-04,35,2021-01-18,2021-02-03,2021-02-04,2021-02-20,42,42,2,161|171,瑞纳冰_12|瑞纳冰_21
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,217,2021-01-30,2021-02-08,2021-02-09,2021-02-18,52,33,0,,
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,223,2021-01-30,2021-02-08,2021-02-09,2021-02-18,45,31,1,171,瑞纳冰_21
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,226,2021-01-30,2021-02-08,2021-02-09,2021-02-18,47,28,0,,
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,227,2021-01-30,2021-02-08,2021-02-09,2021-02-18,41,22,0,,
225,2021-02-09,2021-02-18,10,dept_225_closure_2021-02-09,236,2021-01-30,2021-02-08,2021-02-09,2021-02-18,48,43,4,84|121|160|179,拿铁_12|气泡美式_1|瑞纳冰_11|瑞纳冰_7
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,4,2021-01-27,2021-02-10,2021-02-11,2021-02-25,0,0,0,,
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,6,2021-01-27,2021-02-10,2021-02-11,2021-02-25,48,44,1,158,瑞纳冰_1
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,7,2021-01-27,2021-02-10,2021-02-11,2021-02-25,43,46,5,160|173|179|238|249,瑞纳冰_11|瑞纳冰_23|瑞纳冰_7|茉莉轻乳茶|超有料茉莉花茶
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,9,2021-01-27,2021-02-10,2021-02-11,2021-02-25,48,49,7,33|92|122|129|205|225|227,厚乳奶茶_0|拿铁_20|气泡美式_2|满杯百香果|纯牛奶_1|芋泥布丁|芋泥牛乳_1
181,2021-02-11,2021-02-25,15,dept_181_closure_2021-02-11,180,2021-01-27,2021-02-10,2021-02-11,2021-02-25,52,52,1,4,NFC_3
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,10,2021-05-12,2021-05-26,2021-05-27,2021-06-10,63,74,14,35|38|53|78|92|102|103|106|123|144|146|169|170|257,厚乳拿铁_0|厚乳拿铁_12|夏日桃桃冰_1|抹茶好喝椰|拿铁_20|杨枝甘露_1|杨枝甘露_2|杨枝甘露_5|气泡美式_3|燕麦拿铁_4|燕麦拿铁_6|瑞纳冰_2|瑞纳冰_20|香草拿铁_1
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,178,2021-05-12,2021-05-26,2021-05-27,2021-06-10,76,79,12,38|53|72|95|118|123|146|169|170|188|189|218,厚乳拿铁_12|夏日桃桃冰_1|巧克力_0|拿铁_4|椰青冰萃|气泡美式_3|燕麦拿铁_6|瑞纳冰_2|瑞纳冰_20|生椰拿铁_1|生椰拿铁_2|胶原酸奶冻_3
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,184,2021-05-12,2021-05-26,2021-05-27,2021-06-10,71,76,13,38|53|72|82|118|123|142|169|170|188|189|218|255,厚乳拿铁_12|夏日桃桃冰_1|巧克力_0|拿铁_1|椰青冰萃|气泡美式_3|燕麦拿铁_2|瑞纳冰_2|瑞纳冰_20|生椰拿铁_1|生椰拿铁_2|胶原酸奶冻_3|阿华田厚乳_1
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,188,2021-05-12,2021-05-26,2021-05-27,2021-06-10,70,80,15,38|53|78|82|106|118|123|169|170|179|188|189|218|223|255,厚乳拿铁_12|夏日桃桃冰_1|抹茶好喝椰|拿铁_1|杨枝甘露_5|椰青冰萃|气泡美式_3|瑞纳冰_2|瑞纳冰_20|瑞纳冰_7|生椰拿铁_1|生椰拿铁_2|胶原酸奶冻_3|芋泥厚乳|阿华田厚乳_1
8,2021-05-27,2021-06-10,15,dept_8_closure_2021-05-27,190,2021-05-12,2021-05-26,2021-05-27,2021-06-10,72,84,18,38|53|72|81|92|103|106|118|120|121|123|144|146|169|170|188|189|218,厚乳拿铁_12|夏日桃桃冰_1|巧克力_0|拿铁_0|拿铁_20|杨枝甘露_2|杨枝甘露_5|椰青冰萃|气泡美式_0|气泡美式_1|气泡美式_3|燕麦拿铁_4|燕麦拿铁_6|瑞纳冰_2|瑞纳冰_20|生椰拿铁_1|生椰拿铁_2|胶原酸奶冻_3
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,30,2021-07-04,2021-07-14,2021-07-15,2021-07-25,66,69,15,69|70|89|107|125|148|155|159|180|195|197|205|216|231|242,工夫厚乳|工夫轻乳茶_0|拿铁_17|杨梅很好喝|满杯杨梅|燕麦拿铁_8|牛油果椰子冻|瑞纳冰_10|瑞纳冰_8|生椰胶原冻_0|白桃乌龙茶|纯牛奶_1|胶原酸奶冻_1|芒果好喝椰|荔枝_0
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,36,2021-07-04,2021-07-14,2021-07-15,2021-07-25,76,69,9,92|93|107|125|142|159|195|208|231,拿铁_20|拿铁_21|杨梅很好喝|满杯杨梅|燕麦拿铁_2|瑞纳冰_10|生椰胶原冻_0|美式_0|芒果好喝椰
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,37,2021-07-04,2021-07-14,2021-07-15,2021-07-25,83,81,7,69|72|107|125|159|195|231,工夫厚乳|巧克力_0|杨梅很好喝|满杯杨梅|瑞纳冰_10|生椰胶原冻_0|芒果好喝椰
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,224,2021-07-04,2021-07-14,2021-07-15,2021-07-25,77,76,7,102|107|125|159|195|231|243,杨枝甘露_1|杨梅很好喝|满杯杨梅|瑞纳冰_10|生椰胶原冻_0|芒果好喝椰|荔枝_1
19,2021-07-15,2021-07-25,11,dept_19_closure_2021-07-15,230,2021-07-04,2021-07-14,2021-07-15,2021-07-25,85,86,6,107|125|140|159|195|231,杨梅很好喝|满杯杨梅|燕麦拿铁_0|瑞纳冰_10|生椰胶原冻_0|芒果好喝椰
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,113,2021-06-24,2021-07-21,2021-07-22,2021-08-18,88,90,15,22|75|90|93|130|132|164|177|181|193|217|231|244|251|260,冰萃咖啡_1|抹茶厚乳_0|拿铁_18|拿铁_21|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|芒果好喝椰|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,114,2021-06-24,2021-07-21,2021-07-22,2021-08-18,93,95,15,22|90|130|132|164|177|181|193|217|231|236|244|251|255|260,冰萃咖啡_1|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|芒果好喝椰|茉莉抹抹茶|葡萄很好喝_0|车厘子很好喝|阿华田厚乳_1|鸳鸯拿铁_2
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,115,2021-06-24,2021-07-21,2021-07-22,2021-08-18,96,95,14,22|79|90|130|132|164|177|181|193|205|217|244|251|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|纯牛奶_1|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,117,2021-06-24,2021-07-21,2021-07-22,2021-08-18,0,0,0,,
124,2021-07-22,2021-08-18,28,dept_124_closure_2021-07-22,122,2021-06-24,2021-07-21,2021-07-22,2021-08-18,96,92,14,22|79|90|125|130|132|164|177|181|193|217|244|251|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯杨梅|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,26,2021-07-11,2021-07-23,2021-07-24,2021-08-05,79,71,11,22|69|75|90|130|132|133|158|164|177|251,冰萃咖啡_1|工夫厚乳|抹茶厚乳_0|拿铁_18|满杯葡萄_0|满杯车厘子|澳洲燕麦奶|瑞纳冰_1|瑞纳冰_15|瑞纳冰_5|车厘子很好喝
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,28,2021-07-11,2021-07-23,2021-07-24,2021-08-05,70,55,9,22|33|75|90|92|93|142|177|251,冰萃咖啡_1|厚乳奶茶_0|抹茶厚乳_0|拿铁_18|拿铁_20|拿铁_21|燕麦拿铁_2|瑞纳冰_5|车厘子很好喝
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,32,2021-07-11,2021-07-23,2021-07-24,2021-08-05,79,82,10,22|69|90|92|132|162|164|177|251|260,冰萃咖啡_1|工夫厚乳|拿铁_18|拿铁_20|满杯车厘子|瑞纳冰_13|瑞纳冰_15|瑞纳冰_5|车厘子很好喝|鸳鸯拿铁_2
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,33,2021-07-11,2021-07-23,2021-07-24,2021-08-05,0,0,0,,
44,2021-07-24,2021-08-05,13,dept_44_closure_2021-07-24,45,2021-07-11,2021-07-23,2021-07-24,2021-08-05,79,85,11,22|103|130|132|140|164|177|215|244|251|260,冰萃咖啡_1|杨枝甘露_2|满杯葡萄_0|满杯车厘子|燕麦拿铁_0|瑞纳冰_15|瑞纳冰_5|胶原酸奶冻_0|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,29,2021-06-25,2021-07-23,2021-07-24,2021-08-21,77,78,20,22|69|72|90|93|125|130|132|143|164|177|193|195|216|217|231|243|244|251|260,冰萃咖啡_1|工夫厚乳|巧克力_0|拿铁_18|拿铁_21|满杯杨梅|满杯葡萄_0|满杯车厘子|燕麦拿铁_3|瑞纳冰_15|瑞纳冰_5|生椰拿铁_6|生椰胶原冻_0|胶原酸奶冻_1|胶原酸奶冻_2|芒果好喝椰|荔枝_1|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,34,2021-06-25,2021-07-23,2021-07-24,2021-08-21,90,92,14,22|79|90|130|132|164|177|193|217|231|236|244|251|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|生椰拿铁_6|胶原酸奶冻_2|芒果好喝椰|茉莉抹抹茶|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,40,2021-06-25,2021-07-23,2021-07-24,2021-08-21,98,84,12,22|90|130|132|164|177|181|193|217|244|251|260,冰萃咖啡_1|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,50,2021-06-25,2021-07-23,2021-07-24,2021-08-21,86,91,19,22|69|90|93|130|132|135|142|164|177|181|193|195|217|242|244|251|259|260,冰萃咖啡_1|工夫厚乳|拿铁_18|拿铁_21|满杯葡萄_0|满杯车厘子|澳瑞白_2|燕麦拿铁_2|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|生椰胶原冻_0|胶原酸奶冻_2|荔枝_0|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_1|鸳鸯拿铁_2
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,232,2021-06-25,2021-07-23,2021-07-24,2021-08-21,96,91,12,22|90|130|132|164|177|181|193|217|244|251|260,冰萃咖啡_1|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,69,2021-06-29,2021-07-24,2021-07-25,2021-08-19,93,91,14,22|79|90|130|132|164|177|181|193|217|236|244|251|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
