member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
38,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
287,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
327,46,2021-08-04,0.13333333333333333,1,baseline,quartile_tails,0.25,1.0
851,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
918,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
1273,46,2021-08-04,0.625,0,middle,quartile_tails,0.25,1.0
1607,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
1996,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
2918,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
4517,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
6031,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
7045,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
7917,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
8511,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
9857,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
12323,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
13198,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
18545,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
18592,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
18793,46,2021-08-04,0.4166666666666667,0,middle,quartile_tails,0.25,1.0
19365,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
21018,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
21716,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
22446,46,2021-08-04,0.8333333333333334,0,middle,quartile_tails,0.25,1.0
22603,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
25583,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
25694,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
26597,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
29944,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
30304,46,2021-08-04,0.2875,0,middle,quartile_tails,0.25,1.0
30902,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
31514,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
31576,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
32062,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
32281,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
32447,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
32844,46,2021-08-04,0.2833333333333333,0,middle,quartile_tails,0.25,1.0
33015,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
33469,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
34104,46,2021-08-04,0.7625,0,middle,quartile_tails,0.25,1.0
34312,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
35370,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
36629,46,2021-08-04,0.1,1,baseline,quartile_tails,0.25,1.0
36973,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
37156,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
39529,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
40006,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
40284,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
41037,46,2021-08-04,0.38888888888888884,0,middle,quartile_tails,0.25,1.0
41183,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
41271,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
42303,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
42717,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
43876,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
43944,46,2021-08-04,0.625,0,middle,quartile_tails,0.25,1.0
44740,46,2021-08-04,0.4777777777777777,0,middle,quartile_tails,0.25,1.0
46101,46,2021-08-04,0.4375,0,middle,quartile_tails,0.25,1.0
46684,46,2021-08-04,0.3833333333333333,0,middle,quartile_tails,0.25,1.0
47248,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
49892,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
50621,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
50661,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
52332,46,2021-08-04,0.27777777777777773,0,middle,quartile_tails,0.25,1.0
52556,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
52958,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
53346,46,2021-08-04,0.7999999999999999,0,middle,quartile_tails,0.25,1.0
53962,46,2021-08-04,0.8333333333333334,0,middle,quartile_tails,0.25,1.0
57943,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
58569,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
60063,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
60311,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
61147,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
61836,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
62487,46,2021-08-04,0.8333333333333333,0,middle,quartile_tails,0.25,1.0
62858,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
63486,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
63725,46,2021-08-04,0.29166666666666663,0,middle,quartile_tails,0.25,1.0
63738,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
65845,46,2021-08-04,0.625,0,middle,quartile_tails,0.25,1.0
66890,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
