member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
727,182,2021-08-03,2021-08-20,18,treatment,1,0.52666354,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,727|182|2021-08-03,0.21254514211828135,0.18884511656164263
1167,182,2021-08-03,2021-08-20,18,control,0,0.4430958,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.05555555555555555,1167|182|2021-08-03,0.1289774021182813,0.18884511656164263
1270,182,2021-08-03,2021-08-20,18,control,0,0.6869659,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.05555555555555555,1270|182|2021-08-03,0.3728475021182813,0.18884511656164263
2204,182,2021-08-03,2021-08-20,18,treatment,1,0.7715307,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.05555555555555555,2204|182|2021-08-03,0.4574123021182813,0.18884511656164263
2264,182,2021-08-03,2021-08-20,18,control,0,0.49539798,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.16666666666666666,2264|182|2021-08-03,0.18127958211828132,0.18884511656164263
2516,182,2021-08-03,2021-08-20,18,treatment,1,0.10814629,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,2516|182|2021-08-03,-0.20597210788171869,0.18884511656164263
2565,182,2021-08-03,2021-08-20,18,control,0,0.03329822,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,2565|182|2021-08-03,-0.2808201778817187,0.18884511656164263
2661,182,2021-08-03,2021-08-20,18,control,0,0.8884216,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.16666666666666666,2661|182|2021-08-03,0.5743032021182813,0.18884511656164263
2800,182,2021-08-03,2021-08-20,18,control,0,0.048136268,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,2800|182|2021-08-03,-0.2659821298817187,0.18884511656164263
3529,182,2021-08-03,2021-08-20,18,control,0,0.41901156,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,3529|182|2021-08-03,0.10489316211828131,0.18884511656164263
4246,182,2021-08-03,2021-08-20,18,control,0,0.115556195,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,4246|182|2021-08-03,-0.1985622028817187,0.18884511656164263
4289,182,2021-08-03,2021-08-20,18,control,0,0.3051773,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,4289|182|2021-08-03,-0.008941097881718707,0.18884511656164263
5045,182,2021-08-03,2021-08-20,18,control,0,0.6152892,1,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.1111111111111111,5045|182|2021-08-03,0.3011708021182813,0.18884511656164263
5382,182,2021-08-03,2021-08-20,18,control,0,0.072594605,0,dept_182_closure_2021-08-03,2021-05-23,2021-05,-4,0,0.0,5382|182|2021-08-03,-0.24152379288171869,0.18884511656164263
