member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,variety_seeking,event_fe_id,displacement_prob_centered,closure_length_std
28784,225,2021-02-09,2021-02-18,10,control,0,0.96120983,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,28784|225|2021-02-09,0.06283453037144515,-1.4257257652019482
39228,225,2021-02-09,2021-02-18,10,control,0,0.93770295,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,39228|225|2021-02-09,0.039327650371445144,-1.4257257652019482
40566,225,2021-02-09,2021-02-18,10,control,0,0.9946063,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,40566|225|2021-02-09,0.09623100037144516,-1.4257257652019482
48741,225,2021-02-09,2021-02-18,10,treatment,1,0.7038085,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,48741|225|2021-02-09,-0.19456679962855494,-1.4257257652019482
95167,225,2021-02-09,2021-02-18,10,control,0,0.98642063,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,95167|225|2021-02-09,0.08804533037144513,-1.4257257652019482
104571,225,2021-02-09,2021-02-18,10,control,0,0.98588693,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,1.0,104571|225|2021-02-09,0.08751163037144516,-1.4257257652019482
135292,225,2021-02-09,2021-02-18,10,treatment,1,0.9451208,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,135292|225|2021-02-09,0.04674550037144509,-1.4257257652019482
140174,225,2021-02-09,2021-02-18,10,control,0,0.9339587,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,140174|225|2021-02-09,0.03558340037144514,-1.4257257652019482
140189,225,2021-02-09,2021-02-18,10,control,0,0.99497885,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,140189|225|2021-02-09,0.09660355037144508,-1.4257257652019482
141261,225,2021-02-09,2021-02-18,10,control,0,0.996579,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.0,141261|225|2021-02-09,0.0982037003714451,-1.4257257652019482
172338,225,2021-02-09,2021-02-18,10,control,0,0.94404244,1,dept_225_closure_2021-02-09,2020-12-31,2020-12,-4,0,0.3333333333333333,172338|225|2021-02-09,0.04566714037144515,-1.4257257652019482
