group,rel_t,mean,std
control,-4,0.3902857703741096,0.36360319773060595
control,-3,0.34152239201709167,0.33570853086217584
control,-2,0.3103129222563851,0.3256786283184649
control,-1,0.26839845960870695,0.31927765778939704
control,0,0.24633957914876645,0.31960898943003735
control,1,0.2764100847534645,0.3095175745320706
control,2,0.3596047258591428,0.3354987731327104
control,3,0.29383375556520436,0.3317527028806845
control,4,0.26172267107935365,0.3249471677411285
treatment,-4,0.4155716487697007,0.3606467542351138
treatment,-3,0.40272624201195634,0.354093247176667
treatment,-2,0.35659662487584565,0.35035442435669134
treatment,-1,0.33179747741436055,0.33937610442899047
treatment,0,0.0,0.0
treatment,1,0.3709531539888683,0.3379381100098675
treatment,2,0.47102272727272726,0.3483682254730746
treatment,3,0.33798572459286746,0.33371832427625353
treatment,4,0.2598948670377242,0.3256630979135487
