spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,42101,5.701476986152976e-05,0.013007965619588138,0.015226210846472188,0.39294478866139504,binary
binary_collapsed,post_X_disp,42101,5.701476986152976e-05,-0.0021468781586417044,0.007867503457075977,0.7849498581221279,binary
binary_collapsed,post_X_treated_X_disp,42101,5.701476986152976e-05,-0.014503194322478112,0.01783689505273139,0.4161732761913195,binary
score_collapsed,post_X_treated,42101,7.641653293766204e-05,0.00987652910576247,0.013102030346191135,0.4509712496908014,score
score_collapsed,post_X_score,42101,7.641653293766204e-05,-0.007977688287049799,0.01243452493800432,0.5211586525426244,score
score_collapsed,post_X_treated_X_score,42101,7.641653293766204e-05,-0.019783075428052372,0.027090585863145986,0.4652449498190705,score
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",42101,3.887921739509359e-05,0.009655394693445962,0.008991735638938163,0.28292633261506417,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",42101,3.887921739509359e-05,0.008677642150762084,0.010283044115567819,0.39875076606666315,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",42101,3.887921739509359e-05,0.007242866758344095,0.011765719793941915,0.5381741730314269,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",42101,0.0005631540892301334,0.00910534644012664,0.019097765008675188,0.6335290070573953,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",42101,0.0005631540892301334,0.026980248794804627,0.019935638958906196,0.1759587994350149,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",42101,0.0005631540892301334,0.00802739465047303,0.021673608364147175,0.7111072805290837,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",42101,0.0005631540892301334,-0.00018664649376922034,0.02144541744717102,0.993055953803178,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",42101,0.0005631540892301334,-0.027652726047668778,0.02313129105687037,0.2319231821755443,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",42101,0.0005631540892301334,-0.00011579915775893217,0.025691683077120085,0.9964037975955078,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",42101,0.0005631540892301334,-0.029041143624974206,0.008900281612318,0.001105092697385679,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",42101,0.0005631540892301334,-0.011186408140252999,0.010191790991447498,0.2724013394969673,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",42101,0.0005631540892301334,-0.02185461552289764,0.01104465860826326,0.04786262605317404,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[-2]:treated",42101,0.0025758070328321114,0.009832454152058828,0.018895325259704252,0.6028173884994157,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[1]:treated",42101,0.0025758070328321114,0.026856800590438292,0.020143638252640223,0.18246541702948527,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[2]:treated",42101,0.0025758070328321114,0.005248979005458391,0.021599639795768892,0.8079991932151689,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",42101,0.0025758070328321114,-0.008006397915992718,0.021350421710016013,0.7076661760096274,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",42101,0.0025758070328321114,-0.04244800245195858,0.024187096813122935,0.07928241146841652,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",42101,0.0025758070328321114,0.0013192699863809102,0.02634699492644078,0.9600649822576255,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",42101,0.0025758070328321114,-0.024445559825919286,0.008853678077889148,0.005768432823221703,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",42101,0.0025758070328321114,-0.0023261625571453634,0.010176424870095367,0.819195816035988,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",42101,0.0025758070328321114,-0.01327839477790078,0.010990113782870016,0.2269846993002913,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_len",42101,0.0025758070328321114,0.0031910639124244117,0.01599767633605086,0.8418974758249038,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_len",42101,0.0025758070328321114,-0.010057416182650184,0.016406366371902327,0.5398730853213709,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_len",42101,0.0025758070328321114,-0.009404293607822545,0.018239092669538,0.6061331554091702,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[-2]:disp_X_len",42101,0.0025758070328321114,-0.008880453699250362,0.0041351180688616,0.03176409353444498,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[1]:disp_X_len",42101,0.0025758070328321114,-0.033638602387960084,0.005433502858022586,6.13709083552294e-10,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[2]:disp_X_len",42101,0.0025758070328321114,-0.04180185451826105,0.006744916495813097,5.886870990678972e-10,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[-2]:tXdXlen",42101,0.0025758070328321114,0.012837087152628579,0.017651314257373492,0.46707842262444776,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[1]:tXdXlen",42101,0.0025758070328321114,0.038462698946757155,0.019308686192199213,0.04639049011690921,event_study
event_binary_D,"C(rel_t, contr.treatment(base=-1))[2]:tXdXlen",42101,0.0025758070328321114,0.02526188448223064,0.02184670881304398,0.24756704802141116,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated",42101,0.0006387265856139246,0.004483691007106385,0.01655980749291216,0.7865813605222709,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",42101,0.0006387265856139246,0.01716109333784517,0.016861273967481376,0.30879836245742576,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated",42101,0.0006387265856139246,0.007290884015838578,0.018285442015799715,0.6901007232477614,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_score",42101,0.0006387265856139246,0.012514293780357129,0.032288924806663566,0.6983381022592152,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",42101,0.0006387265856139246,-0.026140430554181852,0.034158722201185446,0.44412668446428993,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_score",42101,0.0006387265856139246,0.0011188699263476429,0.03793691640323578,0.9764718724871984,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:displacement_prob_centered",42101,0.0006387265856139246,-0.053053560412985146,0.013855092852475263,0.00012910209812200257,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",42101,0.0006387265856139246,-0.022670801014024602,0.015592635713701099,0.1459832797170375,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:displacement_prob_centered",42101,0.0006387265856139246,-0.04253480825053865,0.016869034549381184,0.011696850204429898,event_study
